district,flooded_ha,ha_1_2d,ha_3_6d,ha_7_13d,ha_14plus_d,mean_duration_days,max_duration_days
Gurdaspur,23174.3,19473.8,2313.9,1158.9,227.8,1.89,21
Firozpur,16581.5,5170.3,4722.3,3809.0,2880.0,7.01,21
Kapurthala,10760.1,5339.2,2363.5,1835.3,1222.1,5.15,21
Amritsar,9737.5,7628.0,1551.2,391.6,166.8,2.39,21
Jalandhar,7251.1,5744.0,749.1,442.4,315.7,2.95,25
Tarn Taran,7238.4,2029.1,1156.3,1990.5,2062.5,8.56,21
Sangrur,3899.4,3678.3,139.9,76.0,5.3,1.39,18
Patiala,2840.7,2764.9,59.9,14.3,1.5,1.33,15
Mansa,2701.6,2632.4,64.0,5.3,0.0,1.2,10
Moga,2426.5,1563.4,545.3,251.8,66.1,3.38,21
Hoshiarpur,2154.3,1461.1,343.4,239.9,109.9,3.38,21
Ludhiana,1901.0,1181.5,355.7,249.1,114.6,3.93,25
Bathinda,1017.6,998.9,9.7,8.9,0.0,1.13,13
Nawanshahr,878.8,491.7,202.7,184.4,0.0,3.78,12
Barnala,877.3,869.1,5.2,3.0,0.0,1.07,9
Sahibzada Ajit Singh Nagar,607.6,598.7,7.4,1.5,0.0,1.06,8
Rupnagar,467.8,406.9,56.5,4.4,0.0,1.5,7
Muktsar,250.2,209.3,21.6,17.1,2.2,2.18,17
Faridkot,46.6,41.5,3.0,2.2,0.0,1.75,12
Fatehgarh Sahib,18.5,11.9,6.7,0.0,0.0,1.96,5
