tehsil,district,flooded_ha,ha_1_2d,ha_3_6d,ha_7_13d,ha_14plus_d,mean_duration_days,max_duration_days
Ajnala,Amritsar,8512.1,6817.4,1425.8,253.8,15.1,2.09,17
Dera Baba Nanak,Gurdaspur,7725.9,6725.0,634.2,364.6,2.2,1.67,15
Firozpur,Firozpur,6653.4,2185.9,2371.1,1184.1,912.4,6.46,17
Dinanagar,Gurdaspur,6212.3,5733.3,383.6,76.0,19.4,1.35,20
Sultanpur Lodhi,Kapurthala,4708.6,1398.1,1522.8,1158.7,628.9,6.59,21
Fazilka,Firozpur,3960.0,1047.1,711.1,1165.9,1035.9,8.19,21
Khadur Sahib,Tarn Taran,3181.6,616.1,437.3,914.3,1213.9,10.12,21
Shahkot,Jalandhar,3102.9,2017.5,541.1,347.0,197.4,3.89,21
Kapurthala,Kapurthala,2927.8,1563.2,418.3,466.2,480.1,5.43,21
Zira,Firozpur,2762.0,1137.2,723.8,545.7,355.3,6.1,17
Patti,Tarn Taran,2502.6,730.3,518.0,665.3,589.1,7.97,17
Gurdaspur,Gurdaspur,2243.8,2123.5,56.9,43.2,20.2,1.43,21
Kalanaur,Gurdaspur,2144.4,1823.4,231.3,84.0,5.7,1.65,18
Pathankot,Gurdaspur,2055.0,1375.9,383.5,236.8,58.7,3.03,21
Nakodar,Jalandhar,1980.4,1860.8,53.5,41.1,25.0,1.84,21
Dharamkot,Moga,1924.3,1148.6,518.8,199.6,57.3,3.66,21
Budhlada,Mansa,1841.2,1790.1,50.4,0.8,0.0,1.22,8
Bhulath,Kapurthala,1661.2,1105.2,248.7,195.0,112.3,3.66,21
Tarn Taran,Tarn Taran,1469.4,479.8,232.6,468.9,288.1,7.39,17
Phagwara,Kapurthala,1425.2,1235.5,173.7,15.3,0.7,1.69,17
Rajpura,Patiala,1386.7,1374.8,11.9,0.0,0.0,1.24,5
Dasua,Hoshiarpur,1325.1,877.2,220.0,157.7,70.2,3.51,21
Jalandhar-I,Jalandhar,1275.2,1180.3,76.7,12.4,5.8,1.84,21
Lehra,Sangrur,1191.6,1145.1,34.6,11.3,0.8,1.24,14
Jagraon,Ludhiana,1100.8,745.0,144.1,119.8,91.9,3.96,21
Batala,Gurdaspur,1071.2,545.2,186.9,190.5,148.5,5.36,21
Dera Bassi,Sahibzada Ajit Singh Nagar,1003.3,999.6,3.7,0.0,0.0,1.06,4
Moonak,Sangrur,815.1,652.6,97.1,61.0,4.5,2.17,18
Mansa,Mansa,733.0,733.0,0.0,0.0,0.0,1.04,2
Jalalabad,Firozpur,701.5,274.1,168.2,149.6,109.6,6.19,21
Dhuri,Sangrur,635.0,629.0,4.5,1.5,0.0,1.27,8
Baba Bakala,Amritsar,581.5,248.3,90.0,98.0,145.2,7.08,21
Tapa,Barnala,551.6,546.4,3.0,2.2,0.0,1.06,9
Sunam,Sangrur,496.6,495.1,1.5,0.0,0.0,1.04,3
Mukerian,Hoshiarpur,470.3,329.3,79.8,55.4,5.8,2.81,20
Sangrur,Sangrur,462.2,458.5,1.5,2.2,0.0,1.13,8
Phillaur,Jalandhar,425.7,257.5,57.3,47.8,63.2,5.27,25
Nawanshahr,Nawanshahr,420.2,161.6,133.0,125.6,0.0,4.86,12
Ludhiana (East),Ludhiana,415.1,194.0,149.9,71.3,0.0,3.79,12
Rampura Phul,Bathinda,412.3,408.5,3.0,0.7,0.0,1.06,7
Patran,Patiala,355.9,298.8,41.3,14.3,1.5,1.92,15
Dudhan Sadhan,Patiala,339.6,333.6,6.0,0.0,0.0,1.3,4
