year,champ_cls_n_pos,champ_cls_pr_auc,champ_cls_roc_auc,champ_reg_spearman,champ_reg_mae,chal_cls_n_pos,chal_cls_pr_auc,chal_cls_roc_auc,chal_reg_spearman,chal_reg_mae,d_pr_auc,d_roc_auc
2015,0,,,0.2063934341241475,0.0009877444483414662,0,,,0.24177328412446833,0.000763833799254694,,
2016,0,,,0.2316524571388551,0.0011854025113844236,0,,,0.22275160559581134,0.001191448327169523,,
2017,0,,,0.36743136143660654,0.0004992932388345508,0,,,0.4389754170175526,0.00046677744082625563,,
2018,0,,,0.37689824055537596,0.0016579304935131914,0,,,0.3827847322423101,0.0016127365981348843,,
2019,2,0.05185185185185185,0.7807971014492754,0.4420731803979455,0.002151248987631539,2,0.05048076923076923,0.7844202898550725,0.4254426401118104,0.002202374035709886,-0.0013710826210826185,0.0036231884057971175
2020,0,,,0.45570128697343115,0.00026686136803353704,0,,,0.31842977898724856,0.0008791493013627041,,
2021,0,,,0.43152280010596694,0.00046538797693439535,0,,,0.40793288727016436,0.00026879960076457054,,
2022,0,,,0.40381848982090907,0.0004975654611769877,0,,,0.36688791729670894,0.0005071824692661465,,
2023,11,0.5922141264532569,0.9295278365045806,0.8618206714476234,0.003961993682241161,11,0.567032967032967,0.9281183932346723,0.8657236025910948,0.003909220039186398,-0.025181159420289867,-0.0014094432699083281
2024,0,,,0.615131647559201,0.0002374486589696562,0,,,0.669378445014182,0.00024275904596085613,,
2025,14,0.5121951293760606,0.8973922902494331,0.25581916606468363,0.00717983712177854,14,0.47142009597285717,0.8803854875283447,0.24803384208347676,0.005169640415757549,-0.04077503340320343,-0.017006802721088454
POOLED,27,0.26871129603879135,0.9458887175344545,0.5222873970343297,0.001735519449894495,27,0.24455393840451242,0.9445178820591907,0.5174854137788284,0.0015649019157630423,-0.024157357634278925,-0.001370835475263732
