year,window,district,pred,lo80,hi80,lo95,hi95
2015,2015-07-25,Amritsar,0.00054,0.0,0.002568,0.0,0.009737
2015,2015-07-25,Barnala,0.000156,0.0,0.002184,0.0,0.009353
2015,2015-07-25,Bathinda,-3.4e-05,0.0,0.001994,0.0,0.009163
2015,2015-07-25,Faridkot,-3.6e-05,0.0,0.001993,0.0,0.009162
2015,2015-07-25,Fatehgarh Sahib,2e-06,0.0,0.00203,0.0,0.009199
2015,2015-07-25,Firozpur,0.000533,0.0,0.002561,0.0,0.00973
2015,2015-07-25,Gurdaspur,0.000348,0.0,0.002376,0.0,0.009545
2015,2015-07-25,Hoshiarpur,-2.2e-05,0.0,0.002007,0.0,0.009175
2015,2015-07-25,Jalandhar,0.000394,0.0,0.002422,0.0,0.009591
2015,2015-07-25,Kapurthala,0.00139,0.0,0.003418,0.0,0.010587
2015,2015-07-25,Ludhiana,3.6e-05,0.0,0.002064,0.0,0.009233
2015,2015-07-25,Mansa,-2.4e-05,0.0,0.002004,0.0,0.009173
2015,2015-07-25,Moga,4.7e-05,0.0,0.002075,0.0,0.009244
2015,2015-07-25,Muktsar,-2.4e-05,0.0,0.002004,0.0,0.009173
2015,2015-07-25,Nawanshahr,9.4e-05,0.0,0.002123,0.0,0.009291
2015,2015-07-25,Patiala,2.7e-05,0.0,0.002056,0.0,0.009225
2015,2015-07-25,Rupnagar,1e-06,0.0,0.002029,0.0,0.009198
2015,2015-07-25,Sahibzada Ajit Singh Nagar,-1e-05,0.0,0.002018,0.0,0.009187
2015,2015-07-25,Sangrur,0.001747,0.0,0.003775,0.0,0.010944
2015,2015-07-25,Tarn Taran,0.001876,0.0,0.003904,0.0,0.011073
2015,2015-08-04,Amritsar,3.6e-05,0.0,0.002065,0.0,0.009233
2015,2015-08-04,Barnala,-1.1e-05,0.0,0.002017,0.0,0.009186
2015,2015-08-04,Bathinda,-4e-06,0.0,0.002024,0.0,0.009193
2015,2015-08-04,Faridkot,-1.5e-05,0.0,0.002013,0.0,0.009182
2015,2015-08-04,Fatehgarh Sahib,-4e-06,0.0,0.002024,0.0,0.009193
2015,2015-08-04,Firozpur,-0.000228,0.0,0.0018,0.0,0.008969
2015,2015-08-04,Gurdaspur,0.000105,0.0,0.002134,0.0,0.009303
2015,2015-08-04,Hoshiarpur,8e-06,0.0,0.002036,0.0,0.009205
2015,2015-08-04,Jalandhar,3.6e-05,0.0,0.002065,0.0,0.009233
2015,2015-08-04,Kapurthala,0.00035,0.0,0.002379,0.0,0.009547
2015,2015-08-04,Ludhiana,4.2e-05,0.0,0.00207,0.0,0.009239
2015,2015-08-04,Mansa,8e-06,0.0,0.002036,0.0,0.009205
2015,2015-08-04,Moga,4.4e-05,0.0,0.002072,0.0,0.009241
2015,2015-08-04,Muktsar,8e-06,0.0,0.002036,0.0,0.009205
2015,2015-08-04,Nawanshahr,1.8e-05,0.0,0.002047,0.0,0.009216
2015,2015-08-04,Patiala,1.6e-05,0.0,0.002044,0.0,0.009213
2015,2015-08-04,Rupnagar,-4e-06,0.0,0.002024,0.0,0.009193
2015,2015-08-04,Sahibzada Ajit Singh Nagar,-1.5e-05,0.0,0.002013,0.0,0.009182
2015,2015-08-04,Sangrur,1.6e-05,0.0,0.002045,0.0,0.009214
2015,2015-08-04,Tarn Taran,0.00084,0.0,0.002868,0.0,0.010037
2015,2015-08-14,Amritsar,0.000654,0.0,0.002683,0.0,0.009852
2015,2015-08-14,Barnala,6.5e-05,0.0,0.002093,0.0,0.009262
2015,2015-08-14,Bathinda,0.000195,0.0,0.002224,0.0,0.009392
2015,2015-08-14,Faridkot,-5.6e-05,0.0,0.001973,0.0,0.009142
2015,2015-08-14,Fatehgarh Sahib,0.000195,0.0,0.002224,0.0,0.009392
2015,2015-08-14,Firozpur,0.000991,0.0,0.003019,0.0,0.010188
2015,2015-08-14,Gurdaspur,0.000361,0.0,0.002389,0.0,0.009558
2015,2015-08-14,Hoshiarpur,-0.000135,0.0,0.001893,0.0,0.009062
2015,2015-08-14,Jalandhar,0.000717,0.0,0.002745,0.0,0.009914
2015,2015-08-14,Kapurthala,0.002755,0.000727,0.004784,0.0,0.011953
2015,2015-08-14,Ludhiana,0.000303,0.0,0.002331,0.0,0.0095
2015,2015-08-14,Mansa,-8.3e-05,0.0,0.001945,0.0,0.009114
2015,2015-08-14,Moga,0.000344,0.0,0.002372,0.0,0.009541
2015,2015-08-14,Muktsar,0.000208,0.0,0.002236,0.0,0.009405
2015,2015-08-14,Nawanshahr,0.000408,0.0,0.002436,0.0,0.009605
2015,2015-08-14,Patiala,9.4e-05,0.0,0.002122,0.0,0.009291
2015,2015-08-14,Rupnagar,0.000195,0.0,0.002224,0.0,0.009392
2015,2015-08-14,Sahibzada Ajit Singh Nagar,-5.6e-05,0.0,0.001973,0.0,0.009142
2015,2015-08-14,Sangrur,0.000217,0.0,0.002245,0.0,0.009414
2015,2015-08-14,Tarn Taran,0.006036,0.004008,0.008064,0.0,0.015233
2015,2015-08-24,Amritsar,0.002075,4.7e-05,0.004104,0.0,0.011273
2015,2015-08-24,Barnala,0.000536,0.0,0.002564,0.0,0.009733
2015,2015-08-24,Bathinda,0.001176,0.0,0.003205,0.0,0.010374
2015,2015-08-24,Faridkot,0.000813,0.0,0.002841,0.0,0.01001
2015,2015-08-24,Fatehgarh Sahib,0.001928,0.0,0.003957,0.0,0.011126
2015,2015-08-24,Firozpur,0.008996,0.006967,0.011024,0.0,0.018193
2015,2015-08-24,Gurdaspur,0.003105,0.001076,0.005133,0.0,0.012302
