check,scorer,row_r3,row_r5,event_r3,event_r5,group,ap,n,base
event_recall,model,0.5574912891986062,0.6376306620209059,0.6145833333333334,0.7083333333333334,,,,
event_recall,persistence,0.07317073170731707,0.10452961672473868,0.16666666666666666,0.21875,,,,
event_recall,distance_to_threshold,0.07317073170731707,0.10452961672473868,0.16666666666666666,0.21875,,,,
event_recall,hazard_combined,0.07317073170731707,0.10452961672473868,0.16666666666666666,0.21875,,,,
event_recall,district_wet_rate,0.0313588850174216,0.05574912891986063,0.03125,0.0625,,,,
denovo_split,model,,,,,de novo (frac_now = 0),0.18337291945596304,12712.0,0.020846444304594085
denovo_split,persistence,,,,,de novo (frac_now = 0),0.020846444304594085,12712.0,0.020846444304594085
denovo_split,distance_to_threshold,,,,,de novo (frac_now = 0),0.020846444304594085,12712.0,0.020846444304594085
denovo_split,hazard_combined,,,,,de novo (frac_now = 0),0.020846444304594085,12712.0,0.020846444304594085
denovo_split,district_wet_rate,,,,,de novo (frac_now = 0),0.020846444304594085,12712.0,0.020846444304594085
denovo_split,model,,,,,escalation (0 < frac < thr),0.09099646719624976,1700.0,0.012941176470588235
denovo_split,persistence,,,,,escalation (0 < frac < thr),0.10123599557259305,1700.0,0.012941176470588235
denovo_split,distance_to_threshold,,,,,escalation (0 < frac < thr),0.10123599557259305,1700.0,0.012941176470588235
denovo_split,hazard_combined,,,,,escalation (0 < frac < thr),0.10123599557259305,1700.0,0.012941176470588235
denovo_split,district_wet_rate,,,,,escalation (0 < frac < thr),0.012941176470588235,1700.0,0.012941176470588235
baselines,model,,,,,,0.17284387910444368,,0.019913960588398557
baselines,persistence,,,,,,0.02614770543039256,,0.019913960588398557
baselines,distance_to_threshold,,,,,,0.02614770543039256,,0.019913960588398557
baselines,hazard_combined,,,,,,0.02614770543039256,,0.019913960588398557
baselines,district_wet_rate,,,,,,0.019913960588398557,,0.019913960588398557
