date,district,year,variant,y,score,frac_now
2015-07-25,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-26,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-27,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-28,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-29,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-30,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-31,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-01,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-02,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-03,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-04,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-05,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-06,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-07,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-08,Amritsar,2015,persistence,0.0,0.000205,0.000205
2015-08-09,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-10,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-11,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-12,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-13,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-14,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-15,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-16,Amritsar,2015,persistence,0.0,0.000408,0.000408
2015-08-17,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-18,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-19,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-20,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-21,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-22,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-23,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-24,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-25,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-26,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-27,Amritsar,2015,persistence,0.0,5e-06,5e-06
2015-08-28,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-29,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-30,Amritsar,2015,persistence,0.0,0.0,0.0
2015-08-31,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-01,Amritsar,2015,persistence,0.0,9.4e-05,9.4e-05
2015-09-02,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-03,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-04,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-05,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-06,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-07,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-08,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-09,Amritsar,2015,persistence,0.0,6.2e-05,6.2e-05
2015-09-10,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-11,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-12,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-13,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-14,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-15,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-16,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-17,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-18,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-19,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-20,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-21,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-22,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-23,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-24,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-25,Amritsar,2015,persistence,0.0,0.000192,0.000192
2015-09-26,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-27,Amritsar,2015,persistence,0.0,0.0,0.0
2015-09-28,Amritsar,2015,persistence,0.0,0.0,0.0
2015-07-25,Barnala,2015,persistence,0.0,0.0,0.0
2015-07-26,Barnala,2015,persistence,0.0,0.0,0.0
2015-07-27,Barnala,2015,persistence,0.0,0.0,0.0
2015-07-28,Barnala,2015,persistence,0.0,0.0,0.0
2015-07-29,Barnala,2015,persistence,0.0,0.0,0.0
