threshold,horizon,variant,n,n_pos,ap,roc,recall_at_3,recall_at_5,quiet_alert_rate,brier_skill
0.005,3,persistence,14412,287,0.02614770543039256,0.4821977737350066,0.07317073170731707,0.10452961672473868,0.0,
0.005,3,observation_timing,14412,287,0.039721613413011954,0.7147542783139589,0.0313588850174216,0.05574912891986063,0.3200377625678546,-9.568433932629258
0.005,3,prior_only,14412,287,0.05554610020481671,0.7426013382257717,0.5261324041811847,0.5574912891986062,0.27826292187868773,-8.477098378722088
0.005,3,state_only,14412,287,0.16731328505923435,0.6201755110850731,0.2857142857142857,0.3693379790940767,0.042089528754621984,-8.725323611993728
0.005,3,rain_only,14412,287,0.01978807671171357,0.44583861120532825,0.10104529616724739,0.21951219512195122,0.30202187082054915,-9.901855613107124
0.005,3,rain_climatology,14412,287,0.020484448906269808,0.44849532854367735,0.156794425087108,0.2613240418118467,0.2982456140350877,-9.76653233250759
0.005,3,prior_state_season,14412,287,0.17284387910444368,0.7966992075483333,0.5574912891986062,0.6376306620209059,0.22185508614585792,-7.143636288949063
0.005,3,full,14412,287,0.10639516656466438,0.6635241589836884,0.5296167247386759,0.6445993031358885,0.1954999606639918,-6.205836305949964
0.005,3,full_plus_timing,14412,287,0.13381595544944314,0.746409299744072,0.5331010452961672,0.6515679442508711,0.1634804500039336,-5.3609454759961706
0.002,1,persistence,14309,181,0.02765861031776334,0.5420154248762694,0.143646408839779,0.18232044198895028,0.0,
0.002,1,observation_timing,14309,181,0.07068874953220555,0.7428864665911665,0.04419889502762431,0.06629834254143646,0.2860811116985122,-13.455713002641364
0.002,1,prior_only,14309,181,0.03843420092281921,0.7011299218510477,0.46408839779005523,0.6464088397790055,0.31719658636054676,-15.36940616892624
0.002,1,state_only,14309,181,0.03419830034704276,0.49031389412037063,0.143646408839779,0.18232044198895028,0.061324673363039046,-17.553358335414625
0.002,1,rain_only,14309,181,0.016805321473758687,0.5404670322794591,0.1712707182320442,0.281767955801105,0.2839664677894419,-16.22059939849948
0.002,1,rain_climatology,14309,181,0.01667342114096749,0.5289996589977662,0.15469613259668508,0.2541436464088398,0.2786798580167661,-16.20903141813661
0.002,1,prior_state_season,14309,181,0.04719855487783042,0.7302973445624221,0.44751381215469616,0.6408839779005525,0.2924250434257231,-14.43594303436932
0.002,1,full,14309,181,0.028622294873374986,0.675819109264624,0.44751381215469616,0.6187845303867403,0.2427309115625708,-12.337546370809278
0.002,1,full_plus_timing,14309,181,0.07030669736667222,0.790614852055086,0.44751381215469616,0.6243093922651933,0.16917151272562495,-9.281390763986202
0.002,2,persistence,14309,361,0.031604353566614986,0.4927928784952737,0.09418282548476455,0.12188365650969529,0.0,
0.002,2,observation_timing,14309,361,0.06710827084430018,0.7295885111855908,0.0443213296398892,0.06371191135734072,0.31412805323379045,-7.0559491882030105
0.002,2,prior_only,14309,361,0.07491824474273619,0.7060165895168997,0.4376731301939058,0.6398891966759003,0.3176174632800454,-7.215853570824285
0.002,2,state_only,14309,361,0.08010023436729444,0.5314729541542111,0.2188365650969529,0.29362880886426596,0.07157348048364846,-8.023389154800793
0.002,2,rain_only,14309,361,0.03696560657175876,0.5531656163335602,0.18282548476454294,0.31301939058171746,0.2903513754767508,-7.754267838772384
0.002,2,rain_climatology,14309,361,0.037742429499349986,0.5413458933736466,0.18005540166204986,0.28254847645429365,0.2830479591008683,-7.736770729749587
0.002,2,prior_state_season,14309,361,0.09635468125124173,0.7431669429864944,0.45706371191135736,0.6592797783933518,0.28694311450133897,-6.708075951366744
0.002,2,full,14309,361,0.06590729177145742,0.6982736432193338,0.4515235457063712,0.6454293628808865,0.24344721252941653,-5.764537814039523
0.002,2,full_plus_timing,14309,361,0.12095192068523092,0.8052137857511121,0.44598337950138506,0.6454293628808865,0.18518217966404285,-4.627405845007167
0.002,3,persistence,14309,539,0.04122728690673996,0.47872974105467103,0.08163265306122448,0.10575139146567718,0.0,
0.002,3,observation_timing,14309,539,0.07766326775563279,0.7151216041972345,0.04638218923933209,0.06493506493506493,0.3134354485776805,-4.662884090642536
0.002,3,prior_only,14309,539,0.11149080755742602,0.7111942420065669,0.4322820037105751,0.6437847866419295,0.31781181619256016,-4.50745932362923
0.002,3,state_only,14309,539,0.17101050014084734,0.5759941013442414,0.23376623376623376,0.32653061224489793,0.052603938730853395,-4.670124596252116
0.002,3,rain_only,14309,539,0.05891856186184859,0.5736966840608297,0.16697588126159554,0.27087198515769945,0.31054704595185995,-5.005526861385117
0.002,3,rain_climatology,14309,539,0.06234505205315546,0.5570280637507528,0.15769944341372913,0.26159554730983303,0.30442013129102846,-4.9876627444355055
0.002,3,prior_state_season,14309,539,0.1915560398956913,0.7641719313988221,0.45454545454545453,0.6512059369202227,0.2674835886214442,-3.907770757389277
0.002,3,full,14309,539,0.15045191665664326,0.7365212751767373,0.4582560296846011,0.6493506493506493,0.2362363238512035,-3.433877452828993
0.002,3,full_plus_timing,14309,539,0.19145568724659331,0.8061869865791433,0.45454545454545453,0.634508348794063,0.18914660831509847,-2.919821230162032
0.002,5,persistence,14309,766,0.06898560334640945,0.5066012058294546,0.09007832898172324,0.12532637075718014,0.0,
0.002,5,observation_timing,14309,766,0.07938362086925427,0.626305940906915,0.048302872062663184,0.06919060052219321,0.33605759875462154,-3.4451533165877146
0.002,5,prior_only,14309,766,0.15996544169920224,0.7141147845687916,0.4360313315926893,0.6449086161879896,0.3207822533566842,-2.9202450655295102
0.002,5,state_only,14309,766,0.21599231994593643,0.7030484469831997,0.2206266318537859,0.31070496083550914,0.052636699747032493,-3.0663464312324686
0.002,5,rain_only,14309,766,0.10837417740921852,0.6085891394376948,0.1475195822454308,0.26631853785900783,0.3019069857949017,-3.242086420347926
0.002,5,rain_climatology,14309,766,0.12139057989917551,0.5921948829846486,0.12010443864229765,0.24412532637075718,0.29529091262891616,-3.2335554432805473
0.002,5,prior_state_season,14309,766,0.2338767061073402,0.7620474500618764,0.4425587467362924,0.6266318537859008,0.2708698190309399,-2.5191632856294683
0.002,5,full,14309,766,0.21752706851784692,0.7641560996412357,0.4360313315926893,0.6201044386422977,0.23613543490951547,-2.1949823937410224
0.002,5,full_plus_timing,14309,766,0.2324318779169167,0.7926541492729183,0.4386422976501306,0.6148825065274152,0.21258999805409612,-2.053957258565052
0.005,1,persistence,14412,96,0.027886246651122836,0.5600584573204807,0.15625,0.20833333333333334,0.0,
0.005,1,observation_timing,14412,96,0.03875187852419049,0.726481733724504,0.03125,0.0625,0.296626768226333,-27.04443170387421
0.005,1,prior_only,14412,96,0.018910592809172278,0.7323900414454689,0.53125,0.5833333333333334,0.27689517591585056,-27.507963280827603
0.005,1,state_only,14412,96,0.035196515229904204,0.5553194415339481,0.15625,0.20833333333333334,0.05077983315197679,-32.55890197985619
0.005,1,rain_only,14412,96,0.0046559939059446775,0.3222850889447705,0.10416666666666667,0.1875,0.2770402611534276,-30.37746586805676
0.005,1,rain_climatology,14412,96,0.004686482149846319,0.3073928064170625,0.17708333333333334,0.2708333333333333,0.27950671019223794,-30.06447937367548
0.005,1,prior_state_season,14412,96,0.04997628655816381,0.7503048744993946,0.53125,0.5625,0.2583968081247733,-26.05800816904539
0.005,1,full,14412,96,0.012863150229634876,0.5328602321411939,0.4375,0.5520833333333334,0.21965904969169386,-22.16685577594797
0.005,1,full_plus_timing,14412,96,0.032365087002011336,0.6377821726273634,0.4375,0.5625,0.16046427276024663,-16.87628945927924
0.005,2,persistence,14412,192,0.023206237397168414,0.5003444752109705,0.09375,0.13020833333333334,0.0,
0.005,2,observation_timing,14412,192,0.03532622057366682,0.7316514299109235,0.036458333333333336,0.0625,0.3159682899207248,-14.0238143798754
0.005,2,prior_only,14412,192,0.03700222192915415,0.7366857858649789,0.5260416666666666,0.5625,0.2778406946017365,-13.217971379599994
0.005,2,state_only,14412,192,0.07652351293133594,0.5806245971050165,0.2604166666666667,0.3333333333333333,0.055190637976594945,-14.616949060172793
0.005,2,rain_only,14412,192,0.011246690213929862,0.3965618407172996,0.11979166666666667,0.2552083333333333,0.2934692336730842,-14.968787158055399
0.005,2,rain_climatology,14412,192,0.011520243428249923,0.3843618143459916,0.140625,0.25,0.2942242355605889,-14.844584460150093
0.005,2,prior_state_season,14412,192,0.08430301976511768,0.7805705725503985,0.5572916666666666,0.6145833333333334,0.24114760286900716,-11.909454905442656
0.005,2,full,14412,192,0.031983260305190025,0.5986971841303329,0.5208333333333334,0.6145833333333334,0.2074745186862967,-10.161778133815845
0.005,2,full_plus_timing,14412,192,0.060258341284438265,0.7034242410923582,0.5104166666666666,0.6354166666666666,0.1610419026047565,-8.106175543103259
0.005,5,persistence,14412,405,0.04059721182869283,0.5077835861610641,0.08888888888888889,0.12345679012345678,0.0,
0.005,5,observation_timing,14412,405,0.04389793080277859,0.6370645365148113,0.03209876543209877,0.056790123456790124,0.35500747384155457,-7.267436742753347
0.005,5,prior_only,14412,405,0.081727726202818,0.7471028154353159,0.5111111111111111,0.5506172839506173,0.2809333997674805,-5.779666205362093
0.005,5,state_only,14412,405,0.17087881331388105,0.6274602557627712,0.2641975308641975,0.3333333333333333,0.040524829762497924,-6.240459666610682
0.005,5,rain_only,14412,405,0.05367342232052351,0.5435040856996546,0.10617283950617284,0.20246913580246914,0.28242816807839227,-6.643764997828362
0.005,5,rain_climatology,14412,405,0.07663797921898045,0.5339822152415855,0.17037037037037037,0.2814814814814815,0.27802690582959644,-6.536761520893665
0.005,5,prior_state_season,14412,405,0.189509544873523,0.790814821865963,0.5432098765432098,0.6123456790123457,0.23110778940375354,-5.017178183929371
0.005,5,full,14412,405,0.16732936670757959,0.7367466178727216,0.5185185185185185,0.6049382716049383,0.1964789902009633,-4.333328471049209
0.005,5,full_plus_timing,14412,405,0.17197429715627438,0.7763680769844354,0.5111111111111111,0.6296296296296297,0.18452084371366884,-4.073456946605042
0.01,1,persistence,14454,59,0.012849598766651805,0.5515757001312838,0.15254237288135594,0.22033898305084745,0.0,
0.01,1,observation_timing,14454,59,0.021306680046932647,0.7130165252765496,0.03389830508474576,0.05084745762711865,0.29456974572618877,-44.482417660773024
0.01,1,prior_only,14454,59,0.013219426637247888,0.7900801243369578,0.7457627118644068,0.7796610169491526,0.24730642149116505,-39.76120710750844
0.01,1,state_only,14454,59,0.016427171594478325,0.5293516463461301,0.15254237288135594,0.22033898305084745,0.04963367332279845,-53.43364866975813
0.01,1,rain_only,14454,59,0.003269694410058179,0.34301575994489614,0.13559322033898305,0.288135593220339,0.266987501795719,-47.6936057704467
0.01,1,rain_climatology,14454,59,0.0035534755236259234,0.3029712529656602,0.1864406779661017,0.2711864406779661,0.26440166642723745,-46.867127119358045
0.01,1,prior_state_season,14454,59,0.023688296033847214,0.7949723597529744,0.6949152542372882,0.7796610169491526,0.23365895704640138,-37.81211131679933
0.01,1,full,14454,59,0.00794389022528701,0.6236110702280099,0.559322033898305,0.6949152542372882,0.18603648901019967,-30.429181191825997
0.01,1,full_plus_timing,14454,59,0.020350274041144572,0.6828936601103255,0.559322033898305,0.6949152542372882,0.1334578365177417,-22.863171033745015
0.01,2,persistence,14454,118,0.012132561940403528,0.4955159111115315,0.09322033898305085,0.13559322033898305,0.0,
0.01,2,observation_timing,14454,118,0.019527183228569996,0.7123355449833534,0.03389830508474576,0.05084745762711865,0.3172634081117219,-23.431664019283197
0.01,2,prior_only,14454,118,0.02659767120082479,0.7933813653904357,0.7457627118644068,0.7796610169491526,0.2482543455652949,-19.282145964098127
0.01,2,state_only,14454,118,0.06044599540540604,0.5986328125,0.2966101694915254,0.3559322033898305,0.04835834199970287,-23.796175210561042
0.01,2,rain_only,14454,118,0.008122726833581208,0.404212933187046,0.1271186440677966,0.2542372881355932,0.28287030158965976,-23.903595564021565
0.01,2,rain_climatology,14454,118,0.008837989624789828,0.3730592889300848,0.11864406779661017,0.19491525423728814,0.2852473629475561,-23.679165322279967
0.01,2,prior_state_season,14454,118,0.0757216083692616,0.8197184047745159,0.7542372881355932,0.8135593220338984,0.2177239637498143,-17.572175436536074
0.01,2,full,14454,118,0.03274312835600344,0.7009702964210048,0.635593220338983,0.7711864406779662,0.1803595305303818,-14.00986796762219
0.01,2,full_plus_timing,14454,118,0.05582695221446392,0.7734434113952785,0.635593220338983,0.7627118644067796,0.13616104590699749,-11.47375112438186
0.01,3,persistence,14454,176,0.014656261418514019,0.4799190426466656,0.07386363636363637,0.10795454545454546,0.0,
0.01,3,observation_timing,14454,176,0.02402709344959289,0.7000339842605916,0.03409090909090909,0.05113636363636364,0.32461940642780257,-16.19971280078937
0.01,3,prior_only,14454,176,0.04052173028328629,0.7971032198296173,0.7556818181818182,0.7840909090909091,0.24842380439797015,-12.511046528236493
0.01,3,state_only,14454,176,0.15558779656424962,0.6382805237555553,0.3352272727272727,0.3977272727272727,0.03829001999077349,-14.48697665766996
0.01,3,rain_only,14454,176,0.015053997206018386,0.4611970577748348,0.14772727272727273,0.24431818181818182,0.2914039673996617,-16.040496064770696
0.01,3,rain_climatology,14454,176,0.019254625787086654,0.42322382495638555,0.14772727272727273,0.22727272727272727,0.2890973396893741,-15.847887501671156
0.01,3,prior_state_season,14454,176,0.1757717157918803,0.8265366138623947,0.7556818181818182,0.8011363636363636,0.20613562970936491,-10.871820192510121
0.01,3,full,14454,176,0.11396356633105029,0.7660454258936189,0.6875,0.8068181818181818,0.1719206520067661,-8.758789342732634
0.01,3,full_plus_timing,14454,176,0.12826093888571743,0.8220760801742031,0.6761363636363636,0.8068181818181818,0.14401045671228663,-7.774553255939612
0.01,5,persistence,14454,248,0.023946061237381,0.5044902369739275,0.0967741935483871,0.13709677419354838,0.0,
0.01,5,observation_timing,14454,248,0.023745750871393138,0.6155601279332222,0.04032258064516129,0.06048387096774194,0.36620169953503284,-12.557569326151798
0.01,5,prior_only,14454,248,0.05761613409632313,0.7865562824431295,0.7379032258064516,0.7661290322580645,0.257655924322591,-8.856124786713593
0.01,5,state_only,14454,248,0.14652765255988812,0.5960996432674972,0.31048387096774194,0.3629032258064516,0.037598204264870934,-10.459330486903456
0.01,5,rain_only,14454,248,0.050971914367896116,0.5714895568887295,0.11693548387096774,0.24596774193548387,0.27761744428411095,-10.965874919970267
0.01,5,rain_climatology,14454,248,0.0739171770422574,0.532821206850354,0.1532258064516129,0.24193548387096775,0.27400994067660733,-10.773765136135243
0.01,5,prior_state_season,14454,248,0.16983114143919456,0.8101824308674662,0.6935483870967742,0.782258064516129,0.22109988776655443,-7.824424021677318
0.01,5,full,14454,248,0.18199928296179485,0.7947726539899089,0.6491935483870968,0.7782258064516129,0.17612634279300945,-6.321986653869938
0.01,5,full_plus_timing,14454,248,0.19131198741150865,0.8132008056568556,0.6532258064516129,0.782258064516129,0.1657848324514991,-6.137729097924497
0.02,1,persistence,14495,23,0.016267297705310844,0.5837223904631432,0.21739130434782608,0.2608695652173913,0.0,
0.02,1,observation_timing,14495,23,0.004921721080977289,0.6508925781719422,0.043478260869565216,0.043478260869565216,0.2723770836251576,-111.92677677874573
0.02,1,prior_only,14495,23,0.004936471758045514,0.7524304804480016,0.6956521739130435,0.782608695652174,0.17320352990614932,-94.87894104703693
0.02,1,state_only,14495,23,0.01436667216265984,0.6007898310380465,0.21739130434782608,0.2608695652173913,0.0347387589298221,-123.5528081550706
0.02,1,rain_only,14495,23,0.001071810526935608,0.14784471362991805,0.13043478260869565,0.13043478260869565,0.20065835551197647,-102.3911855145901
0.02,1,rain_climatology,14495,23,0.002446735638653632,0.15577907563631116,0.17391304347826086,0.17391304347826086,0.23035439137134053,-102.5570392250214
0.02,1,prior_state_season,14495,23,0.0061809969511373575,0.7750168240920998,0.6521739130434783,0.7391304347826086,0.15842554979689033,-88.73301914364605
0.02,1,full,14495,23,0.0008861384281306655,0.12828069795947797,0.17391304347826086,0.17391304347826086,0.130550497268525,-59.0869407050607
0.02,1,full_plus_timing,14495,23,0.0011011176586040062,0.27029406109548876,0.2608695652173913,0.30434782608695654,0.08971844796189943,-41.041975046065104
0.02,2,persistence,14495,46,0.010306812012365666,0.5110779443138835,0.13043478260869565,0.15217391304347827,0.0,
0.02,2,observation_timing,14495,46,0.007422180817206964,0.6767129965365438,0.043478260869565216,0.043478260869565216,0.3035182295361044,-60.31116404715773
0.02,2,prior_only,14495,46,0.009790183267526549,0.7563709840006981,0.6956521739130435,0.782608695652174,0.17371258334515535,-46.80673513482842
0.02,2,state_only,14495,46,0.04464014759428866,0.6608980010652159,0.3695652173913043,0.41304347826086957,0.03787771315080153,-55.016454786484786
0.02,2,rain_only,14495,46,0.0025950976461649585,0.2812591212871659,0.06521739130434782,0.2608695652173913,0.2186125691587459,-52.93159546344157
0.02,2,rain_climatology,14495,46,0.005506395422950684,0.2580560712791919,0.10869565217391304,0.17391304347826086,0.23797701801673996,-52.8637897400671
0.02,2,prior_state_season,14495,46,0.05758714666969106,0.7931254457206305,0.7391304347826086,0.8043478260869565,0.14661654135338345,-40.821058158490494
0.02,2,full,14495,46,0.0036053206626622415,0.3143048864521992,0.30434782608695654,0.3695652173913043,0.12015888778550149,-27.736056601438975
0.02,2,full_plus_timing,14495,46,0.011460305423050186,0.38404041802200845,0.2826086956521739,0.34782608695652173,0.09469428287700384,-21.595306293613405
0.02,3,persistence,14495,69,0.00937781948346512,0.48679769016088104,0.10144927536231885,0.11594202898550725,0.0,
0.02,3,observation_timing,14495,69,0.009501140713387583,0.6457528375698466,0.043478260869565216,0.043478260869565216,0.31031757436413276,-41.28674818316325
0.02,3,prior_only,14495,69,0.014905043426667743,0.7607248988842609,0.6956521739130435,0.782608695652174,0.1741629544474781,-30.774694652685927
0.02,3,state_only,14495,69,0.13006532835871623,0.6980497169964858,0.42028985507246375,0.463768115942029,0.03218853283517747,-33.55284665467142
0.02,3,rain_only,14495,69,0.005613928750782532,0.3963515954486364,0.10144927536231885,0.2318840579710145,0.22639747090099152,-35.469873539513756
0.02,3,rain_climatology,14495,69,0.008307242791275772,0.37437034983132306,0.11594202898550725,0.14492753623188406,0.23336686305503665,-35.14965709165773
0.02,3,prior_state_season,14495,69,0.125616958690835,0.8097476978965112,0.7246376811594203,0.8115942028985508,0.1375916079896537,-24.913724748737256
0.02,3,full,14495,69,0.09516098364122413,0.4191365429166742,0.36231884057971014,0.42028985507246375,0.11725822675671792,-18.191773734882066
0.02,3,full_plus_timing,14495,69,0.0388954049633423,0.4970212800157525,0.3333333333333333,0.43478260869565216,0.10490012932892658,-15.741524643195287
0.02,5,persistence,14495,97,0.02062698342381625,0.533664469435188,0.14432989690721648,0.16494845360824742,0.0,
0.02,5,observation_timing,14495,97,0.008149911297404869,0.5574675320025834,0.05154639175257732,0.05154639175257732,0.3595276279341012,-32.333941400494574
0.02,5,prior_only,14495,97,0.02190278312557766,0.7628558090112745,0.7010309278350515,0.7835051546391752,0.17823297856830442,-21.88262310537249
0.02,5,state_only,14495,97,0.1086357324866497,0.6233869824417195,0.3917525773195876,0.4329896907216495,0.03367837877241581,-24.99096065788779
0.02,5,rain_only,14495,97,0.013833107166426422,0.6111730867546037,0.1134020618556701,0.1958762886597938,0.21278612042571804,-25.200212053369363
0.02,5,rain_climatology,14495,97,0.020748628437759424,0.5269002138040363,0.05154639175257732,0.13402061855670103,0.22240851436069398,-24.92617650201905
0.02,5,prior_state_season,14495,97,0.10979358840605802,0.799110844432861,0.7010309278350515,0.7731958762886598,0.1468873013558828,-18.522210112789097
0.02,5,full,14495,97,0.040493954567571606,0.5805209200017757,0.3917525773195876,0.4845360824742268,0.12246683189969383,-13.689805627809946
0.02,5,full_plus_timing,14495,97,0.02822260961742515,0.5949602106821824,0.422680412371134,0.5051546391752577,0.12574719346843563,-13.22254336733907
