year,window_start,window_end,district,flooded_ha,flooded_fraction,punjab_mm,upstream_mm,punjab_mm_lag1,upstream_mm_lag1,punjab_mm_lag2,upstream_mm_lag2,bhakra_delta,pong_delta,ranjit_sagar_delta,bhakra_storage,pong_storage,ranjit_sagar_storage,prior_mean_annual_flooded_ha,prior_seasons_with_fraction_gt2pct,flood_event,antecedent_fraction,week_of_season,window_md,core_season
2015,2015-06-15,2015-06-25,Amritsar,275.4,0.001032,24.433,26.566,12.158,17.912,5.328,14.979,0.073,-0.0005,0.039,2.621,2.2763,1.8917,1134.8,1,0,,0,06-15,0
2015,2015-06-25,2015-07-05,Amritsar,0.0,0.0,26.709,36.058,24.433,26.566,12.158,17.912,0.072,-0.0047,0.0,2.7307,2.3317,1.951,1134.8,1,0,0.001032,1,06-25,0
2015,2015-07-05,2015-07-15,Amritsar,0.0,0.0,102.005,102.546,26.709,36.058,24.433,26.566,0.789,0.4175,0.08,3.1041,2.4305,1.975,1134.8,1,0,0.0,2,07-05,0
2015,2015-07-15,2015-07-25,Amritsar,260.01,0.000975,78.373,91.986,102.005,102.546,26.709,36.058,0.6805,0.8387,0.0,3.8432,3.2224,1.9857,1134.8,1,0,0.0,3,07-15,0
2015,2015-07-25,2015-08-04,Amritsar,0.0,0.0,60.969,86.411,78.373,91.986,102.005,102.546,0.411,0.6512,0.0,4.4471,3.9999,1.969,1134.8,1,0,0.000975,4,07-25,1
2015,2015-08-04,2015-08-14,Amritsar,60.46,0.000227,85.141,93.815,60.969,86.411,78.373,91.986,0.589,0.9585,0.039,4.9802,4.8784,2.0348,1134.8,1,0,0.0,5,08-04,1
2015,2015-08-14,2015-08-24,Amritsar,111.69,0.000419,42.57,48.941,85.141,93.815,60.969,86.411,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,1134.8,1,0,0.000227,6,08-14,1
2015,2015-08-24,2015-09-03,Amritsar,30.26,0.000113,8.06,11.591,42.57,48.941,85.141,93.815,0.198,0.0233,-0.19,5.742,5.6849,1.7892,1134.8,1,0,0.000419,7,08-24,1
2015,2015-09-03,2015-09-13,Amritsar,17.27,6.5e-05,2.674,5.816,8.06,11.591,42.57,48.941,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,1134.8,1,0,0.000113,8,09-03,1
2015,2015-09-13,2015-09-23,Amritsar,0.0,0.0,32.271,23.052,2.674,5.816,8.06,11.591,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,1134.8,1,0,6.5e-05,9,09-13,1
2015,2015-09-23,2015-09-30,Amritsar,58.3,0.000219,49.573,51.049,30.469,20.978,1.802,2.074,0.075,0.0662,0.127,5.8914,5.3177,1.3278,1134.8,1,0,0.0,10,09-23,1
2016,2016-06-15,2016-06-25,Amritsar,15.84,5.9e-05,39.398,41.21,13.968,19.099,10.012,8.503,0.0041,0.1265,-0.05,1.8451,0.3902,0.8714,1134.8,1,0,0.000219,0,06-15,0
2016,2016-06-25,2016-07-05,Amritsar,0.0,0.0,68.662,71.855,39.398,41.21,13.968,19.099,0.0724,0.2854,-0.029,1.894,0.5562,0.7851,1134.8,1,0,5.9e-05,1,06-25,0
2016,2016-07-05,2016-07-15,Amritsar,4016.17,0.015055,33.174,43.162,68.662,71.855,39.398,41.21,0.1184,0.1412,0.029,2.0235,0.8304,0.8166,1134.8,1,0,0.0,2,07-05,0
2016,2016-07-15,2016-07-25,Amritsar,10.89,4.1e-05,65.272,71.381,33.174,43.162,68.662,71.855,0.2962,0.3805,0.073,2.2246,1.1744,0.9196,1134.8,1,0,0.015055,3,07-15,0
2016,2016-07-25,2016-08-04,Amritsar,104.41,0.000391,66.902,96.476,65.272,71.381,33.174,43.162,0.2275,0.7443,0.122,2.452,1.6571,0.9663,1134.8,1,0,4.1e-05,4,07-25,1
2016,2016-08-04,2016-08-14,Amritsar,5.08,1.9e-05,100.237,122.051,66.902,96.476,65.272,71.381,0.8114,1.4808,0.47,3.0383,2.8907,1.2339,1134.8,1,0,0.000391,5,08-04,1
2016,2016-08-14,2016-08-24,Amritsar,10.82,4.1e-05,34.098,51.722,100.237,122.051,66.902,96.476,0.3912,0.2452,0.122,3.6984,3.9097,1.6171,1134.8,1,0,1.9e-05,6,08-14,1
2016,2016-08-24,2016-09-03,Amritsar,12.25,4.6e-05,74.166,67.051,34.098,51.722,100.237,122.051,0.4205,0.4628,0.151,4.1762,4.2622,1.7774,1134.8,1,0,4.1e-05,7,08-24,1
2016,2016-09-03,2016-09-13,Amritsar,0.0,0.0,6.8,14.184,74.166,67.051,34.098,51.722,0.1202,0.0555,-0.041,4.5279,4.5818,1.8328,1134.8,1,0,4.6e-05,8,09-03,1
2016,2016-09-13,2016-09-23,Amritsar,14.42,5.4e-05,11.01,12.184,6.8,14.184,74.166,67.051,-0.0009,-0.1429,-0.079,4.5923,4.5233,1.7525,1134.8,1,0,0.0,9,09-13,1
2016,2016-09-23,2016-09-30,Amritsar,13.68,5.1e-05,5.155,5.938,6.446,7.845,9.579,11.885,-0.0324,-0.1157,-0.091,4.5793,4.3773,1.6511,1134.8,1,0,5.4e-05,10,09-23,1
2017,2017-06-15,2017-06-25,Amritsar,3455.03,0.012951,38.213,34.418,26.125,31.734,11.607,23.249,-0.0701,0.0053,-0.056,1.657,0.6218,1.3598,1134.8,1,0,5.1e-05,0,06-15,0
2017,2017-06-25,2017-07-05,Amritsar,33211.9,0.124498,69.659,69.134,38.213,34.418,26.125,31.734,0.211,0.3777,0.128,1.7009,0.8167,1.365,1134.8,1,1,0.012951,1,06-25,0
2017,2017-07-05,2017-07-15,Amritsar,13917.83,0.052172,53.45,64.372,69.659,69.134,38.213,34.418,0.4179,0.4307,0.092,2.075,1.2128,1.4597,1134.8,1,1,0.124498,2,07-05,0
2017,2017-07-15,2017-07-25,Amritsar,831.71,0.003118,53.319,99.829,53.45,64.372,69.659,69.134,0.6287,0.8299,0.242,2.6595,1.974,1.735,1134.8,1,0,0.052172,3,07-15,0
2017,2017-07-25,2017-08-04,Amritsar,22.42,8.4e-05,79.614,101.185,53.319,99.829,53.45,64.372,0.8204,1.0928,0.118,3.4291,2.9365,1.8976,1134.8,1,0,0.003118,4,07-25,1
2017,2017-08-04,2017-08-14,Amritsar,222.64,0.000835,80.92,87.08,79.614,101.185,53.319,99.829,0.855,1.2294,0.0,4.4595,4.4263,1.967,1134.8,1,0,8.4e-05,5,08-04,1
2017,2017-08-14,2017-08-24,Amritsar,17.3,6.5e-05,37.631,45.837,80.92,87.08,79.614,101.185,0.3411,0.1422,-0.118,5.0471,5.0622,1.9036,1134.8,1,0,0.000835,6,08-14,1
2017,2017-08-24,2017-09-03,Amritsar,7.92,3e-05,65.992,64.405,37.631,45.837,80.92,87.08,0.2585,0.2,-0.081,5.4057,5.2381,1.7764,1134.8,1,0,6.5e-05,7,08-24,1
2017,2017-09-03,2017-09-13,Amritsar,2.16,8e-06,16.237,27.632,65.992,64.405,37.631,45.837,0.0405,0.0342,0.08,5.6081,5.4282,1.8564,1134.8,1,0,3e-05,8,09-03,1
2017,2017-09-13,2017-09-23,Amritsar,6.48,2.4e-05,0.974,6.445,16.237,27.632,65.992,64.405,-0.179,-0.147,-0.159,5.4917,5.3457,1.8083,1134.8,1,0,8e-06,9,09-13,1
2017,2017-09-23,2017-09-30,Amritsar,0.0,0.0,17.621,36.538,0.062,5.791,5.105,11.336,0.0662,-0.0248,-0.031,5.4303,5.2441,1.7077,1134.8,1,0,2.4e-05,10,09-23,1
2018,2018-06-15,2018-06-25,Amritsar,1080.62,0.004051,23.708,20.179,23.198,23.621,3.316,7.124,-0.1459,-0.1264,-0.025,0.5928,0.5048,0.751,1134.8,1,0,0.0,0,06-15,0
2018,2018-06-25,2018-07-05,Amritsar,3748.54,0.014052,97.036,91.677,23.708,20.179,23.198,23.621,0.0101,0.1178,0.173,0.388,0.4485,0.7928,1134.8,1,0,0.004051,1,06-25,0
2018,2018-07-05,2018-07-15,Amritsar,6862.24,0.025724,35.776,35.446,97.036,91.677,23.708,20.179,0.154,-0.0611,0.047,0.5025,0.5039,0.9151,1134.8,1,1,0.014052,2,07-05,0
2018,2018-07-15,2018-07-25,Amritsar,347.32,0.001302,70.552,89.485,35.776,35.446,97.036,91.677,0.3451,0.2888,0.049,0.8112,0.6288,0.9662,1134.8,1,0,0.025724,3,07-15,0
2018,2018-07-25,2018-08-04,Amritsar,44.82,0.000168,59.75,78.462,70.552,89.485,35.776,35.446,0.7389,0.5463,0.098,1.5026,1.2085,1.0678,1134.8,1,0,0.001302,4,07-25,1
2018,2018-08-04,2018-08-14,Amritsar,0.0,0.0,110.86,146.178,59.75,78.462,70.552,89.485,0.2442,1.2274,0.249,2.1502,2.0566,1.2181,1134.8,1,0,0.000168,5,08-04,1
2018,2018-08-14,2018-08-24,Amritsar,5.76,2.2e-05,56.817,53.226,110.86,146.178,59.75,78.462,0.6797,0.7096,0.244,3.3509,3.5691,1.547,1134.8,1,0,0.0,6,08-14,1
