year,window_start,window_end,district,flooded_ha,flooded_fraction,antecedent_fraction,week_of_season,flood_event,punjab_mm,upstream_mm,punjab_mm_lag1,upstream_mm_lag1,punjab_mm_lag2,upstream_mm_lag2,district_mm,district_max1d,district_max3d,district_p90,district_mm_lag1,district_mm_lag2,api_start,district_first3d,district_first5d,bhakra_delta,pong_delta,ranjit_sagar_delta,bhakra_storage,pong_storage,ranjit_sagar_storage,core_season,prior_mean_annual_flooded_ha,prior_seasons_with_fraction_gt2pct,score,chosen_variant,chosen_C
2015,2015-07-25,2015-08-04,Amritsar,0.0,0.0,0.000975,4,0,60.969,86.411,78.373,91.986,102.005,102.546,38.258,21.682,24.316,11.219,81.679,36.955,54.406,24.316,26.723,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,25957.786,8,0.35203779712575894,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Amritsar,60.46,0.000227,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,42.571,14.384,29.597,13.694,38.258,81.679,41.118,3.05,18.263,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,25957.786,8,0.28727383865232,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Amritsar,111.69,0.000419,0.000227,6,0,42.57,48.941,85.141,93.815,60.969,86.411,37.92,11.268,18.405,8.539,42.571,38.258,43.107,10.843,11.984,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,25957.786,8,0.14127793379525647,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Amritsar,30.26,0.000113,0.000419,7,0,8.06,11.591,42.57,48.941,85.141,93.815,0.287,0.286,0.286,0.029,37.92,42.571,41.019,0.286,0.286,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,25957.786,8,0.04807050515047818,nested_district_rain,0.01
2015,2015-09-03,2015-09-13,Amritsar,17.27,6.5e-05,0.000113,8,0,2.674,5.816,8.06,11.591,42.57,48.941,0.0,0.0,0.0,0.0,0.287,37.92,14.414,0.0,0.0,-0.014,-0.1608,-0.3,5.8661,5.6106,1.5103,True,25957.786,8,0.01609064512390069,nested_district_rain,0.01
2015,2015-09-13,2015-09-23,Amritsar,0.0,0.0,6.5e-05,9,0,32.271,23.052,2.674,5.816,8.06,11.591,45.485,38.321,38.555,10.069,0.0,0.287,5.026,0.0,6.93,-0.012,-0.2526,-0.146,5.8255,5.3612,1.2458,True,25957.786,8,0.0220059286857427,nested_district_rain,0.01
2015,2015-09-23,2015-09-30,Amritsar,58.3,0.000219,0.0,10,0,49.573,51.049,30.469,20.978,1.802,2.074,72.713,72.713,72.713,29.085,45.485,0.0,44.356,72.713,72.713,0.075,0.0662,0.127,5.8914,5.3177,1.3278,True,25957.786,8,0.052494102609227,nested_district_rain,0.01
2015,2015-07-25,2015-08-04,Barnala,0.0,0.0,0.00037,4,0,60.969,86.411,78.373,91.986,102.005,102.546,5.685,3.418,5.631,2.328,5.097,82.637,26.89,0.012,0.012,0.411,0.6512,0.0,4.4471,3.9999,1.969,True,16211.903,9,0.31656548722580896,nested_district_rain,0.01
2015,2015-08-04,2015-08-14,Barnala,0.0,0.0,0.0,5,0,85.141,93.815,60.969,86.411,78.373,91.986,21.906,9.154,9.278,6.691,5.685,5.097,14.699,9.278,12.605,0.589,0.9585,0.039,4.9802,4.8784,2.0348,True,16211.903,9,0.3405703007016161,nested_district_rain,0.01
2015,2015-08-14,2015-08-24,Barnala,0.0,0.0,0.0,6,0,42.57,48.941,85.141,93.815,60.969,86.411,40.273,25.03,25.053,8.67,21.906,5.685,19.073,11.948,14.344,0.303,0.3152,-0.159,5.4844,5.4821,2.0066,True,16211.903,9,0.17175162427061083,nested_district_rain,0.01
2015,2015-08-24,2015-09-03,Barnala,0.0,0.0,0.0,7,0,8.06,11.591,42.57,48.941,85.141,93.815,0.056,0.054,0.054,0.007,40.273,21.906,36.401,0.054,0.054,0.198,0.0233,-0.19,5.742,5.6849,1.7892,True,16211.903,9,0.052958008134246864,nested_district_rain,0.01
