variant,pooled_ap,pooled_roc,recall_at_3,recall_at_5,quiet_alert_rate_p50,brier_skill_vs_climatology,ap_2019,ap_2023,ap_2025,n_flooded_2025,caught_2025_top5,missed_2025,n_features,d_ap_vs_persistence,regime
v1_no_reservoir,0.32259958717028514,0.9395118846539864,0.6666666666666666,0.8518518518518519,0.0022058823529411764,0.09391478671677012,0.0928030303030303,0.6707363449947182,0.4171416799648724,6,5,Jalandhar,10,0.014285466774673461,all_rows
v2_nested_no_district_rain,0.3135791881429819,0.8681060439156936,0.5925925925925926,0.7407407407407407,0.0375,-3.049881389768248,0.08116883116883117,0.5455255730681428,0.4914096499843956,6,5,Jalandhar,10,0.005265067747370233,all_rows
persistence,0.3083141203956117,0.9364642236420161,0.6666666666666666,0.8888888888888888,0.0,,0.018835019183815836,0.7162212787212787,0.4602557573330007,6,5,Jalandhar,1,0.0,all_rows
v1_statewide,0.2992164694481958,0.9562679004185943,0.7407407407407407,0.8518518518518519,0.0007352941176470588,0.09499477505102427,0.05322128851540616,0.665377482489782,0.5006298928814457,6,5,Jalandhar,16,-0.00909765094741588,all_rows
v2_nested_district_rain_only,0.280048681647147,0.9385327164573695,0.6666666666666666,0.8888888888888888,0.05220588235294118,-2.9478591366434697,0.11162790697674418,0.7111762111762112,0.5447042602508103,6,5,Jalandhar,8,-0.028265438748464655,all_rows
v2_nested_antecedent_prior,0.2778096251539078,0.8490612224914934,0.6296296296296297,0.8148148148148148,0.05073529411764706,-4.485381177630009,0.0196969696969697,0.7283321622556073,0.47553302905787015,6,5,Jalandhar,4,-0.0305044952417039,all_rows
v2_lead_5day,0.2734514027852839,0.9324618736383443,0.6296296296296297,0.8888888888888888,0.04632352941176471,-2.5903358014488576,0.1142857142857143,0.7505646527385659,0.5648156886972675,6,5,Jalandhar,9,-0.034862717610327776,all_rows
v2_district_rain_nested,0.2641911973911467,0.8618393674573449,0.5555555555555556,0.7407407407407407,0.041176470588235294,-2.587564261843717,0.05399719495091164,0.5267554798101337,0.4305198675206384,6,5,Jalandhar,17,-0.044122923004464965,all_rows
v2_district_rain,0.250214489223837,0.9058040194854471,0.6296296296296297,0.8518518518518519,0.0014705882352941176,0.04162760820359113,0.0725,0.5615231863496386,0.34959087042535675,6,5,Jalandhar,17,-0.05809963117177469,all_rows
v2_issue_time,0.22201925287487265,0.8973709333920834,0.5925925925925926,0.7777777777777778,0.0,0.12217219355381215,0.015016872890888638,0.39810211450590727,0.5195085906703106,6,5,Jalandhar,11,-0.08629486752073903,all_rows
