district,year,window_start,flood_event,flooded_fraction,score,ref,variant
Amritsar,2015,2015-07-25,0,0.0,0.000975,0.019285714285714285,persistence
Amritsar,2015,2015-08-04,0,0.000227,0.0,0.019285714285714285,persistence
Amritsar,2015,2015-08-14,0,0.000419,0.000227,0.019285714285714285,persistence
Amritsar,2015,2015-08-24,0,0.000113,0.000419,0.019285714285714285,persistence
Amritsar,2015,2015-09-03,0,6.5e-05,0.000113,0.019285714285714285,persistence
Amritsar,2015,2015-09-13,0,0.0,6.5e-05,0.019285714285714285,persistence
Amritsar,2015,2015-09-23,0,0.000219,0.0,0.019285714285714285,persistence
Barnala,2015,2015-07-25,0,0.0,0.00037,0.019285714285714285,persistence
Barnala,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Barnala,2015,2015-08-14,0,0.0,0.0,0.019285714285714285,persistence
Barnala,2015,2015-08-24,0,0.0,0.0,0.019285714285714285,persistence
Barnala,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Barnala,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Barnala,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Bathinda,2015,2015-07-25,0,0.0,2.4e-05,0.019285714285714285,persistence
Bathinda,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Bathinda,2015,2015-08-14,0,0.0,0.0,0.019285714285714285,persistence
Bathinda,2015,2015-08-24,0,0.0,0.0,0.019285714285714285,persistence
Bathinda,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Bathinda,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Bathinda,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Faridkot,2015,2015-07-25,0,0.0,9.2e-05,0.019285714285714285,persistence
Faridkot,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Faridkot,2015,2015-08-14,0,0.00036,0.0,0.019285714285714285,persistence
Faridkot,2015,2015-08-24,0,0.0,0.00036,0.019285714285714285,persistence
Faridkot,2015,2015-09-03,0,1.5e-05,0.0,0.019285714285714285,persistence
Faridkot,2015,2015-09-13,0,0.0,1.5e-05,0.019285714285714285,persistence
Faridkot,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-07-25,0,0.0,6e-06,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-08-14,0,3.2e-05,0.0,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-08-24,0,0.0,3.2e-05,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Fatehgarh Sahib,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Firozpur,2015,2015-07-25,0,0.0,0.000572,0.019285714285714285,persistence
Firozpur,2015,2015-08-04,0,0.000572,0.0,0.019285714285714285,persistence
Firozpur,2015,2015-08-14,0,0.005288,0.000572,0.019285714285714285,persistence
Firozpur,2015,2015-08-24,0,3.8e-05,0.005288,0.019285714285714285,persistence
Firozpur,2015,2015-09-03,0,2.7e-05,3.8e-05,0.019285714285714285,persistence
Firozpur,2015,2015-09-13,0,0.0,2.7e-05,0.019285714285714285,persistence
Firozpur,2015,2015-09-23,0,0.000416,0.0,0.019285714285714285,persistence
Gurdaspur,2015,2015-07-25,0,0.0,0.000355,0.019285714285714285,persistence
Gurdaspur,2015,2015-08-04,0,0.000287,0.0,0.019285714285714285,persistence
Gurdaspur,2015,2015-08-14,0,0.000717,0.000287,0.019285714285714285,persistence
Gurdaspur,2015,2015-08-24,0,0.000249,0.000717,0.019285714285714285,persistence
Gurdaspur,2015,2015-09-03,0,0.000119,0.000249,0.019285714285714285,persistence
Gurdaspur,2015,2015-09-13,0,0.0,0.000119,0.019285714285714285,persistence
Gurdaspur,2015,2015-09-23,0,0.00032,0.0,0.019285714285714285,persistence
Hoshiarpur,2015,2015-07-25,0,0.0,9e-06,0.019285714285714285,persistence
Hoshiarpur,2015,2015-08-04,0,6e-06,0.0,0.019285714285714285,persistence
Hoshiarpur,2015,2015-08-14,0,0.000118,6e-06,0.019285714285714285,persistence
Hoshiarpur,2015,2015-08-24,0,1.9e-05,0.000118,0.019285714285714285,persistence
Hoshiarpur,2015,2015-09-03,0,9e-06,1.9e-05,0.019285714285714285,persistence
Hoshiarpur,2015,2015-09-13,0,0.0,9e-06,0.019285714285714285,persistence
Hoshiarpur,2015,2015-09-23,0,9e-06,0.0,0.019285714285714285,persistence
Jalandhar,2015,2015-07-25,0,0.0,0.000323,0.019285714285714285,persistence
Jalandhar,2015,2015-08-04,0,0.000401,0.0,0.019285714285714285,persistence
Jalandhar,2015,2015-08-14,0,0.000295,0.000401,0.019285714285714285,persistence
Jalandhar,2015,2015-08-24,0,4.2e-05,0.000295,0.019285714285714285,persistence
Jalandhar,2015,2015-09-03,0,5.6e-05,4.2e-05,0.019285714285714285,persistence
Jalandhar,2015,2015-09-13,0,0.0,5.6e-05,0.019285714285714285,persistence
Jalandhar,2015,2015-09-23,0,2.8e-05,0.0,0.019285714285714285,persistence
Kapurthala,2015,2015-07-25,0,0.0,0.000105,0.019285714285714285,persistence
Kapurthala,2015,2015-08-04,0,0.002333,0.0,0.019285714285714285,persistence
Kapurthala,2015,2015-08-14,0,0.009639,0.002333,0.019285714285714285,persistence
Kapurthala,2015,2015-08-24,0,0.000193,0.009639,0.019285714285714285,persistence
Kapurthala,2015,2015-09-03,0,0.000123,0.000193,0.019285714285714285,persistence
Kapurthala,2015,2015-09-13,0,0.0,0.000123,0.019285714285714285,persistence
Kapurthala,2015,2015-09-23,0,0.000316,0.0,0.019285714285714285,persistence
Ludhiana,2015,2015-07-25,0,0.0,0.000149,0.019285714285714285,persistence
Ludhiana,2015,2015-08-04,0,0.000145,0.0,0.019285714285714285,persistence
Ludhiana,2015,2015-08-14,0,7.6e-05,0.000145,0.019285714285714285,persistence
Ludhiana,2015,2015-08-24,0,0.0,7.6e-05,0.019285714285714285,persistence
Ludhiana,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Ludhiana,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Ludhiana,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Mansa,2015,2015-07-25,0,0.0,5.4e-05,0.019285714285714285,persistence
Mansa,2015,2015-08-04,0,1.7e-05,0.0,0.019285714285714285,persistence
Mansa,2015,2015-08-14,0,7.8e-05,1.7e-05,0.019285714285714285,persistence
Mansa,2015,2015-08-24,0,1.4e-05,7.8e-05,0.019285714285714285,persistence
Mansa,2015,2015-09-03,0,7.5e-05,1.4e-05,0.019285714285714285,persistence
Mansa,2015,2015-09-13,0,0.0,7.5e-05,0.019285714285714285,persistence
Mansa,2015,2015-09-23,0,3.7e-05,0.0,0.019285714285714285,persistence
Moga,2015,2015-07-25,0,0.0,0.000235,0.019285714285714285,persistence
Moga,2015,2015-08-04,0,0.000231,0.0,0.019285714285714285,persistence
Moga,2015,2015-08-14,0,0.000312,0.000231,0.019285714285714285,persistence
Moga,2015,2015-08-24,0,0.0,0.000312,0.019285714285714285,persistence
Moga,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Moga,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Moga,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Muktsar,2015,2015-07-25,0,0.0,0.0001,0.019285714285714285,persistence
Muktsar,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Muktsar,2015,2015-08-14,0,4e-05,0.0,0.019285714285714285,persistence
Muktsar,2015,2015-08-24,0,0.0,4e-05,0.019285714285714285,persistence
Muktsar,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Muktsar,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Muktsar,2015,2015-09-23,0,6e-06,0.0,0.019285714285714285,persistence
Nawanshahr,2015,2015-07-25,0,0.0,7.9e-05,0.019285714285714285,persistence
Nawanshahr,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Nawanshahr,2015,2015-08-14,0,6.8e-05,0.0,0.019285714285714285,persistence
Nawanshahr,2015,2015-08-24,0,0.0,6.8e-05,0.019285714285714285,persistence
Nawanshahr,2015,2015-09-03,0,0.0,0.0,0.019285714285714285,persistence
Nawanshahr,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Nawanshahr,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
Patiala,2015,2015-07-25,0,0.0,5.4e-05,0.019285714285714285,persistence
Patiala,2015,2015-08-04,0,0.0,0.0,0.019285714285714285,persistence
Patiala,2015,2015-08-14,0,2e-06,0.0,0.019285714285714285,persistence
Patiala,2015,2015-08-24,0,2e-06,2e-06,0.019285714285714285,persistence
Patiala,2015,2015-09-03,0,0.0,2e-06,0.019285714285714285,persistence
Patiala,2015,2015-09-13,0,0.0,0.0,0.019285714285714285,persistence
Patiala,2015,2015-09-23,0,0.0,0.0,0.019285714285714285,persistence
