date,district,flooded_ha,fraction
2015-06-15,Amritsar,0.0,0.0
2015-06-15,Barnala,0.0,0.0
2015-06-15,Bathinda,0.0,0.0
2015-06-15,Faridkot,0.0,0.0
2015-06-15,Fatehgarh Sahib,0.0,0.0
2015-06-15,Firozpur,0.0,0.0
2015-06-15,Gurdaspur,0.0,0.0
2015-06-15,Hoshiarpur,0.0,0.0
2015-06-15,Jalandhar,0.0,0.0
2015-06-15,Kapurthala,0.0,0.0
2015-06-15,Ludhiana,0.0,0.0
2015-06-15,Mansa,0.0,0.0
2015-06-15,Moga,0.0,0.0
2015-06-15,Muktsar,0.0,0.0
2015-06-15,Nawanshahr,0.0,0.0
2015-06-15,Patiala,0.0,0.0
2015-06-15,Rupnagar,0.0,0.0
2015-06-15,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-15,Sangrur,0.0,0.0
2015-06-15,Tarn Taran,0.0,0.0
2015-06-16,Amritsar,0.0,0.0
2015-06-16,Barnala,0.0,0.0
2015-06-16,Bathinda,0.0,0.0
2015-06-16,Faridkot,0.0,0.0
2015-06-16,Fatehgarh Sahib,0.0,0.0
2015-06-16,Firozpur,0.0,0.0
2015-06-16,Gurdaspur,10.06,2.8e-05
2015-06-16,Hoshiarpur,2.9,9e-06
2015-06-16,Jalandhar,8.82,3.4e-05
2015-06-16,Kapurthala,4.38,2.6e-05
2015-06-16,Ludhiana,9.56,2.7e-05
2015-06-16,Mansa,0.0,0.0
2015-06-16,Moga,0.0,0.0
2015-06-16,Muktsar,0.0,0.0
2015-06-16,Nawanshahr,0.0,0.0
2015-06-16,Patiala,0.0,0.0
2015-06-16,Rupnagar,2.19,1.6e-05
2015-06-16,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-16,Sangrur,7.44,2.1e-05
2015-06-16,Tarn Taran,0.0,0.0
2015-06-17,Amritsar,0.0,0.0
2015-06-17,Barnala,0.0,0.0
2015-06-17,Bathinda,0.0,0.0
2015-06-17,Faridkot,0.0,0.0
2015-06-17,Fatehgarh Sahib,0.0,0.0
2015-06-17,Firozpur,0.0,0.0
2015-06-17,Gurdaspur,0.0,0.0
2015-06-17,Hoshiarpur,0.0,0.0
2015-06-17,Jalandhar,0.0,0.0
2015-06-17,Kapurthala,0.0,0.0
2015-06-17,Ludhiana,0.0,0.0
2015-06-17,Mansa,0.0,0.0
2015-06-17,Moga,0.0,0.0
2015-06-17,Muktsar,0.0,0.0
2015-06-17,Nawanshahr,0.0,0.0
2015-06-17,Patiala,0.0,0.0
2015-06-17,Rupnagar,0.0,0.0
2015-06-17,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-17,Sangrur,0.0,0.0
2015-06-17,Tarn Taran,0.0,0.0
2015-06-18,Amritsar,0.0,0.0
2015-06-18,Barnala,0.0,0.0
2015-06-18,Bathinda,0.0,0.0
2015-06-18,Faridkot,0.0,0.0
2015-06-18,Fatehgarh Sahib,0.0,0.0
2015-06-18,Firozpur,0.0,0.0
2015-06-18,Gurdaspur,0.0,0.0
2015-06-18,Hoshiarpur,0.0,0.0
2015-06-18,Jalandhar,0.0,0.0
2015-06-18,Kapurthala,0.0,0.0
2015-06-18,Ludhiana,0.0,0.0
2015-06-18,Mansa,0.0,0.0
2015-06-18,Moga,0.0,0.0
2015-06-18,Muktsar,0.0,0.0
2015-06-18,Nawanshahr,0.0,0.0
2015-06-18,Patiala,0.0,0.0
2015-06-18,Rupnagar,0.0,0.0
2015-06-18,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-06-18,Sangrur,0.0,0.0
2015-06-18,Tarn Taran,0.0,0.0
