year,window_start,window_end,district,flooded_ha,fraction
2015,2015-06-15,2015-06-25,Amritsar,275.4,0.001032
2015,2015-06-15,2015-06-25,Barnala,784.77,0.005266
2015,2015-06-15,2015-06-25,Bathinda,100.56,0.000297
2015,2015-06-15,2015-06-25,Faridkot,162.98,0.00112
2015,2015-06-15,2015-06-25,Fatehgarh Sahib,0.0,0.0
2015,2015-06-15,2015-06-25,Firozpur,1914.89,0.003667
2015,2015-06-15,2015-06-25,Gurdaspur,76.13,0.00021
2015,2015-06-15,2015-06-25,Hoshiarpur,22.44,6.6e-05
2015,2015-06-15,2015-06-25,Jalandhar,173.84,0.000665
2015,2015-06-15,2015-06-25,Kapurthala,452.79,0.002717
2015,2015-06-15,2015-06-25,Ludhiana,328.35,0.000913
2015,2015-06-15,2015-06-25,Mansa,64.59,0.000291
2015,2015-06-15,2015-06-25,Moga,1133.18,0.004813
2015,2015-06-15,2015-06-25,Muktsar,91.72,0.000351
2015,2015-06-15,2015-06-25,Nawanshahr,0.0,0.0
2015,2015-06-15,2015-06-25,Patiala,0.75,2e-06
2015,2015-06-15,2015-06-25,Rupnagar,2.19,1.6e-05
2015,2015-06-15,2015-06-25,Sahibzada Ajit Singh Nagar,0.0,0.0
2015,2015-06-15,2015-06-25,Sangrur,882.26,0.002443
2015,2015-06-15,2015-06-25,Tarn Taran,189.82,0.000791
2015,2015-06-25,2015-07-05,Amritsar,0.0,0.0
2015,2015-06-25,2015-07-05,Barnala,0.0,0.0
2015,2015-06-25,2015-07-05,Bathinda,0.0,0.0
2015,2015-06-25,2015-07-05,Faridkot,0.0,0.0
2015,2015-06-25,2015-07-05,Fatehgarh Sahib,0.0,0.0
2015,2015-06-25,2015-07-05,Firozpur,566.57,0.001085
2015,2015-06-25,2015-07-05,Gurdaspur,0.0,0.0
2015,2015-06-25,2015-07-05,Hoshiarpur,0.0,0.0
2015,2015-06-25,2015-07-05,Jalandhar,0.0,0.0
2015,2015-06-25,2015-07-05,Kapurthala,0.0,0.0
2015,2015-06-25,2015-07-05,Ludhiana,0.0,0.0
2015,2015-06-25,2015-07-05,Mansa,0.0,0.0
2015,2015-06-25,2015-07-05,Moga,0.0,0.0
2015,2015-06-25,2015-07-05,Muktsar,0.0,0.0
2015,2015-06-25,2015-07-05,Nawanshahr,0.0,0.0
2015,2015-06-25,2015-07-05,Patiala,0.0,0.0
2015,2015-06-25,2015-07-05,Rupnagar,0.0,0.0
2015,2015-06-25,2015-07-05,Sahibzada Ajit Singh Nagar,0.0,0.0
2015,2015-06-25,2015-07-05,Sangrur,0.0,0.0
2015,2015-06-25,2015-07-05,Tarn Taran,0.0,0.0
2015,2015-07-05,2015-07-15,Amritsar,0.0,0.0
2015,2015-07-05,2015-07-15,Barnala,834.12,0.005597
2015,2015-07-05,2015-07-15,Bathinda,0.0,0.0
2015,2015-07-05,2015-07-15,Faridkot,0.0,0.0
2015,2015-07-05,2015-07-15,Fatehgarh Sahib,4017.9,0.035042
2015,2015-07-05,2015-07-15,Firozpur,0.0,0.0
2015,2015-07-05,2015-07-15,Gurdaspur,6907.45,0.01903
2015,2015-07-05,2015-07-15,Hoshiarpur,617.28,0.001828
2015,2015-07-05,2015-07-15,Jalandhar,30.83,0.000118
2015,2015-07-05,2015-07-15,Kapurthala,8.74,5.2e-05
2015,2015-07-05,2015-07-15,Ludhiana,4447.28,0.012366
2015,2015-07-05,2015-07-15,Mansa,135.76,0.000612
2015,2015-07-05,2015-07-15,Moga,0.0,0.0
2015,2015-07-05,2015-07-15,Muktsar,0.0,0.0
2015,2015-07-05,2015-07-15,Nawanshahr,1339.9,0.010269
2015,2015-07-05,2015-07-15,Patiala,4535.27,0.013577
2015,2015-07-05,2015-07-15,Rupnagar,76.96,0.000554
2015,2015-07-05,2015-07-15,Sahibzada Ajit Singh Nagar,0.0,0.0
2015,2015-07-05,2015-07-15,Sangrur,19046.38,0.052745
2015,2015-07-05,2015-07-15,Tarn Taran,0.0,0.0
2015,2015-07-15,2015-07-25,Amritsar,260.01,0.000975
2015,2015-07-15,2015-07-25,Barnala,55.22,0.00037
2015,2015-07-15,2015-07-25,Bathinda,8.24,2.4e-05
2015,2015-07-15,2015-07-25,Faridkot,13.34,9.2e-05
2015,2015-07-15,2015-07-25,Fatehgarh Sahib,0.74,6e-06
2015,2015-07-15,2015-07-25,Firozpur,298.81,0.000572
2015,2015-07-15,2015-07-25,Gurdaspur,129.03,0.000355
2015,2015-07-15,2015-07-25,Hoshiarpur,2.9,9e-06
