date,district,acq_fraction,bbox_fraction,era
2015-06-15,Amritsar,1.0,1.0,era_unreliable
2015-06-15,Barnala,1.0,1.0,era_unreliable
2015-06-15,Bathinda,1.0,1.0,era_unreliable
2015-06-15,Faridkot,1.0,1.0,era_unreliable
2015-06-15,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-15,Firozpur,1.0,1.0,era_unreliable
2015-06-15,Gurdaspur,1.0,1.0,era_unreliable
2015-06-15,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-15,Jalandhar,1.0,1.0,era_unreliable
2015-06-15,Kapurthala,1.0,1.0,era_unreliable
2015-06-15,Ludhiana,1.0,1.0,era_unreliable
2015-06-15,Mansa,1.0,1.0,era_unreliable
2015-06-15,Moga,1.0,1.0,era_unreliable
2015-06-15,Muktsar,1.0,1.0,era_unreliable
2015-06-15,Nawanshahr,1.0,1.0,era_unreliable
2015-06-15,Patiala,1.0,1.0,era_unreliable
2015-06-15,Rupnagar,1.0,1.0,era_unreliable
2015-06-15,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-15,Sangrur,1.0,1.0,era_unreliable
2015-06-15,Tarn Taran,1.0,1.0,era_unreliable
2015-06-16,Amritsar,1.0,1.0,era_unreliable
2015-06-16,Barnala,1.0,1.0,era_unreliable
2015-06-16,Bathinda,1.0,1.0,era_unreliable
2015-06-16,Faridkot,1.0,1.0,era_unreliable
2015-06-16,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-16,Firozpur,1.0,1.0,era_unreliable
2015-06-16,Gurdaspur,1.0,1.0,era_unreliable
2015-06-16,Hoshiarpur,1.0,1.0,era_unreliable
2015-06-16,Jalandhar,1.0,1.0,era_unreliable
2015-06-16,Kapurthala,1.0,1.0,era_unreliable
2015-06-16,Ludhiana,1.0,1.0,era_unreliable
2015-06-16,Mansa,1.0,1.0,era_unreliable
2015-06-16,Moga,1.0,1.0,era_unreliable
2015-06-16,Muktsar,1.0,1.0,era_unreliable
2015-06-16,Nawanshahr,1.0,1.0,era_unreliable
2015-06-16,Patiala,1.0,1.0,era_unreliable
2015-06-16,Rupnagar,1.0,1.0,era_unreliable
2015-06-16,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-06-16,Sangrur,1.0,1.0,era_unreliable
2015-06-16,Tarn Taran,1.0,1.0,era_unreliable
2015-06-17,Amritsar,1.0,1.0,era_unreliable
2015-06-17,Barnala,1.0,1.0,era_unreliable
2015-06-17,Bathinda,1.0,1.0,era_unreliable
2015-06-17,Faridkot,1.0,1.0,era_unreliable
2015-06-17,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-06-17,Firozpur,1.0,1.0,era_unreliable
