dam,date,storage_2025_bcm,median_curve_bcm,deficit_bcm,deficit_pctpts,basis
Bhakra,2025-08-01,3.301,3.0372,0.2638,4.23,press_storage
Bhakra,2025-08-02,3.3944,3.0869,0.3075,4.94,interp
Bhakra,2025-08-03,3.4879,3.1282,0.3597,5.77,interp
Bhakra,2025-08-04,3.5813,3.1738,0.4075,6.54,interp
Bhakra,2025-08-05,3.6748,3.1218,0.553,8.88,interp
Bhakra,2025-08-06,3.7682,3.2486,0.5197,8.34,interp
Bhakra,2025-08-07,3.8617,3.2848,0.5769,9.26,interp
Bhakra,2025-08-08,3.9551,3.3183,0.6368,10.22,interp
Bhakra,2025-08-09,4.0486,3.3763,0.6722,10.79,interp
Bhakra,2025-08-10,4.142,3.4445,0.6975,11.2,interp
Bhakra,2025-08-11,4.2354,3.5687,0.6667,10.7,interp
Bhakra,2025-08-12,4.3289,3.5687,0.7602,12.2,interp
Bhakra,2025-08-13,4.4223,4.2388,0.1835,2.95,interp
Bhakra,2025-08-14,4.5158,4.3082,0.2076,3.33,interp
Bhakra,2025-08-15,4.6092,4.9217,-0.3125,-5.02,interp
Bhakra,2025-08-16,4.7027,4.3935,0.3091,4.96,interp
Bhakra,2025-08-17,4.7961,4.4306,0.3655,5.87,interp
Bhakra,2025-08-18,4.8896,4.4853,0.4042,6.49,interp
Bhakra,2025-08-19,4.983,4.305,0.678,10.88,press_storage
Bhakra,2025-08-20,5.0186,4.631,0.3876,6.22,interp
Bhakra,2025-08-21,5.0543,4.7088,0.3455,5.55,interp
Bhakra,2025-08-22,5.0899,4.7693,0.3207,5.15,interp
Bhakra,2025-08-23,5.1256,5.0202,0.1054,1.69,interp
Bhakra,2025-08-24,5.1612,5.0588,0.1024,1.64,interp
Bhakra,2025-08-25,5.1969,4.9782,0.2187,3.51,interp
Pong,2025-08-01,4.3376,2.4885,1.849,30.03,interp_wide
Pong,2025-08-02,4.4479,2.7401,1.7078,27.74,interp_wide
Pong,2025-08-03,4.5583,2.7997,1.7586,28.56,interp_wide
Pong,2025-08-04,4.6686,2.6997,1.9689,31.98,interp_wide
Pong,2025-08-05,4.779,2.7067,2.0723,33.66,interp_wide
Pong,2025-08-06,4.8893,2.8686,2.0207,32.82,interp_wide
Pong,2025-08-07,4.9997,2.9026,2.097,34.06,interp_wide
Pong,2025-08-08,5.11,2.9354,2.1746,35.32,press_storage
Pong,2025-08-09,5.1223,3.1472,1.9751,32.08,interp
Pong,2025-08-10,5.1346,3.377,1.7576,28.55,interp
Pong,2025-08-11,5.1469,3.2214,1.9255,31.27,interp
Pong,2025-08-12,5.1592,3.476,1.6832,27.34,interp
Pong,2025-08-13,5.1715,3.6106,1.5609,25.35,interp
Pong,2025-08-14,5.1838,3.7169,1.4669,23.82,interp
Pong,2025-08-15,5.1961,3.8092,1.3869,22.53,interp
Pong,2025-08-16,5.2084,3.8577,1.3507,21.94,interp
Pong,2025-08-17,5.2207,3.96,1.2607,20.48,interp
Pong,2025-08-18,5.233,4.1534,1.0796,17.54,press_storage
Pong,2025-08-19,5.3485,3.9383,1.4102,22.9,interp_frl
Pong,2025-08-20,5.464,4.848,0.616,10.0,interp_frl
Pong,2025-08-21,5.5795,4.4588,1.1207,18.2,interp_frl
Pong,2025-08-22,5.695,3.9923,1.7027,27.66,interp_frl
Pong,2025-08-23,5.8105,4.5118,1.2987,21.09,interp_frl
Pong,2025-08-24,5.926,5.058,0.868,14.1,interp_frl
Pong,2025-08-25,6.0415,5.032,1.0095,16.4,interp_frl
Ranjit Sagar,2025-08-01,1.4088,1.251,0.1578,6.73,interp_hyps_wide
Ranjit Sagar,2025-08-02,1.4346,1.416,0.0186,0.79,interp_hyps_wide
