district,metric,value,unit,date,attributed_to,source_url
Gurdaspur,crop_damage_ha,40169,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Amritsar,crop_damage_ha,27154,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Fazilka,crop_damage_ha,25182,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Patiala,crop_damage_ha,17690,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Kapurthala,crop_damage_ha,17574,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Firozpur,crop_damage_ha,17257,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian (as Ferozepur)",https://www.babushahi.com/full-news.php?id=210671
Tarn Taran,crop_damage_ha,12828,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Mansa,crop_damage_ha,12207.38,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Hoshiarpur,crop_damage_ha,8322,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Sangrur,crop_damage_ha,6560,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Jalandhar,crop_damage_ha,4800,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Pathankot,crop_damage_ha,2442,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
Moga,crop_damage_ha,2240,ha,2025-09-13,"Special Girdawari report, Revenue Minister Hardeep Singh Mundian",https://www.babushahi.com/full-news.php?id=210671
