period,metric,value,unit,source_uuid
1953-2010,max_area_affected,2.79,Mha,c00fd02a-c30e-4953-bddb-a4cbacb78036
2016,area_affected,0.001,Mha,f03e92a4-3e5d-4f0f-a30e-975593acb658
2016,crop_damage_value,1.14,crore_inr,f03e92a4-3e5d-4f0f-a30e-975593acb658
2017,area_affected,0.006,Mha,f03e92a4-3e5d-4f0f-a30e-975593acb658
2017,crop_damage_value,18.23,crore_inr,f03e92a4-3e5d-4f0f-a30e-975593acb658
2018,area_affected,0.023,Mha,f03e92a4-3e5d-4f0f-a30e-975593acb658
2018,crop_damage_value,0,crore_inr,f03e92a4-3e5d-4f0f-a30e-975593acb658
2018-19,lives_lost,35,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2018-19,houses_damaged,229,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2018-19,crop_damage_area,0.52,lakh_ha,082dd5e0-75c2-4601-b82c-71d653318bf6
2019-20,lives_lost,20,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2019-20,houses_damaged,2618,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2019-20,crop_damage_area,1.51,lakh_ha,082dd5e0-75c2-4601-b82c-71d653318bf6
2020-21,lives_lost,16,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2020-21,houses_damaged,837,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2020-21,crop_damage_area,1.23,lakh_ha,082dd5e0-75c2-4601-b82c-71d653318bf6
2021-22,lives_lost,9,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2021-22,houses_damaged,8,count,082dd5e0-75c2-4601-b82c-71d653318bf6
2025,area_affected,105183,ha,repo:docs/VERIFICATION-LOG.md
2025,crop_damage_area,198524,ha,repo:data/official_relief_2025.csv
2025,lives_lost,55,count,repo:data/official_relief_2025.csv
