date,district,rain_mm,api_mm
1961-05-20,Amritsar,0.0,4.068
1961-05-21,Amritsar,0.0,3.662
1961-05-22,Amritsar,0.169,3.465
1961-05-23,Amritsar,0.0,3.118
1961-05-24,Amritsar,0.0,2.806
1961-05-25,Amritsar,0.0,2.526
1961-05-26,Amritsar,0.0,2.273
1961-05-27,Amritsar,0.0,2.046
1961-05-28,Amritsar,0.0,1.841
1961-05-29,Amritsar,0.0,1.657
1961-05-30,Amritsar,0.0,1.491
1961-05-31,Amritsar,0.0,1.342
1961-06-01,Amritsar,0.0,1.208
1961-06-02,Amritsar,0.0,1.087
1961-06-03,Amritsar,0.0,0.979
1961-06-04,Amritsar,0.0,0.881
1961-06-05,Amritsar,0.0,0.793
1961-06-06,Amritsar,0.0,0.713
1961-06-07,Amritsar,0.0,0.642
1961-06-08,Amritsar,0.0,0.578
1961-06-09,Amritsar,0.0,0.52
1961-06-10,Amritsar,0.0,0.468
1961-06-11,Amritsar,0.0,0.421
1961-06-12,Amritsar,0.0,0.379
1961-06-13,Amritsar,0.0,0.341
1961-06-14,Amritsar,0.0,0.307
1961-06-15,Amritsar,0.0,0.276
1961-06-16,Amritsar,0.0,0.249
1961-06-17,Amritsar,0.0,0.224
1961-06-18,Amritsar,0.0,0.201
1961-06-19,Amritsar,0.0,0.181
1961-06-20,Amritsar,2.62,2.783
1961-06-21,Amritsar,18.257,20.762
1961-06-22,Amritsar,4.857,23.542
1961-06-23,Amritsar,0.308,21.497
1961-06-24,Amritsar,6.869,26.216
1961-06-25,Amritsar,0.0,23.594
1961-06-26,Amritsar,0.067,21.303
1961-06-27,Amritsar,0.0,19.172
1961-06-28,Amritsar,0.0,17.255
1961-06-29,Amritsar,0.964,16.494
1961-06-30,Amritsar,9.396,24.241
1961-07-01,Amritsar,1.135,22.952
1961-07-02,Amritsar,1.344,22.001
1961-07-03,Amritsar,2.706,22.506
1961-07-04,Amritsar,0.011,20.267
1961-07-05,Amritsar,0.396,18.636
1961-07-06,Amritsar,7.768,24.54
1961-07-07,Amritsar,0.049,22.135
1961-07-08,Amritsar,0.55,20.471
1961-07-09,Amritsar,0.106,18.531
1961-07-10,Amritsar,32.68,49.357
1961-07-11,Amritsar,0.0,44.421
1961-07-12,Amritsar,0.0,39.979
1961-07-13,Amritsar,0.0,35.981
1961-07-14,Amritsar,0.002,32.385
1961-07-15,Amritsar,0.0,29.147
1961-07-16,Amritsar,2.097,28.329
1961-07-17,Amritsar,13.656,39.152
1961-07-18,Amritsar,0.109,35.346
1961-07-19,Amritsar,5.934,37.746
1961-07-20,Amritsar,0.15,34.122
1961-07-21,Amritsar,0.735,31.445
1961-07-22,Amritsar,2.024,30.324
1961-07-23,Amritsar,18.148,45.44
1961-07-24,Amritsar,56.927,97.823
1961-07-25,Amritsar,18.74,106.782
1961-07-26,Amritsar,5.548,101.651
1961-07-27,Amritsar,2.135,93.621
1961-07-28,Amritsar,0.0,84.259
1961-07-29,Amritsar,0.567,76.401
1961-07-30,Amritsar,35.568,104.329
1961-07-31,Amritsar,72.762,166.658
1961-08-01,Amritsar,52.979,202.971
1961-08-02,Amritsar,1.72,184.394
1961-08-03,Amritsar,0.0,165.955
1961-08-04,Amritsar,0.014,149.373
1961-08-05,Amritsar,9.275,143.71
1961-08-06,Amritsar,0.005,129.344
1961-08-07,Amritsar,0.001,116.411
1961-08-08,Amritsar,0.272,105.041
1961-08-09,Amritsar,0.872,95.409
1961-08-10,Amritsar,20.615,106.483
1961-08-11,Amritsar,8.234,104.069
1961-08-12,Amritsar,9.411,103.073
1961-08-13,Amritsar,0.058,92.824
1961-08-14,Amritsar,0.869,84.41
