district,year,window_start,window_end,district_mm,district_mm_lag1,district_mm_lag2,district_first3d,district_first5d,district_max1d,district_max3d,district_p90,api_start
Amritsar,2015,2015-06-15,2015-06-25,26.754,2.75,1.027,9.656,9.656,16.484,16.484,10.339,3.43
Barnala,2015,2015-06-15,2015-06-25,21.676,3.82,6.755,1.735,1.735,14.884,15.715,5.292,6.44
Bathinda,2015,2015-06-15,2015-06-25,10.275,6.177,2.967,1.198,1.198,7.723,7.798,1.923,7.718
Faridkot,2015,2015-06-15,2015-06-25,20.315,6.263,12.767,3.882,3.882,9.05,9.069,7.533,9.448
Fatehgarh Sahib,2015,2015-06-15,2015-06-25,22.613,41.193,10.836,0.002,0.002,10.448,12.241,7.69,25.094
Firozpur,2015,2015-06-15,2015-06-25,12.001,4.992,6.168,1.523,1.523,5.176,5.857,4.676,7.007
Gurdaspur,2015,2015-06-15,2015-06-25,22.401,9.23,1.651,2.554,2.554,7.912,10.648,7.457,8.187
Hoshiarpur,2015,2015-06-15,2015-06-25,37.139,12.673,1.479,7.059,7.059,11.556,19.986,7.979,10.018
Jalandhar,2015,2015-06-15,2015-06-25,16.041,10.048,1.27,0.86,0.86,12.634,12.745,2.514,9.64
Kapurthala,2015,2015-06-15,2015-06-25,21.539,9.2,0.847,0.296,0.296,19.318,19.358,2.794,8.753
Ludhiana,2015,2015-06-15,2015-06-25,14.723,13.403,5.364,0.342,0.342,8.23,9.511,3.135,11.35
Mansa,2015,2015-06-15,2015-06-25,18.965,4.185,1.606,1.476,1.476,10.727,11.364,6.585,5.224
Moga,2015,2015-06-15,2015-06-25,17.163,2.879,9.893,3.887,3.887,11.959,11.961,4.694,6.508
Muktsar,2015,2015-06-15,2015-06-25,11.048,9.788,9.748,1.558,1.558,4.878,5.034,4.498,13.086
Patiala,2015,2015-06-15,2015-06-25,19.977,21.905,2.765,0.132,0.132,10.267,17.047,4.806,14.963
Rupnagar,2015,2015-06-15,2015-06-25,22.359,10.689,5.078,0.158,0.158,16.071,18.449,4.962,7.405
Sahibzada Ajit Singh Nagar,2015,2015-06-15,2015-06-25,26.234,26.546,7.878,0.075,0.11,9.737,16.89,9.284,17.281
Sangrur,2015,2015-06-15,2015-06-25,19.378,8.643,3.874,0.997,0.997,10.213,13.829,5.11,9.606
Shahid Bhagat Singh Nagar,2015,2015-06-15,2015-06-25,21.424,7.413,2.018,0.002,0.002,9.661,17.761,5.464,5.465
Tarn Taran,2015,2015-06-15,2015-06-25,27.147,2.347,1.506,1.184,1.184,25.879,25.879,3.653,3.733
Amritsar,2015,2015-06-25,2015-07-05,22.973,26.754,2.75,3.162,3.162,18.79,18.79,4.725,21.869
Barnala,2015,2015-06-25,2015-07-05,36.697,21.676,3.82,1.584,1.584,34.75,35.027,4.901,21.555
Bathinda,2015,2015-06-25,2015-07-05,18.965,10.275,6.177,1.786,1.786,16.998,17.122,3.307,11.871
Faridkot,2015,2015-06-25,2015-07-05,19.787,20.315,6.263,0.542,0.542,19.218,19.245,2.41,18.775
Fatehgarh Sahib,2015,2015-06-25,2015-07-05,28.655,22.613,41.193,16.866,16.866,16.796,16.866,8.052,27.672
Firozpur,2015,2015-06-25,2015-07-05,12.516,12.001,4.992,1.856,1.856,9.319,10.029,2.602,12.13
Gurdaspur,2015,2015-06-25,2015-07-05,31.681,22.401,9.23,8.532,8.532,21.409,21.433,9.82,20.642
Hoshiarpur,2015,2015-06-25,2015-07-05,46.316,37.139,12.673,17.786,17.813,26.758,26.946,18.683,29.37
Jalandhar,2015,2015-06-25,2015-07-05,27.549,16.041,10.048,14.449,14.449,14.449,14.449,10.81,18.095
Kapurthala,2015,2015-06-25,2015-07-05,28.734,21.539,9.2,14.42,14.42,14.42,14.42,10.816,23.827
Ludhiana,2015,2015-06-25,2015-07-05,20.318,14.723,13.403,6.675,6.675,10.157,10.321,7.023,16.72
Mansa,2015,2015-06-25,2015-07-05,16.78,18.965,4.185,4.531,4.531,12.242,12.242,5.302,18.102
Moga,2015,2015-06-25,2015-07-05,15.853,17.163,2.879,5.949,5.949,9.214,9.231,6.275,16.695
Muktsar,2015,2015-06-25,2015-07-05,14.782,11.048,9.788,0.706,0.706,13.19,13.442,1.954,13.304
Patiala,2015,2015-06-25,2015-07-05,25.877,19.977,21.905,11.129,11.129,13.586,14.135,11.017,20.646
