year,box,r95cnt,rx5day,prcptot
1961,punjab,8,104.621,820.873
1962,punjab,3,96.518,588.341
1963,punjab,2,96.461,632.558
1964,punjab,9,125.85,783.652
1965,punjab,2,71.342,382.795
1966,punjab,5,122.542,741.874
1967,punjab,2,122.408,738.692
1968,punjab,2,86.978,546.911
1969,punjab,5,83.624,570.573
1970,punjab,3,105.063,751.018
1971,punjab,6,105.649,845.917
1972,punjab,2,112.78,441.431
1973,punjab,3,115.454,644.62
1974,punjab,0,63.012,447.264
1975,punjab,4,108.99,739.481
1976,punjab,7,143.955,821.179
1977,punjab,5,91.256,783.402
1978,punjab,5,78.386,725.931
1979,punjab,0,59.908,387.119
1980,punjab,4,157.995,644.622
1981,punjab,2,79.704,484.567
1982,punjab,3,91.475,415.349
1983,punjab,2,69.15,542.141
1984,punjab,4,83.448,650.187
1985,punjab,5,137.507,725.196
1986,punjab,5,87.408,625.13
1987,punjab,1,46.035,300.771
1988,punjab,13,352.946,1172.967
1989,punjab,5,127.58,523.594
1990,punjab,5,129.46,824.958
1991,punjab,0,56.29,527.618
1992,punjab,2,86.409,615.01
1993,punjab,5,241.991,684.137
1994,punjab,7,112.728,781.293
1995,punjab,13,155.879,938.447
1996,punjab,3,102.238,735.518
1997,punjab,5,108.576,678.401
1998,punjab,4,101.089,684.888
1999,punjab,3,93.208,543.743
2000,punjab,0,66.124,494.354
2001,punjab,1,60.413,538.882
2002,punjab,2,76.298,423.486
2003,punjab,3,75.738,612.403
2004,punjab,1,65.925,403.005
2005,punjab,1,89.101,571.862
2006,punjab,4,85.107,549.995
2007,punjab,2,79.945,634.26
2008,punjab,8,121.034,846.923
2009,punjab,3,79.849,536.809
2010,punjab,2,73.634,616.808
2011,punjab,8,77.47,756.06
2012,punjab,6,76.402,597.079
2013,punjab,6,113.351,705.45
2014,punjab,3,97.746,428.478
2015,punjab,2,76.411,529.466
2016,punjab,1,66.466,519.09
2017,punjab,3,69.036,539.982
2018,punjab,5,151.816,734.585
2019,punjab,3,99.102,551.347
2020,punjab,2,60.332,517.635
2021,punjab,6,97.995,622.791
2022,punjab,5,93.578,637.557
2023,punjab,5,165.099,715.641
2024,punjab,3,62.489,527.265
2025,punjab,8,154.364,907.349
1961,upstream,6,87.373,691.198
1962,upstream,15,157.02,930.687
1963,upstream,6,86.311,657.658
1964,upstream,5,85.589,673.197
1965,upstream,0,61.689,373.01
1966,upstream,7,96.353,697.247
1967,upstream,5,91.808,714.678
1968,upstream,1,68.896,493.37
1969,upstream,4,83.771,554.898
1970,upstream,3,93.036,720.392
1971,upstream,10,103.112,901.546
1972,upstream,3,89.514,451.386
1973,upstream,2,76.147,595.056
1974,upstream,0,61.357,471.548
1975,upstream,4,113.735,652.305
1976,upstream,5,87.823,674.614
1977,upstream,2,78.317,791.283
1978,upstream,8,75.767,782.997
1979,upstream,0,42.435,366.062
1980,upstream,3,151.703,649.747
1981,upstream,4,66.199,526.462
1982,upstream,2,51.476,390.235
1983,upstream,1,54.585,490.508
1984,upstream,2,69.104,545.428
1985,upstream,3,114.51,646.187
1986,upstream,5,73.916,569.263
1987,upstream,2,49.692,325.248
1988,upstream,13,340.214,1108.496
1989,upstream,7,128.629,600.676
1990,upstream,6,77.603,669.616
1991,upstream,1,63.557,587.609
1992,upstream,7,83.62,750.573
1993,upstream,6,221.855,701.592
1994,upstream,7,109.567,827.873
1995,upstream,15,238.853,1020.135
1996,upstream,7,130.15,832.699
1997,upstream,9,153.405,783.762
1998,upstream,8,117.22,750.59
1999,upstream,5,106.998,611.995
2000,upstream,4,59.947,531.892
2001,upstream,1,67.97,526.299
2002,upstream,3,62.233,403.051
2003,upstream,1,57.154,473.296
2004,upstream,1,57.494,440.129
2005,upstream,4,105.828,593.26
2006,upstream,5,71.568,646.637
2007,upstream,5,81.064,599.176
2008,upstream,8,76.235,813.713
2009,upstream,8,75.02,533.569
2010,upstream,10,91.839,845.563
2011,upstream,9,64.851,584.648
2012,upstream,8,81.736,581.345
2013,upstream,11,129.397,833.751
2014,upstream,4,73.912,498.445
2015,upstream,7,72.824,601.774
2016,upstream,4,72.836,616.88
2017,upstream,7,70.794,670.237
2018,upstream,11,158.577,829.177
2019,upstream,7,116.259,599.207
2020,upstream,2,61.584,479.892
2021,upstream,5,80.004,610.535
2022,upstream,8,70.113,673.096
2023,upstream,9,184.563,714.661
2024,upstream,3,57.815,478.25
2025,upstream,13,129.181,884.186
