year,window_start,window_end,punjab_max_3h_mm,punjab_max_24h_mm,punjab_hours_ge5mm,upstream_max_3h_mm,upstream_max_24h_mm,upstream_hours_ge5mm
2015,2015-06-15,2015-06-25,4.153,22.268,0,4.541,13.167,0
2015,2015-06-25,2015-07-05,2.721,9.136,0,4.099,10.848,0
2015,2015-07-05,2015-07-15,5.045,24.812,0,6.298,27.536,0
2015,2015-07-15,2015-07-25,10.351,40.64,0,5.246,31.486,0
2015,2015-07-25,2015-08-04,4.284,18.461,0,5.058,23.68,0
2015,2015-08-04,2015-08-14,5.199,15.781,0,5.582,19.381,0
2015,2015-08-14,2015-08-24,2.596,10.979,0,2.937,11.681,0
2015,2015-08-24,2015-09-03,1.969,3.235,0,1.002,2.046,0
2015,2015-09-03,2015-09-13,0.442,0.931,0,0.512,1.213,0
2015,2015-09-13,2015-09-23,8.055,45.719,0,7.995,39.819,0
2015,2015-09-23,2015-09-30,3.254,7.379,0,3.966,9.999,0
2016,2016-06-15,2016-06-25,1.707,4.423,0,2.366,8.994,0
2016,2016-06-25,2016-07-05,7.249,28.868,0,2.914,16.607,0
2016,2016-07-05,2016-07-15,2.662,8.746,0,2.296,8.818,0
2016,2016-07-15,2016-07-25,3.555,17.244,0,5.116,23.587,0
2016,2016-07-25,2016-08-04,7.853,32.428,0,7.448,32.439,0
2016,2016-08-04,2016-08-14,7.483,25.645,0,5.496,32.602,0
2016,2016-08-14,2016-08-24,1.987,7.001,0,2.31,7.38,0
2016,2016-08-24,2016-09-03,5.667,16.135,0,3.928,13.89,0
2016,2016-09-03,2016-09-13,0.765,2.092,0,0.778,2.728,0
2016,2016-09-13,2016-09-23,0.626,2.022,0,0.928,2.601,0
2016,2016-09-23,2016-09-30,0.732,1.452,0,0.94,1.429,0
2017,2017-06-15,2017-06-25,6.978,17.027,0,2.877,11.792,0
2017,2017-06-25,2017-07-05,4.563,20.386,0,5.137,22.839,0
2017,2017-07-05,2017-07-15,3.226,10.522,0,5.588,21.118,0
2017,2017-07-15,2017-07-25,3.681,10.797,0,4.907,19.046,0
2017,2017-07-25,2017-08-04,10.669,34.352,0,5.378,21.901,0
2017,2017-08-04,2017-08-14,4.308,9.594,0,3.682,9.816,0
2017,2017-08-14,2017-08-24,2.721,7.905,0,3.651,10.895,0
2017,2017-08-24,2017-09-03,12.342,32.931,0,4.038,14.254,0
2017,2017-09-03,2017-09-13,2.605,4.283,0,2.04,4.877,0
2017,2017-09-13,2017-09-23,3.828,8.339,0,4.763,16.822,0
2017,2017-09-23,2017-09-30,5.088,16.209,0,3.691,18.934,0
2018,2018-06-15,2018-06-25,2.347,5.39,0,2.177,6.516,0
2018,2018-06-25,2018-07-05,4.623,24.328,0,4.916,20.617,0
2018,2018-07-05,2018-07-15,3.968,15.214,0,5.558,18.803,0
2018,2018-07-15,2018-07-25,7.777,28.998,0,4.855,16.368,0
2018,2018-07-25,2018-08-04,8.299,17.629,0,3.599,20.599,0
2018,2018-08-04,2018-08-14,5.626,20.93,0,5.208,25.184,0
2018,2018-08-14,2018-08-24,5.618,10.954,0,4.493,21.538,0
2018,2018-08-24,2018-09-03,3.783,10.075,0,2.851,9.043,0
2018,2018-09-03,2018-09-13,1.801,4.562,0,2.333,3.988,0
2018,2018-09-13,2018-09-23,6.691,31.583,0,6.512,34.025,0
2018,2018-09-23,2018-09-30,11.832,47.87,1,7.841,45.249,0
2019,2019-06-15,2019-06-25,1.665,6.253,0,2.152,7.046,0
2019,2019-06-25,2019-07-05,1.13,2.34,0,1.739,6.956,0
2019,2019-07-05,2019-07-15,3.554,9.903,0,3.713,13.312,0
2019,2019-07-15,2019-07-25,3.582,15.654,0,5.907,17.094,0
2019,2019-07-25,2019-08-04,5.547,19.081,0,5.401,19.973,0
2019,2019-08-04,2019-08-14,5.31,12.853,0,5.217,18.66,0
