year,window_start,window_end,punjab_mm,upstream_mm,punjab_mm_lag1,upstream_mm_lag1,punjab_mm_lag2,upstream_mm_lag2
2015,2015-06-15,2015-06-25,24.433,26.566,12.158,17.912,5.328,14.979
2015,2015-06-25,2015-07-05,26.709,36.058,24.433,26.566,12.158,17.912
2015,2015-07-05,2015-07-15,102.005,102.546,26.709,36.058,24.433,26.566
2015,2015-07-15,2015-07-25,78.373,91.986,102.005,102.546,26.709,36.058
2015,2015-07-25,2015-08-04,60.969,86.411,78.373,91.986,102.005,102.546
2015,2015-08-04,2015-08-14,85.141,93.815,60.969,86.411,78.373,91.986
2015,2015-08-14,2015-08-24,42.57,48.941,85.141,93.815,60.969,86.411
2015,2015-08-24,2015-09-03,8.06,11.591,42.57,48.941,85.141,93.815
2015,2015-09-03,2015-09-13,2.674,5.816,8.06,11.591,42.57,48.941
2015,2015-09-13,2015-09-23,32.271,23.052,2.674,5.816,8.06,11.591
2015,2015-09-23,2015-09-30,49.573,51.049,30.469,20.978,1.802,2.074
2016,2016-06-15,2016-06-25,39.398,41.21,13.968,19.099,10.012,8.503
2016,2016-06-25,2016-07-05,68.662,71.855,39.398,41.21,13.968,19.099
2016,2016-07-05,2016-07-15,33.174,43.162,68.662,71.855,39.398,41.21
2016,2016-07-15,2016-07-25,65.272,71.381,33.174,43.162,68.662,71.855
2016,2016-07-25,2016-08-04,66.902,96.476,65.272,71.381,33.174,43.162
2016,2016-08-04,2016-08-14,100.237,122.051,66.902,96.476,65.272,71.381
2016,2016-08-14,2016-08-24,34.098,51.722,100.237,122.051,66.902,96.476
2016,2016-08-24,2016-09-03,74.166,67.051,34.098,51.722,100.237,122.051
2016,2016-09-03,2016-09-13,6.8,14.184,74.166,67.051,34.098,51.722
2016,2016-09-13,2016-09-23,11.01,12.184,6.8,14.184,74.166,67.051
2016,2016-09-23,2016-09-30,5.155,5.938,6.446,7.845,9.579,11.885
2017,2017-06-15,2017-06-25,38.213,34.418,26.125,31.734,11.607,23.249
2017,2017-06-25,2017-07-05,69.659,69.134,38.213,34.418,26.125,31.734
2017,2017-07-05,2017-07-15,53.45,64.372,69.659,69.134,38.213,34.418
2017,2017-07-15,2017-07-25,53.319,99.829,53.45,64.372,69.659,69.134
2017,2017-07-25,2017-08-04,79.614,101.185,53.319,99.829,53.45,64.372
2017,2017-08-04,2017-08-14,80.92,87.08,79.614,101.185,53.319,99.829
2017,2017-08-14,2017-08-24,37.631,45.837,80.92,87.08,79.614,101.185
2017,2017-08-24,2017-09-03,65.992,64.405,37.631,45.837,80.92,87.08
2017,2017-09-03,2017-09-13,16.237,27.632,65.992,64.405,37.631,45.837
2017,2017-09-13,2017-09-23,0.974,6.445,16.237,27.632,65.992,64.405
2017,2017-09-23,2017-09-30,17.621,36.538,0.062,5.791,5.105,11.336
2018,2018-06-15,2018-06-25,23.708,20.179,23.198,23.621,3.316,7.124
2018,2018-06-25,2018-07-05,97.036,91.677,23.708,20.179,23.198,23.621
2018,2018-07-05,2018-07-15,35.776,35.446,97.036,91.677,23.708,20.179
2018,2018-07-15,2018-07-25,70.552,89.485,35.776,35.446,97.036,91.677
2018,2018-07-25,2018-08-04,59.75,78.462,70.552,89.485,35.776,35.446
2018,2018-08-04,2018-08-14,110.86,146.178,59.75,78.462,70.552,89.485
2018,2018-08-14,2018-08-24,56.817,53.226,110.86,146.178,59.75,78.462
2018,2018-08-24,2018-09-03,40.197,53.181,56.817,53.226,110.86,146.178
2018,2018-09-03,2018-09-13,45.226,49.244,40.197,53.181,56.817,53.226
2018,2018-09-13,2018-09-23,20.397,24.962,45.226,49.244,40.197,53.181
2018,2018-09-23,2018-09-30,147.683,155.347,6.881,10.87,25.077,27.649
2019,2019-06-15,2019-06-25,16.464,9.273,3.695,16.172,2.845,8.277
2019,2019-06-25,2019-07-05,11.775,20.138,16.464,9.273,3.695,16.172
2019,2019-07-05,2019-07-15,69.437,61.344,11.775,20.138,16.464,9.273
2019,2019-07-15,2019-07-25,78.816,41.038,69.437,61.344,11.775,20.138
2019,2019-07-25,2019-08-04,97.989,100.939,78.816,41.038,69.437,61.344
2019,2019-08-04,2019-08-14,51.778,77.752,97.989,100.939,78.816,41.038
2019,2019-08-14,2019-08-24,111.926,141.573,51.778,77.752,97.989,100.939
2019,2019-08-24,2019-09-03,29.797,44.692,111.926,141.573,51.778,77.752
2019,2019-09-03,2019-09-13,25.31,25.405,29.797,44.692,111.926,141.573
2019,2019-09-13,2019-09-23,13.866,15.745,25.31,25.405,29.797,44.692
2019,2019-09-23,2019-09-30,27.482,25.43,10.063,11.618,4.117,4.427
2020,2020-06-15,2020-06-25,17.019,22.762,22.446,16.297,28.805,35.024
2020,2020-06-25,2020-07-05,21.746,22.881,17.019,22.762,22.446,16.297
2020,2020-07-05,2020-07-15,79.212,48.773,21.746,22.881,17.019,22.762
2020,2020-07-15,2020-07-25,69.954,46.173,79.212,48.773,21.746,22.881
2020,2020-07-25,2020-08-04,65.399,74.736,69.954,46.173,79.212,48.773
2020,2020-08-04,2020-08-14,66.338,76.275,65.399,74.736,69.954,46.173
2020,2020-08-14,2020-08-24,79.593,79.243,66.338,76.275,65.399,74.736
2020,2020-08-24,2020-09-03,56.577,58.238,79.593,79.243,66.338,76.275
2020,2020-09-03,2020-09-13,25.289,19.085,56.577,58.238,79.593,79.243
2020,2020-09-13,2020-09-23,0.059,0.619,25.289,19.085,56.577,58.238
2020,2020-09-23,2020-09-30,1.761,2.353,0.058,0.598,0.543,1.236
2021,2021-06-15,2021-06-25,13.899,24.29,30.21,24.894,20.746,17.226
2021,2021-06-25,2021-07-05,17.465,12.591,13.899,24.29,30.21,24.894
2021,2021-07-05,2021-07-15,74.526,89.188,17.465,12.591,13.899,24.29
2021,2021-07-15,2021-07-25,88.432,83.517,74.526,89.188,17.465,12.591
2021,2021-07-25,2021-08-04,115.543,91.148,88.432,83.517,74.526,89.188
2021,2021-08-04,2021-08-14,37.242,45.562,115.543,91.148,88.432,83.517
2021,2021-08-14,2021-08-24,36.438,33.893,37.242,45.562,115.543,91.148
2021,2021-08-24,2021-09-03,27.272,38.057,36.438,33.893,37.242,45.562
2021,2021-09-03,2021-09-13,83.78,65.969,27.272,38.057,36.438,33.893
2021,2021-09-13,2021-09-23,40.372,58.264,83.78,65.969,27.272,38.057
2021,2021-09-23,2021-09-30,40.218,30.321,28.071,34.153,68.789,64.018
2022,2022-06-15,2022-06-25,43.909,36.779,1.536,3.587,5.665,6.738
2022,2022-06-25,2022-07-05,54.545,56.889,43.909,36.779,1.536,3.587
2022,2022-07-05,2022-07-15,58.431,83.355,54.545,56.889,43.909,36.779
2022,2022-07-15,2022-07-25,137.207,86.519,58.431,83.355,54.545,56.889
2022,2022-07-25,2022-08-04,85.523,84.147,137.207,86.519,58.431,83.355
2022,2022-08-04,2022-08-14,52.34,82.887,85.523,84.147,137.207,86.519
2022,2022-08-14,2022-08-24,51.124,81.185,52.34,82.887,85.523,84.147
2022,2022-08-24,2022-09-03,21.768,29.523,51.124,81.185,52.34,82.887
2022,2022-09-03,2022-09-13,25.472,31.062,21.768,29.523,51.124,81.185
2022,2022-09-13,2022-09-23,20.281,32.407,25.472,31.062,21.768,29.523
2022,2022-09-23,2022-09-30,85.299,64.518,17.741,27.782,10.054,13.28
2023,2023-06-15,2023-06-25,30.777,22.899,11.432,10.571,49.145,51.336
2023,2023-06-25,2023-07-05,52.908,44.256,30.777,22.899,11.432,10.571
2023,2023-07-05,2023-07-15,206.274,222.13,52.908,44.256,30.777,22.899
2023,2023-07-15,2023-07-25,81.839,101.54,206.274,222.13,52.908,44.256
2023,2023-07-25,2023-08-04,58.481,55.706,81.839,101.54,206.274,222.13
2023,2023-08-04,2023-08-14,70.969,68.41,58.481,55.706,81.839,101.54
2023,2023-08-14,2023-08-24,67.336,79.83,70.969,68.41,58.481,55.706
2023,2023-08-24,2023-09-03,27.916,26.809,67.336,79.83,70.969,68.41
2023,2023-09-03,2023-09-13,10.122,10.769,27.916,26.809,67.336,79.83
2023,2023-09-13,2023-09-23,64.465,44.415,10.122,10.769,27.916,26.809
2023,2023-09-23,2023-09-30,11.732,2.874,55.931,36.489,15.052,11.925
