year,window_start,window_end,dam,mean_storage,delta_storage
2015,2015-06-15,2015-06-25,Bhakra,2.621,0.073
2015,2015-06-25,2015-07-05,Bhakra,2.7307,0.072
2015,2015-07-05,2015-07-15,Bhakra,3.1041,0.789
2015,2015-07-15,2015-07-25,Bhakra,3.8432,0.6805
2015,2015-07-25,2015-08-04,Bhakra,4.4471,0.411
2015,2015-08-04,2015-08-14,Bhakra,4.9802,0.589
2015,2015-08-14,2015-08-24,Bhakra,5.4844,0.303
2015,2015-08-24,2015-09-03,Bhakra,5.742,0.198
2015,2015-09-03,2015-09-13,Bhakra,5.8661,-0.014
2015,2015-09-13,2015-09-23,Bhakra,5.8255,-0.012
2015,2015-09-23,2015-09-30,Bhakra,5.8914,0.075
2015,2015-06-15,2015-06-25,Pong,2.2763,-0.0005
2015,2015-06-25,2015-07-05,Pong,2.3317,-0.0047
2015,2015-07-05,2015-07-15,Pong,2.4305,0.4175
2015,2015-07-15,2015-07-25,Pong,3.2224,0.8387
2015,2015-07-25,2015-08-04,Pong,3.9999,0.6512
2015,2015-08-04,2015-08-14,Pong,4.8784,0.9585
2015,2015-08-14,2015-08-24,Pong,5.4821,0.3152
2015,2015-08-24,2015-09-03,Pong,5.6849,0.0233
2015,2015-09-03,2015-09-13,Pong,5.6106,-0.1608
2015,2015-09-13,2015-09-23,Pong,5.3612,-0.2526
2015,2015-09-23,2015-09-30,Pong,5.3177,0.0662
2015,2015-06-15,2015-06-25,Ranjit Sagar,1.8917,0.039
2015,2015-06-25,2015-07-05,Ranjit Sagar,1.951,0.0
2015,2015-07-05,2015-07-15,Ranjit Sagar,1.975,0.08
2015,2015-07-15,2015-07-25,Ranjit Sagar,1.9857,0.0
2015,2015-07-25,2015-08-04,Ranjit Sagar,1.969,0.0
2015,2015-08-04,2015-08-14,Ranjit Sagar,2.0348,0.039
2015,2015-08-14,2015-08-24,Ranjit Sagar,2.0066,-0.159
2015,2015-08-24,2015-09-03,Ranjit Sagar,1.7892,-0.19
2015,2015-09-03,2015-09-13,Ranjit Sagar,1.5103,-0.3
2015,2015-09-13,2015-09-23,Ranjit Sagar,1.2458,-0.146
2015,2015-09-23,2015-09-30,Ranjit Sagar,1.3278,0.127
2016,2016-06-15,2016-06-25,Bhakra,1.8451,0.0041
2016,2016-06-25,2016-07-05,Bhakra,1.894,0.0724
2016,2016-07-05,2016-07-15,Bhakra,2.0235,0.1184
2016,2016-07-15,2016-07-25,Bhakra,2.2246,0.2962
2016,2016-07-25,2016-08-04,Bhakra,2.452,0.2275
2016,2016-08-04,2016-08-14,Bhakra,3.0383,0.8114
2016,2016-08-14,2016-08-24,Bhakra,3.6984,0.3912
2016,2016-08-24,2016-09-03,Bhakra,4.1762,0.4205
2016,2016-09-03,2016-09-13,Bhakra,4.5279,0.1202
2016,2016-09-13,2016-09-23,Bhakra,4.5923,-0.0009
2016,2016-09-23,2016-09-30,Bhakra,4.5793,-0.0324
2016,2016-06-15,2016-06-25,Pong,0.3902,0.1265
2016,2016-06-25,2016-07-05,Pong,0.5562,0.2854
2016,2016-07-05,2016-07-15,Pong,0.8304,0.1412
2016,2016-07-15,2016-07-25,Pong,1.1744,0.3805
2016,2016-07-25,2016-08-04,Pong,1.6571,0.7443
2016,2016-08-04,2016-08-14,Pong,2.8907,1.4808
2016,2016-08-14,2016-08-24,Pong,3.9097,0.2452
2016,2016-08-24,2016-09-03,Pong,4.2622,0.4628
2016,2016-09-03,2016-09-13,Pong,4.5818,0.0555
2016,2016-09-13,2016-09-23,Pong,4.5233,-0.1429
2016,2016-09-23,2016-09-30,Pong,4.3773,-0.1157
2016,2016-06-15,2016-06-25,Ranjit Sagar,0.8714,-0.05
2016,2016-06-25,2016-07-05,Ranjit Sagar,0.7851,-0.029
2016,2016-07-05,2016-07-15,Ranjit Sagar,0.8166,0.029
2016,2016-07-15,2016-07-25,Ranjit Sagar,0.9196,0.073
2016,2016-07-25,2016-08-04,Ranjit Sagar,0.9663,0.122
2016,2016-08-04,2016-08-14,Ranjit Sagar,1.2339,0.47
2016,2016-08-14,2016-08-24,Ranjit Sagar,1.6171,0.122
2016,2016-08-24,2016-09-03,Ranjit Sagar,1.7774,0.151
2016,2016-09-03,2016-09-13,Ranjit Sagar,1.8328,-0.041
2016,2016-09-13,2016-09-23,Ranjit Sagar,1.7525,-0.079
2016,2016-09-23,2016-09-30,Ranjit Sagar,1.6511,-0.091
2017,2017-06-15,2017-06-25,Bhakra,1.657,-0.0701
2017,2017-06-25,2017-07-05,Bhakra,1.7009,0.211
2017,2017-07-05,2017-07-15,Bhakra,2.075,0.4179
2017,2017-07-15,2017-07-25,Bhakra,2.6595,0.6287
2017,2017-07-25,2017-08-04,Bhakra,3.4291,0.8204
2017,2017-08-04,2017-08-14,Bhakra,4.4595,0.855
2017,2017-08-14,2017-08-24,Bhakra,5.0471,0.3411
2017,2017-08-24,2017-09-03,Bhakra,5.4057,0.2585
2017,2017-09-03,2017-09-13,Bhakra,5.6081,0.0405
2017,2017-09-13,2017-09-23,Bhakra,5.4917,-0.179
2017,2017-09-23,2017-09-30,Bhakra,5.4303,0.0662
2017,2017-06-15,2017-06-25,Pong,0.6218,0.0053
2017,2017-06-25,2017-07-05,Pong,0.8167,0.3777
2017,2017-07-05,2017-07-15,Pong,1.2128,0.4307
2017,2017-07-15,2017-07-25,Pong,1.974,0.8299
2017,2017-07-25,2017-08-04,Pong,2.9365,1.0928
2017,2017-08-04,2017-08-14,Pong,4.4263,1.2294
2017,2017-08-14,2017-08-24,Pong,5.0622,0.1422
2017,2017-08-24,2017-09-03,Pong,5.2381,0.2
2017,2017-09-03,2017-09-13,Pong,5.4282,0.0342
2017,2017-09-13,2017-09-23,Pong,5.3457,-0.147
2017,2017-09-23,2017-09-30,Pong,5.2441,-0.0248
2017,2017-06-15,2017-06-25,Ranjit Sagar,1.3598,-0.056
2017,2017-06-25,2017-07-05,Ranjit Sagar,1.365,0.128
2017,2017-07-05,2017-07-15,Ranjit Sagar,1.4597,0.092
2017,2017-07-15,2017-07-25,Ranjit Sagar,1.735,0.242
2017,2017-07-25,2017-08-04,Ranjit Sagar,1.8976,0.118
2017,2017-08-04,2017-08-14,Ranjit Sagar,1.967,0.0
2017,2017-08-14,2017-08-24,Ranjit Sagar,1.9036,-0.118
2017,2017-08-24,2017-09-03,Ranjit Sagar,1.7764,-0.081
2017,2017-09-03,2017-09-13,Ranjit Sagar,1.8564,0.08
2017,2017-09-13,2017-09-23,Ranjit Sagar,1.8083,-0.159
2017,2017-09-23,2017-09-30,Ranjit Sagar,1.7077,-0.031
2018,2018-06-15,2018-06-25,Bhakra,0.5928,-0.1459
2018,2018-06-25,2018-07-05,Bhakra,0.388,0.0101
2018,2018-07-05,2018-07-15,Bhakra,0.5025,0.154
2018,2018-07-15,2018-07-25,Bhakra,0.8112,0.3451
2018,2018-07-25,2018-08-04,Bhakra,1.5026,0.7389
2018,2018-08-04,2018-08-14,Bhakra,2.1502,0.2442
2018,2018-08-14,2018-08-24,Bhakra,3.3509,0.6797
2018,2018-08-24,2018-09-03,Bhakra,4.012,0.4687
2018,2018-09-03,2018-09-13,Bhakra,4.4148,0.2938
2018,2018-09-13,2018-09-23,Bhakra,4.6199,0.052
2018,2018-09-23,2018-09-30,Bhakra,4.9709,0.476
2018,2018-06-15,2018-06-25,Pong,0.5048,-0.1264
2018,2018-06-25,2018-07-05,Pong,0.4485,0.1178
2018,2018-07-05,2018-07-15,Pong,0.5039,-0.0611
2018,2018-07-15,2018-07-25,Pong,0.6288,0.2888
2018,2018-07-25,2018-08-04,Pong,1.2085,0.5463
2018,2018-08-04,2018-08-14,Pong,2.0566,1.2274
2018,2018-08-14,2018-08-24,Pong,3.5691,0.7096
2018,2018-08-24,2018-09-03,Pong,4.459,0.558
2018,2018-09-03,2018-09-13,Pong,4.8361,0.2315
2018,2018-09-13,2018-09-23,Pong,4.984,-0.0074
2018,2018-09-23,2018-09-30,Pong,5.7747,1.1164
2018,2018-06-15,2018-06-25,Ranjit Sagar,0.751,-0.025
2018,2018-06-25,2018-07-05,Ranjit Sagar,0.7928,0.173
2018,2018-07-05,2018-07-15,Ranjit Sagar,0.9151,0.047
2018,2018-07-15,2018-07-25,Ranjit Sagar,0.9662,0.049
2018,2018-07-25,2018-08-04,Ranjit Sagar,1.0678,0.098
2018,2018-08-04,2018-08-14,Ranjit Sagar,1.2181,0.249
2018,2018-08-14,2018-08-24,Ranjit Sagar,1.547,0.244
2018,2018-08-24,2018-09-03,Ranjit Sagar,1.7423,0.11
2018,2018-09-03,2018-09-13,Ranjit Sagar,1.8,0.0
2018,2018-09-13,2018-09-23,Ranjit Sagar,1.7734,-0.079
2018,2018-09-23,2018-09-30,Ranjit Sagar,2.1633,0.517
2019,2019-06-15,2019-06-25,Bhakra,2.592,-0.152
2019,2019-06-25,2019-07-05,Bhakra,2.5325,0.057
2019,2019-07-05,2019-07-15,Bhakra,2.8257,0.451
2019,2019-07-15,2019-07-25,Bhakra,3.3789,0.444
2019,2019-07-25,2019-08-04,Bhakra,4.0528,0.838
2019,2019-08-04,2019-08-14,Bhakra,4.8582,0.597
2019,2019-08-14,2019-08-24,Bhakra,5.4931,0.303
2019,2019-08-24,2019-09-03,Bhakra,5.4587,-0.046
2019,2019-09-03,2019-09-13,Bhakra,5.428,-0.035
2019,2019-09-13,2019-09-23,Bhakra,5.4418,0.009
2019,2019-09-23,2019-09-30,Bhakra,5.3679,-0.054
2019,2019-06-15,2019-06-25,Pong,2.1961,-0.1304
2019,2019-06-25,2019-07-05,Pong,2.0314,-0.128
2019,2019-07-05,2019-07-15,Pong,2.0001,0.101
2019,2019-07-15,2019-07-25,Pong,2.185,0.169
2019,2019-07-25,2019-08-04,Pong,2.5706,0.631
2019,2019-08-04,2019-08-14,Pong,3.2276,0.596
2019,2019-08-14,2019-08-24,Pong,4.3918,1.3446
2019,2019-08-24,2019-09-03,Pong,5.2518,0.386
2019,2019-09-03,2019-09-13,Pong,5.5962,0.173
2019,2019-09-13,2019-09-23,Pong,5.5306,-0.2258
2019,2019-09-23,2019-09-30,Pong,5.3796,-0.0376
2019,2019-06-15,2019-06-25,Ranjit Sagar,1.2552,-0.102
2019,2019-06-25,2019-07-05,Ranjit Sagar,1.156,-0.106
2019,2019-07-05,2019-07-15,Ranjit Sagar,1.1328,0.061
2019,2019-07-15,2019-07-25,Ranjit Sagar,1.2247,0.091
2019,2019-07-25,2019-08-04,Ranjit Sagar,1.3554,0.214
2019,2019-08-04,2019-08-14,Ranjit Sagar,1.5378,0.122
2019,2019-08-14,2019-08-24,Ranjit Sagar,1.8643,0.479
2019,2019-08-24,2019-09-03,Ranjit Sagar,2.0467,-0.039
