date,dam,level_value,level_unit,storage_value,storage_unit,pct_capacity,source_url
2015-06-01,Bhakra,487.81,m,2.66,BCM,42.7,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-02,Bhakra,487.78,m,2.656,BCM,42.64,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-03,Bhakra,487.71,m,2.648,BCM,42.51,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-04,Bhakra,487.53,m,2.63,BCM,42.22,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-05,Bhakra,487.31,m,2.607,BCM,41.85,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-06,Bhakra,487.12,m,2.588,BCM,41.55,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-07,Bhakra,486.99,m,2.575,BCM,41.34,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-08,Bhakra,486.96,m,2.573,BCM,41.31,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-09,Bhakra,486.96,m,2.572,BCM,41.29,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-10,Bhakra,487.04,m,2.581,BCM,41.44,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-11,Bhakra,487.09,m,2.586,BCM,41.52,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-12,Bhakra,487.24,m,2.601,BCM,41.76,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-13,Bhakra,487.32,m,2.608,BCM,41.87,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-14,Bhakra,487.22,m,2.599,BCM,41.72,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-15,Bhakra,487.24,m,2.601,BCM,41.76,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-16,Bhakra,487.2,m,2.597,BCM,41.69,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-17,Bhakra,487.13,m,2.59,BCM,41.58,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-18,Bhakra,,m,,BCM,,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-19,Bhakra,486.91,m,2.567,BCM,41.21,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-20,Bhakra,487.23,m,2.6,BCM,41.74,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-21,Bhakra,487.59,m,2.636,BCM,42.32,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-22,Bhakra,487.77,m,2.654,BCM,42.61,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-23,Bhakra,487.9,m,2.67,BCM,42.86,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-24,Bhakra,487.94,m,2.674,BCM,42.93,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
2015-06-25,Bhakra,488.12,m,2.695,BCM,43.27,https://www.data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc
