x,y,date_s2,ndwi,s2_class,rf,tierA,gfm,stratum,district
519107.4,3474747.4,2025-09-10,0.0879,water,1,0,1,rf_pos,Kapurthala
516227.4,3469077.4,2025-09-10,0.1762,water,1,0,1,rf_pos,Kapurthala
512987.4,3467007.4,2025-09-10,0.0274,water,1,0,1,rf_pos,Tarn Taran
511547.4,3464217.4,2025-09-10,0.2778,water,1,0,1,rf_pos,Kapurthala
507767.4,3461967.4,2025-09-10,0.1156,water,1,0,0,rf_pos,Tarn Taran
511097.4,3459267.4,2025-09-10,0.1396,water,1,0,1,rf_pos,Kapurthala
510287.4,3457197.4,2025-09-10,0.1638,water,1,0,1,rf_pos,Kapurthala
507137.4,3448737.4,2025-09-10,0.5155,water,1,0,1,rf_pos,Kapurthala
502187.4,3447927.4,2025-09-10,0.3156,water,1,0,0,rf_pos,Kapurthala
488507.4,3447297.4,2025-09-18,-0.2046,dry,1,0,0,rf_pos,Tarn Taran
502727.4,3445047.4,2025-09-18,-0.2434,dry,1,0,1,rf_pos,Firozpur
483557.4,3444867.4,2025-09-10,0.0348,water,1,0,1,rf_pos,Tarn Taran
484187.4,3444867.4,2025-09-23,-0.2098,dry,1,0,1,rf_pos,Tarn Taran
484817.4,3442437.4,2025-09-18,-0.3311,dry,1,0,1,rf_pos,Firozpur
480947.4,3442167.4,2025-09-18,-0.2001,dry,1,0,1,rf_pos,Firozpur
476807.4,3437937.4,2025-09-10,-0.4858,dry,1,0,1,rf_pos,Firozpur
473477.4,3436857.4,2025-09-10,0.6291,water,1,0,1,rf_pos,Firozpur
460427.4,3435957.4,2025-09-18,-0.2014,dry,1,0,1,rf_pos,Firozpur
459707.4,3434967.4,2025-09-18,-0.2502,dry,1,0,0,rf_pos,Firozpur
461327.4,3433977.4,2025-09-10,0.0868,water,1,0,1,rf_pos,Firozpur
460967.4,3430827.4,2025-09-18,-0.2254,dry,1,0,1,rf_pos,Firozpur
452057.4,3424707.4,2025-09-10,0.2294,water,1,0,1,rf_pos,Firozpur
453497.4,3418947.4,2025-09-10,-0.8221,dry,1,0,0,rf_pos,Firozpur
436307.4,3410757.4,2025-09-10,0.194,water,1,0,1,rf_pos,Firozpur
425147.4,3380157.4,2025-09-10,-0.7856,dry,1,0,0,rf_pos,Firozpur
409127.4,3375117.4,2025-09-10,0.2807,water,1,0,1,rf_pos,Firozpur
401567.4,3371607.4,2025-09-10,0.1282,water,1,1,1,rf_pos,Firozpur
398417.4,3371337.4,2025-09-10,0.3204,water,1,1,1,rf_pos,Firozpur
413627.4,3381417.4,2025-09-10,0.1769,water,1,1,1,tierA_pos,Firozpur
413357.4,3381237.4,2025-09-10,0.1725,water,1,1,1,tierA_pos,Firozpur
413357.4,3381147.4,2025-09-10,0.1775,water,1,1,1,tierA_pos,Firozpur
408947.4,3378897.4,2025-09-10,0.0365,water,1,1,1,tierA_pos,Firozpur
408317.4,3378087.4,2025-09-10,0.0809,water,1,1,1,tierA_pos,Firozpur
409127.4,3377637.4,2025-09-10,0.1578,water,1,1,1,tierA_pos,Firozpur
406877.4,3377457.4,2025-09-10,0.0819,water,1,1,1,tierA_pos,Firozpur
407687.4,3377277.4,2025-09-10,0.0226,water,1,1,1,tierA_pos,Firozpur
406787.4,3376467.4,2025-09-10,0.1991,water,0,1,1,tierA_pos,Firozpur
406427.4,3376107.4,2025-09-10,0.1684,water,1,1,1,tierA_pos,Firozpur
406877.4,3376017.4,2025-09-10,0.0415,water,1,1,1,tierA_pos,Firozpur
407417.4,3375747.4,2025-09-10,0.2224,water,1,1,1,tierA_pos,Firozpur
404087.4,3375657.4,2025-09-10,0.0644,water,1,1,1,tierA_pos,Firozpur
406517.4,3375657.4,2025-09-10,0.0426,water,1,1,1,tierA_pos,Firozpur
403457.4,3375477.4,2025-09-10,0.0568,water,1,1,1,tierA_pos,Firozpur
409127.4,3375477.4,2025-09-10,0.453,water,1,1,1,tierA_pos,Firozpur
405797.4,3375117.4,2025-09-10,0.0877,water,1,1,1,tierA_pos,Firozpur
408227.4,3374757.4,2025-09-10,0.5153,water,1,1,1,tierA_pos,Firozpur
403007.4,3374667.4,2025-09-10,0.1858,water,1,1,1,tierA_pos,Firozpur
404447.4,3374667.4,2025-09-10,0.1913,water,1,1,1,tierA_pos,Firozpur
405527.4,3374577.4,2025-09-10,0.2407,water,1,1,1,tierA_pos,Firozpur
405797.4,3374487.4,2025-09-10,0.4131,water,1,1,0,tierA_pos,Firozpur
404897.4,3374397.4,2025-09-10,0.089,water,1,1,1,tierA_pos,Firozpur
408317.4,3374217.4,2025-09-10,0.658,water,1,1,1,tierA_pos,Firozpur
404087.4,3374127.4,2025-09-10,0.2012,water,1,1,1,tierA_pos,Firozpur
403907.4,3373767.4,2025-09-10,0.1254,water,1,1,1,tierA_pos,Firozpur
404537.4,3373767.4,2025-09-10,0.12,water,1,1,1,tierA_pos,Firozpur
404177.4,3373677.4,2025-09-10,0.1929,water,1,1,1,tierA_pos,Firozpur
401837.4,3373587.4,2025-09-10,0.1969,water,1,1,1,tierA_pos,Firozpur
402107.4,3373587.4,2025-09-10,0.2072,water,1,1,1,tierA_pos,Firozpur
402197.4,3373587.4,2025-09-10,0.1896,water,1,1,1,tierA_pos,Firozpur
404087.4,3373497.4,2025-09-10,0.0935,water,1,1,1,tierA_pos,Firozpur
404177.4,3373227.4,2025-09-10,0.01,water,1,1,1,tierA_pos,Firozpur
402467.4,3372777.4,2025-09-10,0.3072,water,1,1,1,tierA_pos,Firozpur
403187.4,3372687.4,2025-09-10,0.0592,water,1,1,1,tierA_pos,Firozpur
403817.4,3372687.4,2025-09-10,0.0991,water,1,1,1,tierA_pos,Firozpur
398057.4,3372597.4,2025-09-10,0.0631,water,1,1,1,tierA_pos,Firozpur
398597.4,3372417.4,2025-09-10,0.1792,water,1,1,1,tierA_pos,Firozpur
398957.4,3371967.4,2025-09-10,0.2978,water,1,1,1,tierA_pos,Firozpur
398957.4,3371877.4,2025-09-10,0.1443,water,1,1,1,tierA_pos,Firozpur
402557.4,3371787.4,2025-09-10,0.1848,water,1,1,1,tierA_pos,Firozpur
403457.4,3371787.4,2025-09-10,0.237,water,1,1,1,tierA_pos,Firozpur
401837.4,3371517.4,2025-09-10,0.1243,water,1,1,1,tierA_pos,Firozpur
398687.4,3371337.4,2025-09-10,0.1204,water,1,1,1,tierA_pos,Firozpur
402017.4,3371337.4,2025-09-10,0.151,water,1,1,1,tierA_pos,Firozpur
403007.4,3371337.4,2025-09-10,0.2311,water,1,1,1,tierA_pos,Firozpur
402917.4,3370977.4,2025-09-10,0.2189,water,1,1,1,tierA_pos,Firozpur
403817.4,3356667.4,2025-09-10,0.7197,water,1,1,1,tierA_pos,Firozpur
403097.4,3355947.4,2025-09-10,1.2742,water,1,1,1,tierA_pos,Firozpur
410837.4,3332187.4,2025-09-18,-0.2461,dry,1,1,1,tierA_pos,Firozpur
411197.4,3331917.4,2025-09-18,0.2725,water,1,1,1,tierA_pos,Firozpur
541337.4,3498237.4,2025-09-23,0.4976,water,0,0,1,gfm_pos,Kapurthala
539717.4,3496437.4,2025-09-23,-0.6551,dry,0,0,1,gfm_pos,Kapurthala
526937.4,3482397.4,2025-09-23,0.379,water,0,0,1,gfm_pos,Kapurthala
525137.4,3480867.4,2025-09-18,0.187,water,1,0,1,gfm_pos,Kapurthala
525317.4,3479787.4,2025-09-18,-0.2312,dry,0,0,1,gfm_pos,Kapurthala
519737.4,3476457.4,2025-09-10,0.5015,water,1,0,1,gfm_pos,Kapurthala
518567.4,3474747.4,2025-09-10,0.2662,water,1,0,1,gfm_pos,Kapurthala
517127.4,3472227.4,2025-09-10,0.1641,water,1,0,1,gfm_pos,Kapurthala
570137.4,3466287.4,2025-09-23,-0.6283,dry,0,0,1,gfm_pos,Kapurthala
513887.4,3465837.4,2025-09-23,0.0609,water,1,0,1,gfm_pos,Kapurthala
475997.4,3465657.4,2025-09-10,-0.5547,dry,0,0,1,gfm_pos,Tarn Taran
508577.4,3464937.4,2025-09-10,-0.438,dry,1,0,1,gfm_pos,Tarn Taran
508307.4,3464217.4,2025-09-10,0.5637,water,1,0,1,gfm_pos,Tarn Taran
508397.4,3458727.4,2025-09-18,0.1889,water,1,0,1,gfm_pos,Kapurthala
507587.4,3458367.4,2025-09-10,0.0889,water,1,0,1,gfm_pos,Tarn Taran
506777.4,3458007.4,2025-09-10,0.0525,water,1,0,1,gfm_pos,Tarn Taran
