tehsil,district,year,flooded_ha,fraction
Ajnala,Amritsar,2015,118.71,0.001134
Amritsar-I,Amritsar,2015,0.0,0.0
Amritsar-II,Amritsar,2015,0.0,0.0
Baba Bakala,Amritsar,2015,21.08,0.000392
Majitha,Amritsar,2015,0.0,0.0
Barnala,Barnala,2015,0.0,0.0
Tapa,Barnala,2015,0.0,0.0
Bathinda,Bathinda,2015,0.0,0.0
Maur,Bathinda,2015,0.0,0.0
Rampura Phul,Bathinda,2015,0.0,0.0
Talwandi Sabo,Bathinda,2015,0.0,0.0
Faridkot,Faridkot,2015,54.63,0.000763
Jaitu,Faridkot,2015,0.0,0.0
Kotakpura,Faridkot,2015,0.0,0.0
Amloh,Fatehgarh Sahib,2015,3.71,0.000134
Bassi Pathana,Fatehgarh Sahib,2015,0.0,0.0
Fatehgarh Sahib,Fatehgarh Sahib,2015,0.0,0.0
Khamanon,Fatehgarh Sahib,2015,0.0,0.0
Abohar,Firozpur,2015,34.39,0.00029
Fazilka,Firozpur,2015,162.72,0.00144
Firozpur,Firozpur,2015,1614.87,0.012639
Guruharsahai,Firozpur,2015,31.05,0.000932
Jalalabad,Firozpur,2015,65.87,0.00117
Zira,Firozpur,2015,699.53,0.009365
Batala,Gurdaspur,2015,30.38,0.000312
Dera Baba Nanak,Gurdaspur,2015,76.2,0.002754
Dhar Kalan,Gurdaspur,2015,4.98,0.000183
Dinanagar,Gurdaspur,2015,39.4,0.001032
Gurdaspur,Gurdaspur,2015,22.32,0.000301
Kalanaur,Gurdaspur,2015,22.97,0.001032
Pathankot,Gurdaspur,2015,171.83,0.002373
Dasua,Hoshiarpur,2015,34.75,0.000423
Garhshankar,Hoshiarpur,2015,0.0,0.0
Hoshiarpur,Hoshiarpur,2015,0.0,0.0
Mukerian,Hoshiarpur,2015,0.0,0.0
Jalandhar-I,Jalandhar,2015,0.0,0.0
Jalandhar-II,Jalandhar,2015,0.0,0.0
Nakodar,Jalandhar,2015,24.93,0.000535
Phillaur,Jalandhar,2015,10.29,0.000138
Shahkot,Jalandhar,2015,95.33,0.002284
Bhulath,Kapurthala,2015,22.47,0.001103
Kapurthala,Kapurthala,2015,95.31,0.001341
Phagwara,Kapurthala,2015,0.0,0.0
Sultanpur Lodhi,Kapurthala,2015,1606.06,0.036323
Jagraon,Ludhiana,2015,64.68,0.000795
Khanna,Ludhiana,2015,0.0,0.0
Ludhiana (East),Ludhiana,2015,0.0,0.0
Ludhiana (West),Ludhiana,2015,5.14,9.7e-05
Payal,Ludhiana,2015,0.0,0.0
Raikot,Ludhiana,2015,0.0,0.0
Samrala,Ludhiana,2015,2.2,4.1e-05
Budhlada,Mansa,2015,0.0,0.0
Mansa,Mansa,2015,24.8,0.000282
Sardulgarh,Mansa,2015,0.0,0.0
Bagha Purana,Moga,2015,0.0,0.0
Dharamkot,Moga,2015,105.66,0.001887
Moga,Moga,2015,0.0,0.0
