district,window_start,p_event,flooded_fraction,flood_event
Amritsar,2025-07-25,0.0006,0.001033,0
Amritsar,2025-08-04,0.0013,0.000868,0
Amritsar,2025-08-14,0.0003,0.001812,0
Amritsar,2025-08-24,0.0019,0.020893,1
Amritsar,2025-09-03,0.0187,0.021634,1
Amritsar,2025-09-13,0.1063,0.004558,0
Amritsar,2025-09-23,0.0003,0.001691,0
Barnala,2025-07-25,0.0002,0.003013,0
Barnala,2025-08-04,0.0009,0.001601,0
Barnala,2025-08-14,0.0002,0.000115,0
Barnala,2025-08-24,0.0018,0.003718,0
Barnala,2025-09-03,0.0008,0.002228,0
Barnala,2025-09-13,0.003,6e-05,0
Barnala,2025-09-23,0.0003,0.0,0
Bathinda,2025-07-25,0.0003,0.004979,0
Bathinda,2025-08-04,0.0011,0.0,0
Bathinda,2025-08-14,0.0003,0.000128,0
Bathinda,2025-08-24,0.0018,0.000824,0
Bathinda,2025-09-03,0.0005,0.002153,0
Bathinda,2025-09-13,0.003,5.3e-05,0
Bathinda,2025-09-23,0.0003,3.3e-05,0
Faridkot,2025-07-25,0.0008,0.002736,0
Faridkot,2025-08-04,0.0007,0.0,0
Faridkot,2025-08-14,0.0003,4.1e-05,0
Faridkot,2025-08-24,0.0018,0.000122,0
Faridkot,2025-09-03,0.0009,0.000229,0
Faridkot,2025-09-13,0.0032,3.6e-05,0
Faridkot,2025-09-23,0.0003,2e-05,0
Fatehgarh Sahib,2025-07-25,0.0002,0.00084,0
Fatehgarh Sahib,2025-08-04,0.0007,0.000515,0
Fatehgarh Sahib,2025-08-14,0.0002,7.8e-05,0
Fatehgarh Sahib,2025-08-24,0.0018,6.5e-05,0
Fatehgarh Sahib,2025-09-03,0.0009,9.1e-05,0
Fatehgarh Sahib,2025-09-13,0.006,3.2e-05,0
Fatehgarh Sahib,2025-09-23,0.0003,3.9e-05,0
Firozpur,2025-07-25,0.0124,0.008951,0
Firozpur,2025-08-04,0.0679,0.005849,0
Firozpur,2025-08-14,0.02,0.008737,0
Firozpur,2025-08-24,0.0475,0.023831,1
Firozpur,2025-09-03,0.5016,0.029054,1
Firozpur,2025-09-13,0.7917,0.012805,0
Firozpur,2025-09-23,0.0069,0.004604,0
Gurdaspur,2025-07-25,0.0004,0.003631,0
