date,dam,level_ft,inflow_cusecs,outflow_cusecs,as_of_time,source_title,source_url,published,quote
2025-09-04,Bhakra,1678.97,95435,73459,06:00,BBMB Reservoir Data (data-reservoir.htm archived capture),https://web.archive.org/web/20251007104956/https://bbmb.gov.in/data-reservoir.htm,2025-09-04,"Data as of at 6.00 am on 04.09.2025; Bhakra 1678.97 95435 73459"
2025-09-04,Pong,1394.51,132595,91167,06:00,BBMB Reservoir Data (data-reservoir.htm archived capture),https://web.archive.org/web/20251007104956/https://bbmb.gov.in/data-reservoir.htm,2025-09-04,"Data as of at 6.00 am on 04.09.2025; Pong 1394.51 132595 91167"
2025-09-15,Bhakra,1676.01,54667,50000,18:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20250915191626/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2025-09-15,"as on 15.09.2025 at 6.00 PM; Bhakra 1676.01 54667 50000"
2025-09-15,Pong,1393.23,76498,53901,18:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20250915191626/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2025-09-15,"as on 15.09.2025 at 6.00 PM; Pong 1393.23 76498 53901"
2025-09-24,Bhakra,1675.71,35666,45000,06:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20250924070102/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2025-09-24,"as on 24.09.2025 at 6.00 AM; Bhakra 1675.71 35666 45000"
2025-09-24,Pong,1390.98,17291,24823,06:00,BBMB Reservoir Data res_data.pdf (archived capture),https://web.archive.org/web/20250924070102/https://bbmb.gov.in/writereaddata/Portal/images/pdf/res_data.pdf,2025-09-24,"as on 24.09.2025 at 6.00 AM; Pong 1390.98 17291 24823"
2026-05-14,Bhakra,1586.6,13102,16042,06:00,BBMB Reservoir Data rdata.html (archived capture),https://web.archive.org/web/20260514202522/http://bbmb.gov.in/writereaddata/Portal/rdata/rdata.html,2026-05-14,"as on 14-05-2026 06:00 Hrs; Bhakra 1586.6 13102 16042"
2026-05-14,Pong,1333.03,2705,5010,06:00,BBMB Reservoir Data rdata.html (archived capture),https://web.archive.org/web/20260514202522/http://bbmb.gov.in/writereaddata/Portal/rdata/rdata.html,2026-05-14,"as on 14-05-2026 06:00 Hrs; Pong 1333.03 2705 5010"
2026-06-04,Bhakra,1580.18,10641,16521,18:00,BBMB Reservoir Data rdata.html (archived capture),https://web.archive.org/web/20260604214502/https://bbmb.gov.in/writereaddata/Portal/rdata/rdata.html,2026-06-04,"as on 04-06-2026 18:00 Hrs; Bhakra 1580.18 10641 16521"
2026-06-04,Pong,1330.43,2088,5231,18:00,BBMB Reservoir Data rdata.html (archived capture),https://web.archive.org/web/20260604214502/https://bbmb.gov.in/writereaddata/Portal/rdata/rdata.html,2026-06-04,"as on 04-06-2026 18:00 Hrs; Pong 1330.43 2088 5231"
