event,date,catchment,era5_mm,imd_mm,n_points,area_km2_covered
2023,2023-08-06,Bhakra,1.39,8.45,71,25762.476999999995
2023,2023-08-07,Bhakra,2.1,7.5,71,25762.476999999995
2023,2023-08-08,Bhakra,0.79,3.56,71,25762.476999999995
2023,2023-08-09,Bhakra,1.04,4.52,71,25762.476999999995
2023,2023-08-10,Bhakra,3.97,2.99,71,25762.476999999995
2023,2023-08-11,Bhakra,4.33,10.7,71,25762.476999999995
2023,2023-08-12,Bhakra,4.26,8.95,71,25762.476999999995
2023,2023-08-13,Bhakra,5.62,11.27,71,25762.476999999995
2023,2023-08-14,Bhakra,8.0,27.59,71,25762.476999999995
2023,2023-08-15,Bhakra,1.41,10.6,71,25762.476999999995
2023,2023-08-16,Bhakra,0.42,0.04,71,25762.476999999995
2023,2023-08-17,Bhakra,0.71,1.22,71,25762.476999999995
2023,2023-08-18,Bhakra,1.96,4.06,71,25762.476999999995
2023,2023-08-19,Bhakra,1.87,2.91,71,25762.476999999995
2023,2023-08-20,Bhakra,0.97,1.14,71,25762.476999999995
2025,2025-08-18,Bhakra,5.07,4.9,71,25762.476999999995
2025,2025-08-19,Bhakra,4.39,2.93,71,25762.476999999995
2025,2025-08-20,Bhakra,3.2,6.6,71,25762.476999999995
2025,2025-08-21,Bhakra,1.55,3.78,71,25762.476999999995
2025,2025-08-22,Bhakra,1.36,0.86,71,25762.476999999995
2025,2025-08-23,Bhakra,5.29,6.69,71,25762.476999999995
2025,2025-08-24,Bhakra,5.89,9.25,71,25762.476999999995
2025,2025-08-25,Bhakra,9.65,15.38,71,25762.476999999995
2025,2025-08-26,Bhakra,12.48,15.11,71,25762.476999999995
2025,2025-08-27,Bhakra,2.28,4.39,71,25762.476999999995
2025,2025-08-28,Bhakra,3.22,5.39,71,25762.476999999995
2025,2025-08-29,Bhakra,7.92,15.81,71,25762.476999999995
2025,2025-08-30,Bhakra,8.85,15.94,71,25762.476999999995
2025,2025-08-31,Bhakra,19.47,12.41,71,25762.476999999995
2025,2025-09-01,Bhakra,31.81,27.62,71,25762.476999999995
2025,2025-09-02,Bhakra,16.03,16.62,71,25762.476999999995
2025,2025-09-03,Bhakra,15.1,14.58,71,25762.476999999995
2025,2025-09-04,Bhakra,8.11,11.06,71,25762.476999999995
2025,2025-09-05,Bhakra,1.74,3.7,71,25762.476999999995
2025,2025-09-06,Bhakra,3.51,3.82,71,25762.476999999995
2023,2023-08-06,Pong,5.78,1.27,38,13637.446999999998
2023,2023-08-07,Pong,5.12,11.56,38,13637.446999999998
2023,2023-08-08,Pong,2.67,4.37,38,13637.446999999998
2023,2023-08-09,Pong,2.07,4.33,38,13637.446999999998
2023,2023-08-10,Pong,9.78,11.9,38,13637.446999999998
2023,2023-08-11,Pong,6.87,39.79,38,13637.446999999998
2023,2023-08-12,Pong,12.95,33.71,38,13637.446999999998
2023,2023-08-13,Pong,18.75,33.46,38,13637.446999999998
2023,2023-08-14,Pong,32.56,99.42,38,13637.446999999998
2023,2023-08-15,Pong,2.1,35.03,38,13637.446999999998
2023,2023-08-16,Pong,1.59,1.79,38,13637.446999999998
2023,2023-08-17,Pong,1.8,2.77,38,13637.446999999998
2023,2023-08-18,Pong,1.77,3.33,38,13637.446999999998
2023,2023-08-19,Pong,3.12,2.03,38,13637.446999999998
2023,2023-08-20,Pong,1.84,1.06,38,13637.446999999998
2025,2025-08-18,Pong,15.06,18.63,38,13637.446999999998
2025,2025-08-19,Pong,6.7,13.84,38,13637.446999999998
2025,2025-08-20,Pong,4.35,16.03,38,13637.446999999998
2025,2025-08-21,Pong,1.79,5.33,38,13637.446999999998
2025,2025-08-22,Pong,2.33,1.0,38,13637.446999999998
2025,2025-08-23,Pong,8.98,7.49,38,13637.446999999998
2025,2025-08-24,Pong,24.87,25.0,38,13637.446999999998
2025,2025-08-25,Pong,35.32,49.9,38,13637.446999999998
2025,2025-08-26,Pong,31.47,64.36,38,13637.446999999998
2025,2025-08-27,Pong,2.88,15.88,38,13637.446999999998
2025,2025-08-28,Pong,8.46,10.66,38,13637.446999999998
2025,2025-08-29,Pong,20.95,18.33,38,13637.446999999998
2025,2025-08-30,Pong,12.62,29.07,38,13637.446999999998
2025,2025-08-31,Pong,48.35,16.83,38,13637.446999999998
2025,2025-09-01,Pong,45.11,30.72,38,13637.446999999998
2025,2025-09-02,Pong,41.79,35.42,38,13637.446999999998
2025,2025-09-03,Pong,20.29,30.96,38,13637.446999999998
2025,2025-09-04,Pong,18.3,23.22,38,13637.446999999998
2025,2025-09-05,Pong,2.95,9.51,38,13637.446999999998
2025,2025-09-06,Pong,6.71,2.85,38,13637.446999999998
2023,2023-08-06,Ranjit Sagar,7.69,1.03,22,6952.758000000001
2023,2023-08-07,Ranjit Sagar,2.44,8.72,22,6952.758000000001
2023,2023-08-08,Ranjit Sagar,1.05,3.91,22,6952.758000000001
2023,2023-08-09,Ranjit Sagar,2.15,2.37,22,6952.758000000001
2023,2023-08-10,Ranjit Sagar,8.0,5.85,22,6952.758000000001
2023,2023-08-11,Ranjit Sagar,4.14,16.05,22,6952.758000000001
2023,2023-08-12,Ranjit Sagar,3.83,14.69,22,6952.758000000001
2023,2023-08-13,Ranjit Sagar,10.65,11.54,22,6952.758000000001
2023,2023-08-14,Ranjit Sagar,26.49,49.79,22,6952.758000000001
2023,2023-08-15,Ranjit Sagar,1.28,17.56,22,6952.758000000001
2023,2023-08-16,Ranjit Sagar,1.98,1.21,22,6952.758000000001
2023,2023-08-17,Ranjit Sagar,1.84,2.27,22,6952.758000000001
2023,2023-08-18,Ranjit Sagar,1.43,0.75,22,6952.758000000001
2023,2023-08-19,Ranjit Sagar,6.92,0.68,22,6952.758000000001
2023,2023-08-20,Ranjit Sagar,0.8,1.04,22,6952.758000000001
2025,2025-08-18,Ranjit Sagar,15.6,17.43,22,6952.758000000001
2025,2025-08-19,Ranjit Sagar,5.0,7.78,22,6952.758000000001
2025,2025-08-20,Ranjit Sagar,4.23,8.35,22,6952.758000000001
2025,2025-08-21,Ranjit Sagar,1.53,0.92,22,6952.758000000001
2025,2025-08-22,Ranjit Sagar,2.12,1.29,22,6952.758000000001
2025,2025-08-23,Ranjit Sagar,12.28,13.31,22,6952.758000000001
2025,2025-08-24,Ranjit Sagar,50.32,29.78,22,6952.758000000001
2025,2025-08-25,Ranjit Sagar,77.08,59.94,22,6952.758000000001
2025,2025-08-26,Ranjit Sagar,75.69,85.05,22,6952.758000000001
2025,2025-08-27,Ranjit Sagar,3.54,40.4,22,6952.758000000001
2025,2025-08-28,Ranjit Sagar,5.29,2.77,22,6952.758000000001
2025,2025-08-29,Ranjit Sagar,18.59,15.9,22,6952.758000000001
2025,2025-08-30,Ranjit Sagar,14.54,53.82,22,6952.758000000001
2025,2025-08-31,Ranjit Sagar,31.43,28.16,22,6952.758000000001
2025,2025-09-01,Ranjit Sagar,25.59,18.59,22,6952.758000000001
2025,2025-09-02,Ranjit Sagar,58.86,32.17,22,6952.758000000001
2025,2025-09-03,Ranjit Sagar,19.7,37.83,22,6952.758000000001
2025,2025-09-04,Ranjit Sagar,11.84,12.39,22,6952.758000000001
