date,station,discharge_cusecs,as_of_time,ambiguous,source_title,source_url,quote
2023-08-17,Dhilwan,234000,unspecified,False,"Monsoon fury: 44K in 130 Punjab villages hit by flood, 9,000 shifted, Gurdaspur bears brunt - The Tribune",https://www.tribuneindia.com/news/punjab/monsoon-fury-44k-in-130-punjab-villages-hit-by-flood-9-000-shifted-gurdaspur-bears-brunt-535781,"Flow in the Beas at Passi (Hoshiarpur) and Dhilwan (Kapurthala) recorded at 2.41 lakh cusecs and 2.34 lakh cusecs, respectively"
2023-08-18,Dhilwan,220000,unspecified,False,"23 dead, 1,018 villages hit, 16K rescued as Punjab sees worst floods in decades - The Tribune",https://www.tribuneindia.com/news/punjab/monsoon-fury-22k-more-marooned-fazilka-ferozepur-tarn-taran-worst-hit-536063,"The flow at Passi (Hoshiarpur) was recorded at 2,07,500 cusecs and Dhilwan (Kapurthala) at 2,20,000 cusecs."
2023-08-20,Dhilwan,155500,"unspecified (""yesterday"")",False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,"at Dhilwan it came down from 1,55,500 cusecs to 1,39,000 cusecs"
2023-08-21,Dhilwan,139000,"unspecified (""today"")",False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,"at Dhilwan it came down from 1,55,500 cusecs to 1,39,000 cusecs"
2023-08-23,Dhilwan,136000,unspecified,False,"Pong, Bhakra levels up, Punjab put on high alert - The Tribune",https://www.tribuneindia.com/news/punjab/pong-bhakra-levels-up-punjab-put-on-high-alert-537778/,"The Beas too continued to have a high water level of 1,37,200 cusecs at Hoshiarpur (Passi) and of 1,36,000 cusecs at Kapurthala (Dhilwan)."
2025-08-21,Dhilwan,119403,AMBIGUOUS - see quote/flag note,True,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,"1,19,403 cusec at Dhilwan. [FLAG: article's Dhilwan sentence does not restate the date; dated by proximity to the Thursday Aug 21 Harike/Hussainiwala readings in the same report, not fully confirmed]"
2025-08-24,Dhilwan,130000,yesterday,False,25 Sultanpur Lodhi villages on alert as incessant rain raises Beas level - The Tribune,https://www.tribuneindia.com/news/punjab/25-sultanpur-lodhi-villages-on-alert-as-incessant-rain-raises-beas-level/,"Water accumulation at the Dhilwan gauge was 1.30 lakh cusecs yesterday, which has increased to 1.40 lakh cusecs today."
2025-08-25,Dhilwan,140000,today,False,25 Sultanpur Lodhi villages on alert as incessant rain raises Beas level - The Tribune,https://www.tribuneindia.com/news/punjab/25-sultanpur-lodhi-villages-on-alert-as-incessant-rain-raises-beas-level/,"Water accumulation at the Dhilwan gauge was 1.30 lakh cusecs yesterday, which has increased to 1.40 lakh cusecs today."
2023-08-18,Ferozepur Head Works,258910,unspecified,False,"23 dead, 1,018 villages hit, 16K rescued as Punjab sees worst floods in decades - The Tribune",https://www.tribuneindia.com/news/punjab/monsoon-fury-22k-more-marooned-fazilka-ferozepur-tarn-taran-worst-hit-536063,"However, as the river re-enters India, the discharge at Hussainiwala was recorded at 2,58,910 cusecs."
2023-08-20,Ferozepur Head Works,225000,"unspecified (""yesterday"")",False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,The flow of the Sutlej water dropped from 2.25 lakh cusecs yesterday to 1.56 lakh cusecs today at Hussainiwala (Ferozepur)
2023-08-21,Ferozepur Head Works,156000,"unspecified (""today"")",False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,The flow of the Sutlej water dropped from 2.25 lakh cusecs yesterday to 1.56 lakh cusecs today at Hussainiwala (Ferozepur)
2023-08-23,Ferozepur Head Works,133224,unspecified,False,"Pong, Bhakra levels up, Punjab put on high alert - The Tribune",https://www.tribuneindia.com/news/punjab/pong-bhakra-levels-up-punjab-put-on-high-alert-537778/,"The water level of the Sutlej continued to remain high at Harike at 1,42,766 cusecs and at Hussainiwala at 1,33,224 cusecs."
2025-08-21,Ferozepur Head Works,82725,Thursday,False,"Rising dam water causes widespread flooding, loss assessment ordered - The Tribune",https://www.tribuneindia.com/news/punjab/rising-dam-water-causes-widespread-flooding-loss-assessment-ordered/,"while it was 82,725 cusec at Hussainiwala."
