year,date,gauge_ft,discharge_cusecs,source_page
1988,1988-09-29,740.5,166000,14
1989,1989-07-31,736.8,56200,14
1990,1990-09-10,740.3,155000,14
1991,1991-08-11,735.66,26800,14
1992,1992-08-29,742.6,145000,14
1993,1993-08-07,734.8,14604,14
1994,1994-09-09,721.3,77400,14
1995,1995-09-08,744.3,142000,14
1996,1996-08-24,738.3,38600,14
1997,1997-08-28,738.8,46300,14
1998,1998-07-11,740.0,51000,14
1999,1999-07-22,739.0,72000,14
2000,2000-07-29,738.6,64000,14
2001,2001-08-15,739.6,51600,14
2002,2002-08-05,735.1,26100,14
2003,2003-08-02,736.8,36400,14
2004,2004-08-19,735.4,27400,14
2005,2005-07-02,736.7,40980,14
2006,2006-07-11,736.8,42400,14
2007,2007-07-10,738.5,65000,14
2008,2008-08-17,739.9,87800,14
2009,2009-09-04,737.0,42000,14
2010,2010-09-17,738.5,56500,14
2011,2011-08-14,741.7,54200,14
2012,2012-07-25,736.5,34000,14
2013,2013-08-11,741.4,125000,14
2014,2014-07-17,736.8,38800,14
2015,2015-08-13,740.4,98800,14
2016,2016-08-07,739.2,74000,14
2017,2017-08-08,739.1,72000,14
2018,2018-08-14,738.8,63500,14
2019,2019-08-18,738.6,60600,14
2020,2020-08-13,736.0,27000,14
2021,2021-07-29,737.0,37000,14
2022,2022-08-22,738.5,60500,14
2023,2023-08-17,744.5,237500,14
2024,2024-08-12,737.0,47881,14
2025,2025-08-31,743.6,235494,14
