sr_no,year,harike_us_cusecs,harike_ds_cusecs,hussainiwala_us_cusecs,hussainiwala_ds_cusecs,wrd_class,source_page
1,1988,600000,600000,565500,565500,H,12
2,1989,55753,38904,28369,27025,M,12
3,1990,201665,184730,157553,157373,,12
4,1991,59936,38137,27930,26280,,12
5,1992,191204,180284,152252,150188,M,12
6,1993,279820,265818,184566,185627,M,12
7,1994,228386,209758,173778,171033,H,12
8,1995,377990,367430,358290,356590,H,12
9,1996,78158,63977,63850,62850,L,12
10,1997,66599,53599,59192,48848,L,12
11,1998,110673,98633,96789,93175,L,12
12,1999,62551,40107,37651,35196,L,12
13,2000,74734,53937,22152,20112,,12
14,2001,73375,52194,24754,23254,,12
15,2002,15208,3000,1780,,,12
16,2003,36883,15213,11556,13313,,12
17,2004,19582,1800,1395,,,12
18,2005,47500,27660,25633,23883,,12
19,2006,33172,13138,10056,10056,,12
20,2007,27807,6915,4841,3771,,12
21,2008,91410,81250,71392,70392,L,12
22,2009,39140,16596,12570,12570,,12
23,2010,80165,64027,57065,56565,L,12
24,2011,100658,81130,78377,76677,L,12
25,2012,26570,6224,13827,13827,,12
26,2013,127035,117875,110616,110616,L,12
27,2014,24925,10447,11941,11941,,12
28,2015,108249,86820,75463,74163,L,12
29,2016,34403,15055,16984,15084,,12
30,2017,57756,34673,34266,33266,,12
31,2018,83726,66061,46509,41478,L,12
32,2019,119250,112308,72049,71249,L,12
33,2020,30296,10931,10550,10250,,12
34,2021,24673,3917,6474,5974,L,12
35,2022,33787,11903,11949,11049,L,12
36,2023,301061,284947,284475,282875,H,12
37,2024,38173,16294,8385,7325,,12
38,2025,347548,330677,330677,330087,H,12
