sr_no,year,us_cusecs,ds_cusecs,source_page
1,1988,369736,368936,13
2,1989,23404,21280,13
3,1990,63351,63351,13
4,1991,40959,32660,13
5,1992,51846,40300,13
6,1993,72768,72768,13
7,1994,59219,53504,13
8,1995,161418,171522,13
9,1996,48237,44340,13
10,1997,50383,48278,13
11,1998,74234,74234,13
12,1999,34459,23360,13
13,2000,29754,18250,13
14,2001,74011,62766,13
15,2002,24749,15500,13
16,2003,31043,21545,13
17,2004,21160,8660,13
18,2005,31315,26514,13
19,2006,50249,38200,13
20,2007,50191,37746,13
21,2008,90996,85552,13
22,2009,72823,62723,13
23,2010,60810,59910,13
24,2011,55751,54201,13
25,2012,26420,16720,13
26,2013,67392,53992,13
27,2014,33030,18980,13
28,2015,56454,44957,13
29,2016,23990,15500,13
30,2017,39543,28593,13
31,2018,38800,29500,13
32,2019,98856,96556,13
33,2020,25630,14205,13
34,2021,24120,16720,13
35,2022,22525,17380,13
36,2023,125722,125590,13
37,2024,45452,33552,13
38,2025,117282,114782,13
