river,sr_no,reach,km,hours,source_page
Sutlej,1,Bhakra Dam to Ropar Head Works,75.0,18.0,118
Sutlej,2,Ropar Head Works to Phillaur,70.0,14.0,118
Sutlej,3,Phillaur to Harike Barrage (Paltan),74.0,20.0,118
Sutlej,5,Harike Head works to Hussainiwala Head works,40.0,12.0,118
Ghaggar,1,Bhankarpur to Narwana Branch,52.0,9.0,118
Ghaggar,2,Narwana Branch to Khanauri,90.0,24.0,118
Ghaggar,3,Khanaui to Sardulgarh,94.0,39.0,118
Beas,1,Pong Dam to Shah nehar Barrage,5.0,1.5,118
Beas,2,S.N.B. to Mirthal (GTRoad),34.3,7.5,118
Beas,3,Mirthal (GT Road to Nashahra Pattan),14.7,5.0,118
Beas,4,Nashahra Pattan to Tanda Bridge,35.0,12.0,118
Beas,5,Tanda Bridge to Harike Head Works,126.3,46.0,118
