date,dam,observed_cusecs,storage_fit_cusecs,inflow_fit_cusecs
2026-06-24,Bhakra,18715.0,36627.98078887685,28487.126291932276
2026-07-26,Bhakra,40363.0,59835.3924317571,46697.19120550146
2026-08-08,Bhakra,41501.0,59201.17274366443,48355.78843359833
2026-08-09,Bhakra,40137.0,54892.237417340744,47364.254622925815
2026-08-10,Bhakra,40976.5,57484.04896617438,45301.56496619718
2026-08-11,Bhakra,41986.5,68879.86478620212,49216.34014170646
2026-08-12,Bhakra,49735.0,59554.0141700979,46343.1257531228
2026-08-13,Bhakra,48548.0,48149.439570436145,43277.08333424922
2026-08-14,Bhakra,46450.0,47752.27981350469,40561.05817981069
2026-08-15,Bhakra,48865.5,57621.03968492644,42622.3478944151
2026-08-16,Bhakra,45110.0,52632.97886519414,40475.034740500036
2026-08-17,Bhakra,40913.0,52115.515254259124,44114.24676677304
2026-08-18,Bhakra,41335.5,54133.024435849366,44541.70465410216
2026-08-19,Bhakra,56860.0,55636.353603501084,43844.42870205201
2026-08-20,Bhakra,53777.99999999999,51834.78328382878,42135.78122191177
2026-08-21,Bhakra,47130.0,46454.75523579378,39553.198446925984
2026-08-22,Bhakra,41877.0,46453.536103542654,38154.31823251004
2026-08-23,Bhakra,40737.5,49110.69447501032,38585.066464061754
2026-08-24,Bhakra,40275.5,43312.67152003408,35488.34552130901
2026-08-25,Bhakra,35461.0,40004.9546609299,34245.532020500934
2026-08-26,Bhakra,37741.0,42793.511865311266,34714.460765650365
2026-08-27,Bhakra,31666.5,41590.05201218574,32639.06461402765
2026-08-28,Bhakra,33408.5,40821.170491308156,33188.62672630025
2026-08-29,Bhakra,33580.0,40074.25439082347,32986.49910796399
2026-08-30,Bhakra,33551.5,40325.6359547944,32515.577195093647
2026-08-31,Bhakra,36208.0,48114.00338177935,37958.698612694025
2026-09-01,Bhakra,34293.0,48391.74133086026,38693.02992177817
2026-09-02,Bhakra,53124.00000000001,58395.662883437886,47466.13506751519
2026-09-03,Bhakra,46192.0,54766.82920023024,45007.275549253034
2026-09-04,Bhakra,40765.0,51543.46130830809,43945.18614328005
2026-09-05,Bhakra,41628.0,56802.68697821837,45313.12327879397
2026-09-06,Bhakra,40006.0,51701.97048923053,40845.970765766004
2026-09-07,Bhakra,37778.0,49645.043864738946,40743.5332729858
2026-09-13,Bhakra,26455.0,43282.24211111017,35219.42447395551
2026-09-15,Bhakra,30101.0,44199.391841853954,36652.35691083581
2026-06-24,Pong,3527.0,40915.05423000782,12824.271396921904
2026-07-26,Pong,37172.0,78697.93130805752,42795.24444483125
2026-08-08,Pong,48054.0,95101.20104433772,57388.58911675045
2026-08-09,Pong,34263.0,70523.6728394091,41206.15666992174
2026-08-10,Pong,27485.5,62183.58691075018,25884.59697965538
2026-08-11,Pong,34481.5,79307.44654516397,38804.08340494647
2026-08-12,Pong,60171.00000000001,94618.90447625106,57628.83235344532
2026-08-13,Pong,52326.0,68999.23328091932,41622.70919823053
2026-08-14,Pong,31110.5,57052.396052220145,23599.911591216
2026-08-15,Pong,33141.0,78952.93015148898,37975.78567755458
2026-08-16,Pong,49784.0,92492.7069967187,56917.21925245154
2026-08-17,Pong,40630.0,70527.3515890192,41669.66780272336
2026-08-18,Pong,33996.5,62785.2034827986,28515.42536381317
2026-08-19,Pong,60407.99999999999,92966.72090527375,48249.17435126579
2026-08-20,Pong,77375.5,115479.31577535206,75149.48061813202
2026-08-21,Pong,33353.0,62538.35943905335,38308.92945873709
2026-08-22,Pong,23300.0,62979.50905134734,22586.2663535567
2026-08-23,Pong,37686.5,77286.22778626056,39051.767359120255
2026-08-24,Pong,53191.5,70934.94639356088,41781.254824725984
2026-08-25,Pong,31083.500000000004,47731.441799080996,20119.939936612875
2026-08-26,Pong,19354.0,48781.185477696956,16205.32955563921
2026-08-27,Pong,20988.0,51906.65220123038,22200.580614805225
2026-08-28,Pong,21822.5,49993.17196359995,22298.51205182707
2026-08-29,Pong,29524.0,48788.238160033536,20268.462871316828
2026-08-30,Pong,25263.5,49309.301633905096,20814.741801868022
2026-08-31,Pong,30840.0,55327.146945799606,25140.15741365229
2026-09-01,Pong,41950.5,66291.89358959052,35732.16039721194
2026-09-02,Pong,41856.0,73007.4153130096,42012.240597203054
2026-09-03,Pong,49466.0,79226.49167165221,45976.78948103113
2026-09-04,Pong,24096.5,64626.57260969846,34206.13301885316
2026-09-05,Pong,22870.0,61656.38887016601,27524.61772584472
2026-09-06,Pong,19060.0,53960.022082469055,23508.496050787897
2026-09-07,Pong,20689.0,50996.29966574574,21266.135675984562
2026-09-13,Pong,19305.0,56770.02391547647,29934.293545422133
2026-09-15,Pong,15187.000000000002,55113.21673786169,22850.99005195515
