dam,variant,n_seasons,n_days,rmse_bcm,n_heavy_days,heavy_rmse_bcm,heavy_bias_bcm,in_sample_rmse_bcm,c,c_wet,w,c_excess,w_excess,wetness,gamma,c_melt,w_melt,intercept_bcm_per_day
Bhakra,baseline,11,1009,0.043904593889189734,2,0.10127785238588252,-0.09075794649565229,0.04337534845997248,0.17033704612728234,0.24991984946245677,0.54 0.27 0.10 0.09,0.0,,api,0.0,0.0,,0.002259873152988775
Bhakra,excess above 30 mm,11,1009,0.06675904322963067,2,0.09229371165171793,-0.07727081736046566,0.04331919456117842,0.1935371995053191,0.20732740755545315,0.55 0.21 0.12 0.12,0.3033218593002517,0.00 1.00 0.00 0.00,api,0.0,0.0,,0.0010755954687747397
Bhakra,api+sm,11,1009,0.044005756898610346,2,0.09607665612306966,-0.0865800949405398,0.04336047664966821,0.17033704612728234,0.24991984946245677,0.54 0.27 0.10 0.09,0.0,,api+sm,-0.1382374549813963,0.0,,0.002259873152988775
Bhakra,sm,11,1009,0.043603850878316384,2,0.06906690438060355,-0.05297099819534807,0.04302970203030249,0.2775569514793656,0.0,0.27 0.36 0.18 0.19,0.0,,sm,0.1493512559830568,0.0,,-0.0021154806711813955
Bhakra,snowmelt,11,1009,0.04380943558542522,2,0.09479435286249963,-0.08457066676660242,0.04314098630807664,0.14486654098288027,0.2816522983353049,0.54 0.28 0.08 0.09,0.0,,api,0.0,0.06713322023722082,0.00 0.15 0.00 0.85,-0.001384904653439245
Pong,baseline,8,733,0.030167320958222166,28,0.07821890494236387,-0.015798955145759474,0.029594760927673373,0.20252556951077164,0.32815516998502064,0.35 0.48 0.09 0.08,0.0,,api,0.0,0.0,,-0.01313990452029291
Pong,excess above 30 mm,8,733,0.030443498324002956,28,0.07731122574079383,-0.012880333384611828,0.029585376911511613,0.20007826131876072,0.3322928346153121,0.40 0.39 0.11 0.10,0.523263961684464,0.20 0.65 0.09 0.06,api,0.0,0.0,,-0.013127366963397882
Pong,api+sm,8,733,0.029975615002940124,28,0.07719368202090146,-0.005912570431688227,0.02941896421790991,0.20252556951077164,0.32815516998502064,0.35 0.48 0.09 0.08,0.0,,api+sm,-0.3587901350266636,0.0,,-0.01313990452029291
Pong,sm,8,733,0.03343984478792165,28,0.08595557084291684,0.010112168199965047,0.03259413629438054,0.5089782541366086,0.0,0.21 0.52 0.15 0.13,0.0,,sm,-0.24778617215454007,0.0,,-0.02536586955287048
Ranjit Sagar,baseline,11,1184,0.022865580884362528,29,0.044218959773392984,-0.011311050216115308,0.022427979081118554,0.1313774408026632,0.26331892708888766,0.62 0.24 0.08 0.05,0.0,,api,0.0,0.0,,-0.008649468861669495
Ranjit Sagar,excess above 30 mm,11,1184,0.022946415221679107,29,0.04686214996479379,-0.007403421808335571,0.022326492412643725,0.15599727929848317,0.16597692458717728,0.47 0.27 0.15 0.11,0.4686172859406195,0.46 0.48 0.00 0.07,api,0.0,0.0,,-0.008436556038546678
Ranjit Sagar,api+sm,11,1184,0.022971314892927433,29,0.03841908136798613,-0.016802469513447525,0.022406479653990716,0.1313774408026632,0.26331892708888766,0.62 0.24 0.08 0.05,0.0,,api+sm,0.26186751874078934,0.0,,-0.008649468861669495
Ranjit Sagar,sm,11,1184,0.023047005657071042,29,0.04705108079523132,-0.010076313186572044,0.02270781303272835,0.34144046382873267,0.0,0.34 0.45 0.11 0.10,0.0,,sm,1.298988503158571,0.0,,-0.012701586359455706
Bhakra,press inflow fit,11,1009,0.045998228077371216,2,0.15200977222372283,-0.14974755638960663,0.06922486009703159,0.4331727825003241,0.0,0.47 0.21 0.11 0.21,0.0,,api,0.0,0.0,,-0.02286190695805325
Pong,press inflow fit,8,733,0.07137597362900956,28,0.11573218847532168,-0.05891274172267668,0.15076755065557224,0.7096240483024819,0.27816086959348285,0.35 0.15 0.22 0.28,0.0,,api,0.0,0.0,,-0.10615206097688915
