dam,horizon_days,rain,n,bias_pct,pearson_r,mae_cusecs,mean_obs_cusecs,mean_pred_cusecs
Bhakra,1,observed rain,30,-1.1669549159801584,0.5765709424768543,4040.2705679786372,41925.86666666667,41436.610704532715
Bhakra,1,persistence,31,0.4525654057728366,0.6121942618989927,4081.967741935484,41476.8064516129,41664.51612903226
Bhakra,1,ecmwf_ifs025,31,-8.383710558257777,0.5136036695925539,4532.542184936179,41476.8064516129,37999.51104990089
Bhakra,1,gfs_seamless,31,-6.660132192954323,0.5116685068379778,4809.765422626926,41476.8064516129,38714.396312519675
Bhakra,1,ecmwf_aifs025_single,31,-5.972986607620019,0.4790872668299901,4554.245868786522,41476.8064516129,38999.40235698959
Bhakra,2,observed rain,30,-2.287728929102556,0.45950049777299845,5444.361642120328,41591.333333333336,40639.836368667195
Bhakra,2,persistence,31,-0.11480885771047193,0.45000237438381907,5593.709677419355,41274.77419354839,41227.3870967742
Bhakra,2,ecmwf_ifs025,30,-11.608515236188719,0.32688329852047704,6175.714232526586,41591.333333333336,36763.1970663993
Bhakra,2,gfs_seamless,30,-10.994088776359902,0.3074941380188202,6653.233488342795,41591.333333333336,37018.7452233949
Bhakra,2,ecmwf_aifs025_single,30,-8.484149190910642,0.2817120371265499,5848.753095713525,41591.333333333336,38062.66256284439
Bhakra,3,observed rain,28,-2.822491828999154,0.36015848941330497,6134.572606268667,41957.892857142855,40773.63475962978
Bhakra,3,persistence,29,0.290482580190333,0.3101540016303829,6582.413793103448,41476.75862068965,41597.24137931035
Bhakra,3,ecmwf_ifs025,29,-12.024812481745652,0.3928672496416129,6249.691757654426,41476.75862068965,36489.25617304545
Bhakra,3,gfs_seamless,29,-11.70297732746476,0.30515121905040254,7765.110020460492,41476.75862068965,36622.74296314306
Bhakra,3,ecmwf_aifs025_single,29,-9.196344407404867,0.2217112349470966,6940.920935439514,41476.75862068965,37662.41304890304
