date,dam,storage_bcm,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,storage_basis,reanchor_gap_bcm
2015-06-01,Bhakra,2.66,-0.4046830489456892,0.0,0.0,0.0,36483.01913807803,0.1557898547105521,,cwc,
2015-06-02,Bhakra,2.656,-0.40445562218187486,0.0,0.0,0.0,37745.10384916005,1.7249462012957395,,cwc,0.007638210147650426
2015-06-03,Bhakra,2.648,-0.4043352863736629,0.0,0.0,0.0,38367.81647925803,1.6457118759302511,,cwc,0.014725995738194886
2015-06-04,Bhakra,2.63,-0.4083053669139794,0.0,0.0,0.0,37835.403264127606,1.0118779933365376,,cwc,0.026249509230897417
2015-06-05,Bhakra,2.607,-0.41398111953262434,0.0,0.0,0.0,38297.566205155286,1.506115760383705,,cwc,0.029946920078631756
2015-06-06,Bhakra,2.588,-0.41657567748753926,0.0,0.0,0.0,38537.21697638986,1.6054770690497018,,cwc,0.027077636628209056
2015-06-07,Bhakra,2.575,-0.4189586463833593,0.0,0.0,0.0,41236.81857365128,4.042213490163181,,cwc,0.02166396034458362
2015-06-08,Bhakra,2.573,-0.4212496704365345,0.0,0.0,0.0,38406.224475157454,0.0003938008166904,,cwc,0.017268739595167837
2015-06-09,Bhakra,2.572,-0.421628193877241,0.0,0.0,0.0,36773.090188017435,0.1025189248895553,,cwc,0.00934347729441809
2015-06-10,Bhakra,2.581,-0.41863559228366826,0.0,0.0,0.0,41280.474525509584,4.59009601236648,,cwc,-0.004652109115095726
2015-06-11,Bhakra,2.586,-0.4198398234190301,0.0,0.0,0.0,39457.7807576876,1.1940231870141589,,cwc,0.010375547179402034
2015-06-12,Bhakra,2.601,-0.4183074066452143,0.0,0.0,0.0,37830.80174132833,0.6025389824232431,,cwc,-0.004083810819975664
2015-06-13,Bhakra,2.608,-0.4172758470304355,0.0,0.0,0.0,38117.153868450536,1.090378702628739,,cwc,-6.433789452131577e-05
2015-06-14,Bhakra,2.599,-0.41969156494165416,0.0,0.0,0.0,38611.31806942671,1.978839856760368,,cwc,0.016636244217111962
2015-06-15,Bhakra,2.601,-0.4167163361821396,0.0,0.0,0.0,37016.81045355517,0.0318171392217633,,cwc,0.0068452542667061245
2015-06-16,Bhakra,2.597,-0.4151464325871071,0.0,0.0,0.0,36151.76126643834,0.0030520554700194,,cwc,0.00894417092652322
2015-06-17,Bhakra,2.59,-0.41488903386825,0.0,0.0,0.0,36871.33231432767,0.9314654334691036,,cwc,0.0098277627396266
2015-06-18,Bhakra,2.594588247668677,-0.4118657686000017,0.0,0.0,0.0,37342.40680690353,1.2710716952993597,,model,
2015-06-19,Bhakra,2.567,-0.4164169214014584,0.0,0.0,0.0,43278.661238945206,6.7228952962537925,,cwc,0.033329014671021895
2015-06-20,Bhakra,2.6,-0.40345222546320675,0.0,0.0,0.0,41545.85444332014,1.726285477036816,,cwc,-0.01273573807206585
2015-06-21,Bhakra,2.636,-0.3755395064472179,0.0,0.0,0.0,39487.41588874535,1.2074065954120414,,cwc,-0.019975180803402992
2015-06-22,Bhakra,2.654,-0.35878364339205726,0.0,0.0,0.0,40569.324139803306,2.3164933476491623,,cwc,-0.007011306233040138
2015-06-23,Bhakra,2.67,-0.3510200536642989,0.0,0.0,0.0,40228.660642666204,2.3673278711984325,,cwc,-0.0023643359634748506
2015-06-24,Bhakra,2.674,-0.34683871517493453,0.0,0.0,0.0,53690.741958737635,13.69608049580211,,cwc,0.0088022050551686
2015-06-25,Bhakra,2.695,-0.34883032940299896,0.0,0.0,0.0,78288.30191407056,26.03175196676708,,cwc,0.024738203995258612
2015-06-26,Bhakra,2.723,-0.3562218133813141,0.0,0.0,0.0,63019.50379590451,1.1278169411699457,,cwc,0.0779179926621465
2015-06-27,Bhakra,2.737,-0.3599602275068831,0.0,0.0,0.0,48341.69153008481,0.2192779452529812,,cwc,0.05456172457631947
2015-06-28,Bhakra,2.732,-0.3633867756587215,0.0,0.0,0.0,46301.98907949234,1.8907412100842147,,cwc,0.03765134802460901
2015-06-29,Bhakra,2.726,-0.3679971366970995,0.0,0.0,0.0,41435.789857629745,2.5493299545711867,,cwc,0.033661061888793586
2015-06-30,Bhakra,2.723,-0.3700040290067961,0.0,0.0,0.0,53217.58771687903,10.810795470066903,,cwc,0.01875553787281614
2015-07-01,Bhakra,2.723,-0.3736465838035644,0.0,0.0,0.0,50405.480928100325,6.168309090208632,,cwc,0.0445805963978545
2015-07-02,Bhakra,2.731,-0.37523492385354534,0.0,0.0,0.0,44068.54809024245,1.1910580256829213,,cwc,0.02970056469695681
2015-07-03,Bhakra,2.75,-0.37161407938105256,0.0,0.0,0.0,40255.229870240495,0.0279207788251964,,cwc,0.0031967797820682264
2015-07-04,Bhakra,2.767,-0.36560917467586107,0.0,0.0,0.0,38962.30237040907,1.3829211726226498,,cwc,-0.004132791322383866
2015-07-05,Bhakra,2.797,-0.34852118675321203,0.0,0.0,0.0,46502.56477524723,7.897526121381438,,cwc,-0.02029603612563946
2015-07-06,Bhakra,2.84498,-0.3222248460644916,0.0,0.0,0.0,44207.51119527328,2.995785845346622,,cwc,-0.01982821451894079
2015-07-07,Bhakra,2.90317,-0.2889826959969928,0.0,0.0,0.0,42977.591406782405,3.234840327456284,,cwc,-0.03565323648342922
2015-07-08,Bhakra,2.9673,-0.260460238766765,0.0,0.0,0.0,44376.73980501743,3.882853068536455,,cwc,-0.04460232816093779
2015-07-09,Bhakra,3.024,-0.2435579756983931,0.0,0.0,0.0,58201.84520236407,15.198585190047826,,cwc,-0.03374920590522246
2015-07-10,Bhakra,3.108,-0.23319855243005924,0.0,0.0,0.0,75368.59057271178,18.85471726339159,,cwc,-0.027225041125439553
2015-07-11,Bhakra,3.191,-0.22638514540024432,0.0,0.0,0.0,81704.9054841783,16.133013807810926,,cwc,0.015774698294316547
2015-07-12,Bhakra,3.275,-0.21475004235663323,0.0,0.0,0.0,69346.38337205173,4.842390637514495,,cwc,0.030276971405606812
2015-07-13,Bhakra,3.345,-0.20654970881414536,0.0,0.0,0.0,52360.6872560103,0.6546805776394963,,cwc,0.014040913426953239
2015-07-14,Bhakra,3.586,-0.15074677224757393,0.0,0.0,0.0,42965.661946810724,0.1688099442704257,,cwc,-0.1985158753146763
2015-07-15,Bhakra,3.49851,-0.1613060526980592,0.0,0.0,0.0,54004.08706522072,10.907473255001497,,cwc,0.10698848551402351
