date,dam,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,storage_basis
2015-06-01,Pong,-0.638728599073056,0.0,0.0,0.0,40618.83843871767,0.6982261726387717,,cwc
2015-06-02,Pong,-0.6360005887313815,0.0,0.0,0.0,41688.569441768974,3.3699512981135737,,cwc
2015-06-03,Pong,-0.6333841238340975,0.0,0.0,0.0,43252.9732596491,3.023569066422558,,cwc
2015-06-04,Pong,-0.6332205230984274,0.0,0.0,0.0,45244.70667830911,6.961556938965655,,cwc
2015-06-05,Pong,-0.6352253044661165,0.0,0.0,0.0,47101.22514243467,3.766187327249585,,cwc
2015-06-06,Pong,-0.6347906617716382,0.0,0.0,0.0,45992.210087759035,4.474225777828687,,cwc
2015-06-07,Pong,-0.6328892961104714,0.0,0.0,0.0,46781.228197083605,4.313475975721081,,cwc
2015-06-08,Pong,-0.6344742062719824,0.0,0.0,0.0,44089.77134391271,0.0,,cwc
2015-06-09,Pong,-0.6349277534203374,0.0,0.0,0.0,41053.771761332355,0.1854237625407301,,cwc
2015-06-10,Pong,-0.6344247065810987,0.0,0.0,0.0,47128.24048231362,13.9730948471258,,cwc
2015-06-11,Pong,-0.6363397620992689,0.0,0.0,0.0,50139.52055780132,0.0,,cwc
2015-06-12,Pong,-0.63983184778068,0.0,0.0,0.0,41725.879758354575,0.0924677268513855,,cwc
2015-06-13,Pong,-0.638289418868099,0.0,0.0,0.0,41669.045033949835,0.3085795663669741,,cwc
2015-06-14,Pong,-0.6381603447422968,0.0,0.0,0.0,41044.476887585515,2.0421291012457528,,cwc
2015-06-15,Pong,-0.6365415735543816,0.0,0.0,0.0,41454.59723404832,0.3777544293744614,,cwc
2015-06-16,Pong,-0.6320617943189701,0.0,0.0,0.0,40284.61475515223,0.0,,cwc
2015-06-17,Pong,-0.6297857318058762,0.0,0.0,0.0,40069.17016170506,0.0,,cwc
2015-06-18,Pong,-0.6274326457635981,0.0,0.0,0.0,39864.363132559796,0.0,,cwc
2015-06-19,Pong,-0.6252468712310422,0.0,0.0,0.0,46180.95191974125,15.411283920581775,,cwc
2015-06-20,Pong,-0.6222078575883981,0.0,0.0,0.0,56991.41596077231,13.603718439817555,,cwc
2015-06-21,Pong,-0.6171697858384251,0.0,0.0,0.0,53046.827207543975,0.35187029959919,,cwc
2015-06-22,Pong,-0.6168956903559584,0.0,0.0,0.0,48758.02949449014,7.642042858522722,,cwc
2015-06-23,Pong,-0.6180359443588573,0.0,0.0,0.0,48773.88314987756,0.4207116984912917,,cwc
2015-06-24,Pong,-0.6202396420886723,0.0,0.0,0.0,55533.29218954744,22.05009985122526,,cwc
2015-06-25,Pong,-0.6213644163224001,0.0,0.0,0.0,62852.42760648811,2.1000405136069507,,cwc
2015-06-26,Pong,-0.6220500120539735,0.0,0.0,0.0,45001.952341422555,0.0,,cwc
2015-06-27,Pong,-0.6204731347105645,0.0,0.0,0.0,43329.81211530022,0.0,,cwc
2015-06-28,Pong,-0.6205598669632554,0.0,0.0,0.0,42377.936394446006,4.097173118135938,,cwc
2015-06-29,Pong,-0.6202468967161603,0.0,0.0,0.0,49506.40494141443,11.194861300103153,,cwc
2015-06-30,Pong,-0.6234706774960307,0.0,0.0,0.0,49408.651885301806,2.6582813442138296,,cwc
2015-07-01,Pong,-0.6227316033971982,0.0,0.0,0.0,43857.018884645666,0.452745210433831,,cwc
2015-07-02,Pong,-0.6161305411739623,0.0,0.0,0.0,43536.62752351564,3.2408215620345926,,cwc
2015-07-03,Pong,-0.6139445298571987,0.0,0.0,0.0,42953.00868842202,0.6996744709080521,,cwc
2015-07-04,Pong,-0.6133677089427819,0.0,0.0,0.0,42247.76202152919,2.8321321525298275,,cwc
2015-07-05,Pong,-0.5996582680020155,0.0,0.0,0.0,51268.59004858093,20.07538665746564,,cwc
2015-07-06,Pong,-0.5675219375446842,0.0,0.0,0.0,61744.36358082065,10.25930768462851,,cwc
2015-07-07,Pong,-0.5492549213040632,0.0,0.0,0.0,56068.13170416254,5.915108590377887,,cwc
2015-07-08,Pong,-0.534765145720348,0.0,0.0,0.0,53780.99493976098,5.984585406303801,,cwc
2015-07-09,Pong,-0.5294054095342332,0.0,0.0,0.0,83995.51350957368,52.29611864840779,,cwc
2015-07-10,Pong,-0.5402807306822018,0.0,0.0,0.0,131287.9407618549,17.38586365131103,,cwc
2015-07-11,Pong,-0.5505940477057789,0.0,0.0,0.0,94716.98898790071,17.38324290624699,,cwc
2015-07-12,Pong,-0.541636973680103,0.0,0.0,0.0,88911.40458618206,7.098140785092009,,cwc
2015-07-13,Pong,-0.5220795495442973,0.0,0.0,0.0,59172.16126687718,0.4237434747435787,,cwc
2015-07-14,Pong,-0.5075079110876097,0.0,0.0,0.0,47679.71182926507,1.2872464530878227,,cwc
