date,dam,storage_bcm,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,storage_basis,reanchor_gap_bcm
2015-06-01,Bhakra,2.66,-0.5695589565701296,0.0,0.0,0.0,36956.897237228644,0.1557898547105521,,cwc,
2015-06-02,Bhakra,2.656,-0.5690599897507093,0.0,0.0,0.0,36889.29941177922,1.7249462012957395,,cwc,
2015-06-03,Bhakra,2.648,-0.5682343602151819,0.0,0.0,0.0,37385.47985081556,1.6457118759302511,,cwc,
2015-06-04,Bhakra,2.63,-0.570169287129396,0.0,0.0,0.0,37358.75782795823,1.0118779933365376,,cwc,
2015-06-05,Bhakra,2.607,-0.5730170898603277,0.0,0.0,0.0,38436.22194210781,1.506115760383705,,cwc,
2015-06-06,Bhakra,2.588,-0.5736914309058172,0.0,0.0,0.0,39862.208839439845,1.6054770690497018,,cwc,
2015-06-07,Bhakra,2.575,-0.5743414838327991,0.0,0.0,0.0,42261.23505493217,4.042213490163181,,cwc,
2015-06-08,Bhakra,2.573,-0.5745240702356524,0.0,0.0,0.0,39816.36340239092,0.0003938008166904,,cwc,
2015-06-09,Bhakra,2.572,-0.5737392014323137,0.0,0.0,0.0,39509.12542997119,0.1025189248895553,,cwc,
2015-06-10,Bhakra,2.581,-0.5714925643491772,0.0,0.0,0.0,44485.3012989958,4.59009601236648,,cwc,
2015-06-11,Bhakra,2.586,-0.5722793921345471,0.0,0.0,0.0,43520.718520088936,1.1940231870141589,,cwc,
2015-06-12,Bhakra,2.601,-0.5713224188516189,0.0,0.0,0.0,42613.83781767803,0.6025389824232431,,cwc,
2015-06-13,Bhakra,2.608,-0.5704958989269995,0.0,0.0,0.0,42223.3799307425,1.090378702628739,,cwc,
2015-06-14,Bhakra,2.599,-0.5717231255280104,0.0,0.0,0.0,41550.46946283561,1.978839856760368,,cwc,
2015-06-15,Bhakra,2.601,-0.56797929665355,0.0,0.0,0.0,40438.35891330751,0.0318171392217633,,cwc,
2015-06-16,Bhakra,2.597,-0.5655031298307587,0.0,0.0,0.0,39826.16126961474,0.0030520554700194,,cwc,
2015-06-17,Bhakra,2.59,-0.5640188301941911,0.0,0.0,0.0,41857.02187021464,0.9314654334691036,,cwc,
2015-06-18,Bhakra,2.5785,-0.5637222398633235,0.0,0.0,0.0,42777.46276083105,1.2710716952993597,,interp,
2015-06-19,Bhakra,2.567,-0.5643156967131423,0.0,0.0,0.0,50264.81719585487,6.7228952962537925,,cwc,
2015-06-20,Bhakra,2.6,-0.5562563728737747,0.0,0.0,0.0,48377.636805014736,1.726285477036816,,cwc,
