station,date,observed_cusecs,routed_cusecs,ratio,as_of_time
Dhilwan,2023-08-17,234000.0,181685.68876300362,0.7764345673632633,unspecified
Dhilwan,2023-08-18,220000.0,181685.68876300362,0.8258440398318346,unspecified
Dhilwan,2023-08-20,155500.0,52268.300241521916,0.33613054817698984,"unspecified (""yesterday"")"
Dhilwan,2023-08-21,139000.0,38387.64727811252,0.2761701243029678,"unspecified (""today"")"
Dhilwan,2023-08-23,136000.0,0.0,0.0,unspecified
Dhilwan,2025-08-24,130000.0,0.0,0.0,yesterday
Dhilwan,2025-08-25,140000.0,0.0,0.0,today
Ferozepur Head Works,2023-08-18,258910.0,103482.83328132235,0.39968650604967887,unspecified
Ferozepur Head Works,2023-08-20,225000.0,181685.68876300362,0.8074919500577938,"unspecified (""yesterday"")"
Ferozepur Head Works,2023-08-21,156000.0,92819.77537081279,0.5949985600693127,"unspecified (""today"")"
Ferozepur Head Works,2023-08-23,133224.0,38387.64727811252,0.2881436323643827,unspecified
Ferozepur Head Works,2025-08-21,82725.0,0.0,0.0,Thursday
Ferozepur Head Works,2025-09-03,324000.0,114035.94062493814,0.3519627797065992,during the day
Ferozepur Head Works,2025-09-03,302508.0,114035.94062493814,0.37696834670467605,unspecified (upstream gauge)
Ferozepur Head Works,2025-09-03,301918.0,114035.94062493814,0.3777050080648989,unspecified (downstream gauge)
Harike Head Works,2023-08-17,235000.0,0.0,0.0,unspecified
Harike Head Works,2023-08-17,215000.0,0.0,0.0,unspecified
Harike Head Works,2023-08-18,284987.0,103482.83328132235,0.36311422374116137,unspecified
Harike Head Works,2023-08-20,169000.0,92819.77537081279,0.549229440063981,"unspecified (""yesterday"" per Aug-21 article)"
Harike Head Works,2023-08-21,160000.0,52268.300241521916,0.326676876509512,"unspecified (""today"")"
Harike Head Works,2023-08-23,142766.0,0.0,0.0,unspecified
Harike Head Works,2025-08-21,94929.0,0.0,0.0,Thursday
Harike Head Works,2025-09-03,330000.0,109794.22128070213,0.33270976145667314,during the day
Harike Head Works,2025-09-03,335030.0,109794.22128070213,0.32771459654568885,unspecified (upstream gauge)
Harike Head Works,2025-09-03,318159.0,109794.22128070213,0.3450923006443386,unspecified (downstream gauge)
