issue_date,year,catchment,primary_model,n_models,three_day_mm,three_day_percentile,models_with_heavy_day,level,in_event_window
2024-06-01,2024,Bhakra,ecmwf_ifs025,2,1.791952691505558,13.039691427149434,0.0,quiet,False
2024-06-02,2024,Bhakra,ecmwf_ifs025,2,2.5900479639438414,17.319895483389324,0.0,quiet,False
2024-06-03,2024,Bhakra,ecmwf_ifs025,2,4.49084234019889,28.157272614159513,0.0,quiet,False
2024-06-04,2024,Bhakra,ecmwf_ifs025,2,2.816233819442131,18.68856538509394,0.0,quiet,False
2024-06-05,2024,Bhakra,ecmwf_ifs025,2,2.519884749436168,16.93417942018166,0.0,quiet,False
2024-06-06,2024,Bhakra,ecmwf_ifs025,2,3.878013158439697,24.68582804529053,0.0,quiet,False
2024-06-07,2024,Bhakra,ecmwf_ifs025,2,2.826880004589623,18.71345029239766,0.0,quiet,False
2024-06-08,2024,Bhakra,ecmwf_ifs025,2,1.7588988240532943,12.853054622371532,0.0,quiet,False
2024-06-09,2024,Bhakra,ecmwf_ifs025,2,0.7029039715396934,6.694040064700759,0.0,quiet,False
2024-06-10,2024,Bhakra,ecmwf_ifs025,2,0.9946624115375248,8.261789224835137,0.0,quiet,False
2024-06-11,2024,Bhakra,ecmwf_ifs025,2,1.1555802922211253,9.132760980465347,0.0,quiet,False
2024-06-12,2024,Bhakra,ecmwf_ifs025,2,1.4439109834042756,10.887146945377628,0.0,quiet,False
2024-06-13,2024,Bhakra,ecmwf_ifs025,2,1.1874520062647709,9.282070424287669,0.0,quiet,False
2024-06-14,2024,Bhakra,ecmwf_ifs025,2,0.26731206397583596,3.906930446684086,0.0,quiet,False
2024-06-15,2024,Bhakra,ecmwf_ifs025,2,0.4694924948404615,5.487122060470324,0.0,quiet,False
2024-06-16,2024,Bhakra,ecmwf_ifs025,2,1.2935781485607931,9.929078014184398,0.0,quiet,False
2024-06-17,2024,Bhakra,ecmwf_ifs025,2,1.8767021082638928,13.412965036705238,0.0,quiet,False
2024-06-18,2024,Bhakra,ecmwf_ifs025,2,3.31976702783665,21.649869354236657,0.0,quiet,False
2024-06-19,2024,Bhakra,ecmwf_ifs025,2,2.6985254678732966,17.942018165982333,0.0,quiet,False
2024-06-20,2024,Bhakra,ecmwf_ifs025,2,2.828311939880628,18.71345029239766,0.0,quiet,False
2024-06-21,2024,Bhakra,ecmwf_ifs025,2,3.5833975591710403,22.943884534030108,0.0,quiet,False
2024-06-22,2024,Bhakra,ecmwf_ifs025,2,3.1287545720079653,20.51760607191738,0.0,quiet,False
2024-06-23,2024,Bhakra,ecmwf_ifs025,2,3.0440681499686555,19.907925842976233,0.0,quiet,False
2024-06-24,2024,Bhakra,ecmwf_ifs025,2,6.177810165536493,36.48127410725395,0.0,quiet,False
2024-06-25,2024,Bhakra,ecmwf_ifs025,2,8.302113333279255,45.16610675625233,0.0,quiet,False
2024-06-26,2024,Bhakra,ecmwf_ifs025,2,10.843748592187003,54.74679606818464,0.0,quiet,False
2024-06-27,2024,Bhakra,ecmwf_ifs025,2,7.1136466303298445,40.32599228567874,0.0,quiet,False
2024-06-28,2024,Bhakra,ecmwf_ifs025,2,7.463490917430034,41.83152917755381,0.0,quiet,False
2024-06-29,2024,Bhakra,ecmwf_ifs025,2,8.937414826221879,47.65459748662436,0.0,quiet,False
2024-06-30,2024,Bhakra,ecmwf_ifs025,2,8.642536119488827,46.69652855543113,0.0,quiet,False
2024-07-01,2024,Bhakra,ecmwf_ifs025,2,11.854878457533419,58.13114346149061,0.0,quiet,False
2024-07-02,2024,Bhakra,ecmwf_ifs025,2,20.192845295892948,80.83862137613538,0.0,watch,False
2024-07-03,2024,Bhakra,ecmwf_ifs025,2,28.416365456629052,91.45203434117208,0.0,alert,False
2024-07-04,2024,Bhakra,ecmwf_ifs025,2,20.831503391541126,81.87134502923976,0.0,watch,False
2024-07-05,2024,Bhakra,ecmwf_ifs025,2,10.427789482354516,53.29102899091701,0.0,quiet,False
2024-07-06,2024,Bhakra,ecmwf_ifs025,2,8.506642117526201,46.03707851188255,0.0,quiet,False
2024-07-07,2024,Bhakra,ecmwf_ifs025,2,5.557550017414866,33.29600597237775,0.0,quiet,False
2024-07-08,2024,Bhakra,ecmwf_ifs025,2,3.22615217861233,21.065074032599227,0.0,quiet,False
2024-07-09,2024,Bhakra,ecmwf_ifs025,2,3.631998340066448,23.242503421674755,0.0,quiet,False
2024-07-10,2024,Bhakra,ecmwf_ifs025,2,2.583519818377715,17.270125668781883,0.0,quiet,False
2024-07-11,2024,Bhakra,ecmwf_ifs025,2,2.11494794929851,14.694537762846831,0.0,quiet,False
2024-07-12,2024,Bhakra,ecmwf_ifs025,2,2.9530017358191163,19.38534278959811,0.0,quiet,False
2024-07-13,2024,Bhakra,ecmwf_ifs025,2,5.873069014287721,35.00062212268259,0.0,quiet,False
2024-07-14,2024,Bhakra,ecmwf_ifs025,2,4.462294107045688,27.945750902077886,0.0,quiet,False
2024-07-15,2024,Bhakra,ecmwf_ifs025,2,6.211283130888388,36.717680726639294,0.0,quiet,False
2024-07-16,2024,Bhakra,ecmwf_ifs025,2,3.847539652340109,24.52407614781635,0.0,quiet,False
2024-07-17,2024,Bhakra,ecmwf_ifs025,2,3.410317656955116,22.160009953962923,0.0,quiet,False
2024-07-18,2024,Bhakra,ecmwf_ifs025,2,3.896324184976471,24.72315540624611,0.0,quiet,False
2024-07-19,2024,Bhakra,ecmwf_ifs025,2,7.356616330021376,41.39604329973871,0.0,quiet,False
2024-07-20,2024,Bhakra,ecmwf_ifs025,2,8.541154284194029,46.223715316660446,0.0,quiet,False
2024-07-21,2024,Bhakra,ecmwf_ifs025,2,9.418346950877439,49.433868358840364,0.0,quiet,False
2024-07-22,2024,Bhakra,ecmwf_ifs025,2,9.069522453139893,48.17718054000249,0.0,quiet,False
2024-07-23,2024,Bhakra,ecmwf_ifs025,2,5.737764159867086,34.32872962548215,0.0,quiet,False
2024-07-24,2024,Bhakra,ecmwf_ifs025,2,9.162883848474667,48.51312678860271,0.0,quiet,False
2024-07-25,2024,Bhakra,ecmwf_ifs025,2,11.615001989133276,57.322383974119695,0.0,quiet,False
2024-07-26,2024,Bhakra,ecmwf_ifs025,2,15.076493758732912,68.42105263157895,0.0,quiet,False
2024-07-27,2024,Bhakra,ecmwf_ifs025,2,15.34096114670962,69.2795819335573,0.0,quiet,False
2024-07-28,2024,Bhakra,ecmwf_ifs025,2,19.90842453153865,80.3035958691054,0.0,watch,False
2024-07-29,2024,Bhakra,ecmwf_ifs025,2,24.972443713389843,88.32897847455519,0.0,watch,False
2024-07-30,2024,Bhakra,ecmwf_ifs025,2,31.229685728588933,93.24374766703994,0.0,alert,False
2024-07-31,2024,Bhakra,ecmwf_ifs025,2,32.63890541658711,94.02762224710713,0.0,alert,False
2024-08-01,2024,Bhakra,ecmwf_ifs025,2,26.639993130318977,90.03359462486003,0.0,alert,False
2024-08-02,2024,Bhakra,ecmwf_ifs025,2,25.718186224872724,89.00087097175563,0.0,watch,False
2024-08-03,2024,Bhakra,ecmwf_ifs025,2,20.842891015487382,81.87134502923976,0.0,watch,False
