district,seasons_with_fraction_gt1pct,seasons_with_fraction_gt2pct,max_season_fraction,mean_annual_flooded_ha
Kapurthala,5,3,0.066472,2808.25
Firozpur,2,2,0.040712,4338.24
Tarn Taran,4,2,0.032373,2444.98
Gurdaspur,1,1,0.066145,2792.77
Patiala,1,1,0.05668,2549.28
Sangrur,2,1,0.032833,2021.86
Jalandhar,3,1,0.029491,1595.48
Amritsar,1,1,0.037098,1134.8
Nawanshahr,1,1,0.023622,421.59
Ludhiana,1,0,0.015967,993.52
Moga,1,0,0.012172,696.52
Mansa,2,0,0.015343,643.92
Muktsar,0,0,0.009412,438.95
Hoshiarpur,0,0,0.006938,368.06
Bathinda,0,0,0.007949,322.46
Rupnagar,1,0,0.019198,314.42
Fatehgarh Sahib,1,0,0.01289,257.26
Barnala,1,0,0.010276,210.14
Faridkot,0,0,0.003026,81.68
Sahibzada Ajit Singh Nagar,0,0,0.005541,77.39
